"Порядковый номер";"Приоритет конкурса";"Наличие договора";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
1;2;"—";301;"Без вступительных испытаний";3;"Участвуете в конкурсе";1610897;"04.07.2026 в 14:37"
2;2;"—";291;"Без вступительных испытаний";3;"Участвуете в конкурсе";1336204;"30.06.2026 в 15:22"
3;1;"—";290;"Без вступительных испытаний";3;"Участвуете в конкурсе";982385;"17.07.2026 в 15:46"
4;1;"—";287;"Без вступительных испытаний";0;"Участвуете в конкурсе";1506056;"08.07.2026 в 22:56"
5;1;"—";287;"Без вступительных испытаний";3;"Участвуете в конкурсе";1958877;"10.07.2026 в 19:24"
6;2;"—";286;"Без вступительных испытаний";0;"Участвуете в конкурсе";997559;"21.06.2026 в 16:04"
7;1;"Да";286;"Без вступительных испытаний";3;"Участвуете в конкурсе";1275974;"29.06.2026 в 21:57"
8;2;"—";286;"Без вступительных испытаний";3;"Участвуете в конкурсе";1580586;"03.07.2026 в 20:41"
9;2;"—";286;"Без вступительных испытаний";3;"Участвуете в конкурсе";1964050;"11.07.2026 в 00:12"
10;2;"—";285;"Без вступительных испытаний";0;"Участвуете в конкурсе";1906677;"09.07.2026 в 19:00"
11;1;"—";285;"Без вступительных испытаний";3;"Участвуете в конкурсе";1497655;"03.07.2026 в 18:38"
12;2;"—";285;"Без вступительных испытаний";3;"Участвуете в конкурсе";1521794;"03.07.2026 в 01:33"
13;2;"—";285;"Без вступительных испытаний";3;"Участвуете в конкурсе";1594818;"04.07.2026 в 10:47"
14;1;"Да";285;"Без вступительных испытаний";3;"Участвуете в конкурсе";1620003;"04.07.2026 в 18:30"
15;2;"—";284;"Без вступительных испытаний";3;"Участвуете в конкурсе";1465451;"02.07.2026 в 11:17"
16;1;"—";284;"Без вступительных испытаний";3;"Участвуете в конкурсе";1525117;"11.07.2026 в 12:11"
17;1;"—";284;"Без вступительных испытаний";3;"Участвуете в конкурсе";1572722;"28.07.2026 в 17:08"
18;2;"—";284;"Без вступительных испытаний";3;"Участвуете в конкурсе";1594381;"04.07.2026 в 10:08"
19;2;"—";283;"Без вступительных испытаний";0;"Участвуете в конкурсе";954840;"27.06.2026 в 18:45"
20;1;"—";283;"Без вступительных испытаний";3;"Участвуете в конкурсе";2353961;"22.07.2026 в 12:26"
21;1;"—";282;"Без вступительных испытаний";0;"Участвуете в конкурсе";1936799;"10.07.2026 в 12:48"
22;1;"—";281;"Без вступительных испытаний";3;"Участвуете в конкурсе";1568220;"03.07.2026 в 18:24"
23;1;"—";281;"Без вступительных испытаний";3;"Участвуете в конкурсе";1646923;"05.07.2026 в 18:33"
24;2;"—";280;"Без вступительных испытаний";0;"Участвуете в конкурсе";1261022;"29.06.2026 в 21:44"
25;2;"—";280;"Без вступительных испытаний";0;"Участвуете в конкурсе";1808030;"08.07.2026 в 09:54"
26;1;"—";280;"Без вступительных испытаний";3;"Участвуете в конкурсе";1284179;"29.06.2026 в 22:02"
27;2;"—";279;"Без вступительных испытаний";0;"Участвуете в конкурсе";1444380;"01.07.2026 в 23:47"
28;1;"—";279;"Без вступительных испытаний";0;"Участвуете в конкурсе";1836771;"08.07.2026 в 15:20"
29;2;"—";279;"Без вступительных испытаний";3;"Участвуете в конкурсе";1069956;"23.06.2026 в 17:11"
30;1;"—";279;"Без вступительных испытаний";3;"Участвуете в конкурсе";1174401;"10.07.2026 в 12:10"
31;2;"—";279;"Без вступительных испытаний";3;"Участвуете в конкурсе";1364621;"30.06.2026 в 23:02"
32;2;"—";278;"Без вступительных испытаний";0;"Участвуете в конкурсе";1928200;"10.07.2026 в 10:59"
33;2;"—";278;"Без вступительных испытаний";3;"Участвуете в конкурсе";1625117;"04.07.2026 в 21:46"
34;1;"—";277;"Без вступительных испытаний";3;"Участвуете в конкурсе";1261597;"29.06.2026 в 21:45"
35;2;"—";274;"Без вступительных испытаний";0;"Участвуете в конкурсе";1333545;"30.06.2026 в 15:19"
36;2;"—";274;"Без вступительных испытаний";0;"Участвуете в конкурсе";1350406;"02.07.2026 в 08:29"
37;1;"—";274;"Без вступительных испытаний";0;"Участвуете в конкурсе";1761482;"18.07.2026 в 19:56"
38;2;"—";274;"Без вступительных испытаний";3;"Участвуете в конкурсе";1153472;"26.06.2026 в 21:49"
39;2;"—";274;"Без вступительных испытаний";3;"Участвуете в конкурсе";1773562;"07.07.2026 в 15:17"
40;2;"—";274;"Без вступительных испытаний";3;"Участвуете в конкурсе";2337665;"21.07.2026 в 18:13"
41;1;"—";273;"Без вступительных испытаний";3;"Участвуете в конкурсе";1364936;"30.06.2026 в 23:13"
42;2;"—";272;"Без вступительных испытаний";0;"Участвуете в конкурсе";1699093;"11.07.2026 в 14:25"
43;2;"—";272;"Без вступительных испытаний";3;"Участвуете в конкурсе";1602723;"04.07.2026 в 12:16"
44;1;"—";272;"Без вступительных испытаний";3;"Участвуете в конкурсе";1904983;"09.07.2026 в 18:15"
45;2;"—";271;"Без вступительных испытаний";0;"Участвуете в конкурсе";1287544;"29.06.2026 в 22:20"
46;2;"—";271;"Без вступительных испытаний";0;"Участвуете в конкурсе";1935700;"10.07.2026 в 12:34"
47;2;"—";271;"Без вступительных испытаний";0;"Участвуете в конкурсе";2003201;"12.07.2026 в 20:52"
48;2;"—";271;"Без вступительных испытаний";3;"Участвуете в конкурсе";1252477;"29.06.2026 в 21:32"
49;2;"—";269;"Без вступительных испытаний";0;"Участвуете в конкурсе";1002321;"21.06.2026 в 20:33"
50;1;"Да";269;"Без вступительных испытаний";3;"Участвуете в конкурсе";1075658;"09.07.2026 в 13:12"
51;2;"—";269;"Без вступительных испытаний";3;"Участвуете в конкурсе";1788366;"11.07.2026 в 21:46"
52;2;"—";269;"Без вступительных испытаний";3;"Участвуете в конкурсе";1914040;"09.07.2026 в 22:54"
53;2;"—";269;"Без вступительных испытаний";3;"Участвуете в конкурсе";2138003;"15.07.2026 в 19:55"
54;2;"—";268;"Без вступительных испытаний";0;"Участвуете в конкурсе";1508878;"24.07.2026 в 13:06"
55;2;"—";268;"Без вступительных испытаний";0;"Участвуете в конкурсе";1641722;"05.07.2026 в 16:02"
56;1;"—";268;"Без вступительных испытаний";0;"Участвуете в конкурсе";1857391;"08.07.2026 в 22:43"
57;2;"—";268;"Без вступительных испытаний";3;"Участвуете в конкурсе";1186716;"28.06.2026 в 10:43"
58;1;"—";268;"Без вступительных испытаний";3;"Участвуете в конкурсе";1328984;"30.06.2026 в 14:24"
59;2;"—";268;"Без вступительных испытаний";3;"Участвуете в конкурсе";1977578;"11.07.2026 в 13:55"
60;2;"—";267;"Без вступительных испытаний";3;"Участвуете в конкурсе";1291410;"30.06.2026 в 00:14"
61;2;"—";267;"Без вступительных испытаний";3;"Участвуете в конкурсе";1640345;"05.07.2026 в 15:25"
62;1;"—";267;"Без вступительных испытаний";3;"Участвуете в конкурсе";1867859;"28.07.2026 в 21:29"
63;1;"—";266;"Без вступительных испытаний";0;"Участвуете в конкурсе";1198544;"28.06.2026 в 15:50"
64;2;"—";266;"Без вступительных испытаний";0;"Участвуете в конкурсе";2101357;"15.07.2026 в 00:35"
65;1;"—";265;"Без вступительных испытаний";0;"Участвуете в конкурсе";1561580;"03.07.2026 в 17:56"
66;2;"—";265;"Без вступительных испытаний";3;"Участвуете в конкурсе";946916;"21.06.2026 в 12:03"
67;2;"—";265;"Без вступительных испытаний";3;"Участвуете в конкурсе";2220232;"17.07.2026 в 17:28"
68;2;"—";264;"Без вступительных испытаний";0;"Участвуете в конкурсе";2133580;"25.07.2026 в 13:34"
69;1;"—";264;"Без вступительных испытаний";3;"Участвуете в конкурсе";2217228;"17.07.2026 в 16:26"
70;2;"—";262;"Без вступительных испытаний";0;"Участвуете в конкурсе";1102188;"06.07.2026 в 11:49"
71;1;"—";262;"Без вступительных испытаний";3;"Участвуете в конкурсе";2089189;"14.07.2026 в 16:37"
72;1;"—";262;"Без вступительных испытаний";3;"Участвуете в конкурсе";2142803;"16.07.2026 в 00:21"
73;1;"Да";261;"Без вступительных испытаний";3;"Участвуете в конкурсе";1002521;"21.06.2026 в 20:47"
74;2;"—";261;"Без вступительных испытаний";3;"Участвуете в конкурсе";1359565;"30.06.2026 в 21:05"
75;1;"—";261;"Без вступительных испытаний";3;"Участвуете в конкурсе";2044439;"13.07.2026 в 16:53"
76;2;"—";260;"Без вступительных испытаний";0;"Участвуете в конкурсе";1998220;"14.07.2026 в 00:14"
77;2;"—";260;"Без вступительных испытаний";0;"Участвуете в конкурсе";2174544;"16.07.2026 в 18:18"
78;2;"—";259;"Без вступительных испытаний";0;"Участвуете в конкурсе";1272777;"05.07.2026 в 22:20"
79;2;"—";259;"Без вступительных испытаний";3;"Участвуете в конкурсе";1724109;"11.07.2026 в 13:38"
80;1;"—";258;"Без вступительных испытаний";0;"Участвуете в конкурсе";1956534;"10.07.2026 в 18:02"
81;2;"—";258;"Без вступительных испытаний";0;"Участвуете в конкурсе";2230689;"18.07.2026 в 01:54"
82;1;"Да";257;"Без вступительных испытаний";0;"Участвуете в конкурсе";1061551;"23.06.2026 в 14:00"
83;1;"Да";257;"Без вступительных испытаний";0;"Участвуете в конкурсе";1283423;"29.06.2026 в 22:01"
84;2;"—";257;"Без вступительных испытаний";3;"Участвуете в конкурсе";977891;"20.06.2026 в 17:27"
85;1;"Да";257;"Без вступительных испытаний";3;"Участвуете в конкурсе";1254672;"29.06.2026 в 21:35"
86;1;"Да";257;"Без вступительных испытаний";3;"Участвуете в конкурсе";1969392;"11.07.2026 в 10:21"
87;2;"—";256;"Без вступительных испытаний";0;"Участвуете в конкурсе";1048827;"21.07.2026 в 10:59"
88;1;"—";256;"Без вступительных испытаний";3;"Участвуете в конкурсе";1147060;"12.07.2026 в 00:11"
89;2;"—";256;"Без вступительных испытаний";3;"Участвуете в конкурсе";2074743;"14.07.2026 в 12:50"
90;1;"Да";255;"Без вступительных испытаний";3;"Участвуете в конкурсе";1213572;"28.06.2026 в 22:52"
91;2;"—";255;"Без вступительных испытаний";3;"Участвуете в конкурсе";1654607;"05.07.2026 в 23:18"
92;2;"—";254;"Без вступительных испытаний";0;"Участвуете в конкурсе";1178928;"27.06.2026 в 20:46"
93;2;"—";254;"Без вступительных испытаний";0;"Участвуете в конкурсе";1948302;"25.07.2026 в 16:51"
94;1;"—";254;"Без вступительных испытаний";3;"Участвуете в конкурсе";1072545;"23.06.2026 в 18:54"
95;1;"—";254;"Без вступительных испытаний";3;"Участвуете в конкурсе";1439865;"01.07.2026 в 21:51"
96;2;"—";253;"Без вступительных испытаний";0;"Участвуете в конкурсе";1260541;"29.06.2026 в 21:43"
97;1;"—";253;"Без вступительных испытаний";0;"Участвуете в конкурсе";1798801;"08.07.2026 в 00:43"
98;2;"—";253;"Без вступительных испытаний";3;"Участвуете в конкурсе";1547850;"03.07.2026 в 16:46"
99;1;"Да";252;"Без вступительных испытаний";0;"Участвуете в конкурсе";1097029;"24.06.2026 в 15:19"
