"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"1";"Электронное";"81.0";"—";"6.0";"Участвуете в конкурсе";"1830197";"—"
"2";"1";"—";"72.0";"—";"3.0";"Участвуете в конкурсе";"2417979";"—"
"3";"1";"Электронное";"303.0";"100 100 94";"9.0";"Участвуете в конкурсе";"1494192";"—"
"4";"1";"Электронное";"200.0";"100";"9.0";"Участвуете в конкурсе";"1579657";"—"
"5";"2";"Электронное";"174.0";"82";"9.0";"Участвуете в конкурсе";"1420373";"—"
"6";"1";"Электронное";"164.0";"77";"6.0";"Участвуете в конкурсе";"2227127";"—"
"7";"3";"Электронное";"168.0";"81";"6.0";"Участвуете в конкурсе";"1548936";"—"
"8";"4";"—";"192.0";"90";"5.0";"Участвуете в конкурсе";"1433059";"—"
"9";"1";"Электронное";"259.0";"78 84 94";"3.0";"Участвуете в конкурсе";"1182592";"—"
"10";"5";"Электронное";"239.0";"78 78 83";"—";"Участвуете в конкурсе";"1194627";"—"
"11";"5";"—";"310.0";"100 100 100";"10.0";"Участвуете в конкурсе";"1214033";"—"
"12";"3";"—";"306.0";"100 100 97";"9.0";"Участвуете в конкурсе";"1445984";"—"
"13";"7";"—";"303.0";"98 100 100";"5.0";"Участвуете в конкурсе";"1368191";"—"
"14";"3";"—";"303.0";"100 100 97";"6.0";"Участвуете в конкурсе";"1476186";"—"
"15";"5";"—";"301.0";"100 95 100";"6.0";"Участвуете в конкурсе";"1959767";"—"
"16";"2";"—";"301.0";"100 91 100";"10.0";"Участвуете в конкурсе";"1216116";"—"
"17";"2";"—";"300.0";"100 100 94";"6.0";"Участвуете в конкурсе";"1155596";"—"
"18";"2";"—";"300.0";"98 97 97";"8.0";"Участвуете в конкурсе";"1654442";"—"
"19";"6";"Электронное";"298.0";"100 97 99";"2.0";"Участвуете в конкурсе";"1433717";"—"
"20";"6";"—";"297.0";"96 100 98";"3.0";"Участвуете в конкурсе";"1611204";"—"
"21";"3";"—";"297.0";"94 100 100";"3.0";"Участвуете в конкурсе";"1290232";"—"
"22";"6";"—";"297.0";"98 97 94";"8.0";"Участвуете в конкурсе";"1617421";"—"
"23";"6";"—";"297.0";"90 100 97";"10.0";"Участвуете в конкурсе";"2047854";"—"
"24";"6";"—";"295.0";"96 100 94";"5.0";"Участвуете в конкурсе";"1408639";"—"
"25";"6";"—";"295.0";"98 97 94";"6.0";"Участвуете в конкурсе";"1525627";"—"
"26";"2";"—";"295.0";"94 100 91";"10.0";"Участвуете в конкурсе";"1194488";"—"
"27";"6";"—";"294.0";"94 97 100";"3.0";"Участвуете в конкурсе";"1405390";"—"
"28";"8";"—";"294.0";"96 93 100";"5.0";"Участвуете в конкурсе";"1575522";"—"
"29";"4";"—";"294.0";"96 95 97";"6.0";"Участвуете в конкурсе";"1585191";"—"
"30";"4";"Электронное";"294.0";"88 100 100";"6.0";"Участвуете в конкурсе";"958988";"—"
"31";"2";"—";"294.0";"100 87 97";"10.0";"Участвуете в конкурсе";"1243415";"—"
"32";"3";"Электронное";"293.0";"96 97 97";"3.0";"Участвуете в конкурсе";"1186639";"—"
"33";"3";"—";"293.0";"96 100 91";"6.0";"Участвуете в конкурсе";"1196206";"—"
