"Порядковый номер";"Приоритет конкурса";"Наличие договора";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"9";"—";"268.0";"90 93 83";"2.0";"Участвуете в конкурсе";"1334656";"—"
"2";"6";"—";"254.0";"82 91 81";"—";"Участвуете в конкурсе";"1242005";"—"
"3";"4";"Электронное";"251.0";"78 93 75";"5.0";"Участвуете в конкурсе";"1492576";"—"
"4";"3";"—";"249.0";"68 89 89";"3.0";"Участвуете в конкурсе";"1794643";"—"
"5";"3";"—";"244.0";"96 76 70";"2.0";"Участвуете в конкурсе";"1957077";"—"
"6";"3";"Электронное";"240.0";"74 76 87";"3.0";"Участвуете в конкурсе";"1142568";"—"
"7";"4";"—";"239.0";"90 82 67";"—";"Участвуете в конкурсе";"1846732";"—"
"8";"1";"Электронное";"239.0";"86 64 89";"—";"Участвуете в конкурсе";"1605811";"—"
"9";"5";"Электронное";"235.0";"79 78 78";"—";"Участвуете в конкурсе";"1073667";"—"
"10";"1";"—";"234.0";"70 87 77";"—";"Участвуете в конкурсе";"2066481";"—"
"11";"3";"—";"220.0";"79 66 72";"3.0";"Участвуете в конкурсе";"1306797";"—"
"12";"7";"—";"213.0";"62 84 67";"—";"Участвуете в конкурсе";"1913808";"—"
