"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"6";"Электронное";"283.0";"82 93 100";"8.0";"Участвуете в конкурсе";"1482865";"—"
"2";"6";"—";"266.0";"80 95 86";"5.0";"Участвуете в конкурсе";"1607071";"—"
"3";"10";"Электронное";"238.0";"70 91 72";"5.0";"Участвуете в конкурсе";"1616194";"—"
"4";"11";"—";"233.0";"63 84 81";"5.0";"Участвуете в конкурсе";"1516787";"—"
"5";"2";"—";"259.0";"80 93 83";"3.0";"Участвуете в конкурсе";"2055195";"—"
"6";"4";"—";"263.0";"84 87 89";"3.0";"Участвуете в конкурсе";"1440242";"—"
"7";"7";"—";"135.0";"63";"—";"Участвуете в конкурсе";"1213941";"—"
"8";"1";"—";"143.0";"68 0 75";"—";"Участвуете в конкурсе";"1257215";"—"
"9";"9";"Электронное";"—";"—";"—";"Участвуете в конкурсе";"1649745";"—"
"10";"6";"—";"—";"—";"—";"Участвуете в конкурсе";"1008365";"—"
"11";"1";"Электронное";"205.0";"88 57 60";"—";"Участвуете в конкурсе";"1895648";"—"
"12";"14";"—";"73.0";"0 0 73";"—";"Участвуете в конкурсе";"972360";"—"
"13";"1";"—";"293.0";"96 95 97";"5.0";"Участвуете в конкурсе";"1355396";"—"
"14";"3";"—";"279.0";"96 80 100";"3.0";"Участвуете в конкурсе";"1767241";"—"
"15";"5";"—";"274.0";"76 93 97";"8.0";"Участвуете в конкурсе";"1521282";"—"
"16";"2";"—";"273.0";"82 95 91";"5.0";"Участвуете в конкурсе";"1725663";"—"
"17";"3";"—";"273.0";"78 93 97";"5.0";"Участвуете в конкурсе";"1157736";"—"
"18";"3";"—";"269.0";"94 97 75";"3.0";"Участвуете в конкурсе";"1795595";"—"
"19";"3";"Электронное";"267.0";"78 95 91";"3.0";"Участвуете в конкурсе";"966034";"—"
"20";"4";"—";"265.0";"86 82 94";"3.0";"Участвуете в конкурсе";"1651420";"—"
"21";"2";"—";"261.0";"100 66 89";"6.0";"Участвуете в конкурсе";"1894556";"—"
"22";"3";"—";"258.0";"80 95 83";"—";"Участвуете в конкурсе";"1245436";"—"
"23";"7";"—";"257.0";"76 87 86";"8.0";"Участвуете в конкурсе";"1349272";"—"
"24";"9";"—";"256.0";"78 97 78";"3.0";"Участвуете в конкурсе";"2226022";"—"
"25";"3";"—";"255.0";"82 84 89";"—";"Участвуете в конкурсе";"1604893";"—"
"26";"1";"—";"253.0";"86 78 86";"3.0";"Участвуете в конкурсе";"1267973";"—"
"27";"4";"Электронное";"252.0";"82 87 83";"—";"Участвуете в конкурсе";"1385628";"—"
"28";"1";"—";"252.0";"79 87 86";"—";"Участвуете в конкурсе";"1421583";"—"
"29";"5";"—";"251.0";"80 87 81";"3.0";"Участвуете в конкурсе";"1158293";"—"
"30";"3";"—";"250.0";"86 78 83";"3.0";"Участвуете в конкурсе";"1914887";"—"
"31";"3";"—";"245.0";"82 72 86";"5.0";"Участвуете в конкурсе";"1314395";"—"
"32";"3";"Электронное";"240.0";"81 78 78";"3.0";"Участвуете в конкурсе";"2099655";"—"
"33";"4";"—";"236.0";"92 72 72";"—";"Участвуете в конкурсе";"1000860";"—"
"34";"4";"—";"234.0";"80 76 78";"—";"Участвуете в конкурсе";"1957067";"—"
"35";"9";"—";"229.0";"84 78 67";"—";"Участвуете в конкурсе";"1182417";"—"
"36";"2";"—";"226.0";"65 70 91";"—";"Участвуете в конкурсе";"2261332";"—"
