"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"1";"Электронное";"181.0";"78 100";"3.0";"Участвуете в конкурсе";"1363848";"—"
"2";"1";"Электронное";"191.0";"81 100";"10.0";"Участвуете в конкурсе";"1901963";"—"
"3";"1";"Электронное";"238.0";"80 70 78";"10.0";"Участвуете в конкурсе";"1128998";"—"
"4";"1";"Электронное";"261.0";"93 78 82";"8.0";"Участвуете в конкурсе";"1798801";"—"
"5";"1";"Электронное";"283.0";"88 89 100";"6.0";"Участвуете в конкурсе";"1640464";"—"
"6";"1";"Электронное";"148.0";"60 82";"6.0";"Участвуете в конкурсе";"1405691";"—"
"7";"2";"Электронное";"297.0";"100 91 100";"6.0";"Участвуете в конкурсе";"1718475";"—"
"8";"1";"—";"281.0";"93 91 92";"5.0";"Участвуете в конкурсе";"1069956";"—"
"9";"1";"Электронное";"258.0";"80 91 82";"5.0";"Участвуете в конкурсе";"1429519";"—"
"10";"1";"Электронное";"165.0";"66 94";"5.0";"Участвуете в конкурсе";"1171029";"—"
"11";"1";"Электронное";"143.0";"63 78";"2.0";"Участвуете в конкурсе";"2215186";"—"
"12";"1";"Электронное";"242.0";"67 91 84";"—";"Участвуете в конкурсе";"1172876";"—"
"13";"1";"Электронное";"180.0";"94 86";"—";"Участвуете в конкурсе";"1350929";"—"
"14";"1";"Электронное";"212.0";"80 60 72";"—";"Участвуете в конкурсе";"1103502";"—"
"15";"1";"—";"299.0";"93 97 99";"10.0";"Участвуете в конкурсе";"1438959";"—"
"16";"1";"Электронное";"289.0";"90 94 95";"10.0";"Участвуете в конкурсе";"1614370";"—"
"17";"1";"Электронное";"297.0";"88 100 100";"9.0";"Участвуете в конкурсе";"1207597";"—"
"18";"4";"—";"267.0";"80 78 100";"9.0";"Участвуете в конкурсе";"1002521";"—"
"19";"1";"Электронное";"246.0";"85 67 86";"8.0";"Участвуете в конкурсе";"1176479";"—"
"20";"1";"Электронное";"191.0";"83 100";"8.0";"Участвуете в конкурсе";"1244217";"—"
"21";"1";"Электронное";"256.0";"78 86 84";"8.0";"Участвуете в конкурсе";"1366772";"—"
"22";"1";"Электронное";"193.0";"56 49 80";"8.0";"Участвуете в конкурсе";"1714650";"—"
"23";"1";"Электронное";"283.0";"95 86 96";"6.0";"Участвуете в конкурсе";"1719855";"—"
"24";"1";"Электронное";"285.0";"88 91 100";"6.0";"Участвуете в конкурсе";"1287170";"—"
"25";"1";"Электронное";"256.0";"72 78 100";"6.0";"Участвуете в конкурсе";"1417345";"—"
"26";"1";"Электронное";"165.0";"64 95";"6.0";"Участвуете в конкурсе";"1257352";"—"
"27";"1";"Электронное";"271.0";"80 97 88";"6.0";"Участвуете в конкурсе";"1841283";"—"
"28";"1";"Электронное";"284.0";"93 86 99";"6.0";"Участвуете в конкурсе";"1198116";"—"
"29";"2";"Электронное";"165.0";"83 76";"6.0";"Участвуете в конкурсе";"2415795";"—"
"30";"1";"Электронное";"277.0";"93 78 100";"6.0";"Участвуете в конкурсе";"1114481";"—"
"31";"1";"Электронное";"244.0";"78 78 82";"6.0";"Участвуете в конкурсе";"1253318";"—"
"32";"1";"Электронное";"238.0";"75 61 96";"6.0";"Участвуете в конкурсе";"1278145";"—"
"33";"1";"Электронное";"285.0";"93 91 96";"5.0";"Участвуете в конкурсе";"1638550";"—"
"34";"1";"Электронное";"261.0";"83 91 82";"5.0";"Участвуете в конкурсе";"1724109";"—"
"35";"3";"Электронное";"287.0";"93 89 100";"5.0";"Участвуете в конкурсе";"2344210";"—"
"36";"1";"Электронное";"267.0";"85 89 88";"5.0";"Участвуете в конкурсе";"1456306";"—"
"37";"1";"Электронное";"241.0";"67 83 86";"5.0";"Участвуете в конкурсе";"1428693";"—"
"38";"1";"Электронное";"225.0";"59 75 86";"5.0";"Участвуете в конкурсе";"1617517";"—"
"39";"1";"Электронное";"287.0";"93 97 92";"5.0";"Участвуете в конкурсе";"1361077";"—"
"40";"4";"Электронное";"270.0";"90 89 86";"5.0";"Участвуете в конкурсе";"1939926";"—"
"41";"1";"Электронное";"183.0";"86 92";"5.0";"Участвуете в конкурсе";"1464254";"—"
"42";"1";"Электронное";"287.0";"93 91 100";"3.0";"Участвуете в конкурсе";"1958877";"—"
"43";"1";"Электронное";"171.0";"86 82";"3.0";"Участвуете в конкурсе";"1172747";"—"
"44";"1";"Электронное";"166.0";"75 88";"3.0";"Участвуете в конкурсе";"1688725";"—"
"45";"1";"Электронное";"227.0";"75 73 76";"3.0";"Участвуете в конкурсе";"1035010";"—"
"46";"1";"Электронное";"243.0";"83 69 88";"3.0";"Участвуете в конкурсе";"1729871";"—"
"47";"1";"Электронное";"279.0";"95 86 95";"3.0";"Участвуете в конкурсе";"1715876";"—"
"48";"1";"Электронное";"279.0";"95 83 98";"3.0";"Участвуете в конкурсе";"1241287";"—"
"49";"1";"Электронное";"251.0";"90 78 80";"3.0";"Участвуете в конкурсе";"2214853";"—"
"50";"4";"—";"285.0";"90 97 96";"2.0";"Участвуете в конкурсе";"1423345";"—"
"51";"1";"Электронное";"274.0";"85 89 98";"2.0";"Участвуете в конкурсе";"1022704";"—"
"52";"1";"Электронное";"156.0";"64 90";"2.0";"Участвуете в конкурсе";"1898184";"—"
"53";"4";"Электронное";"289.0";"100 89 98";"2.0";"Участвуете в конкурсе";"2340581";"—"
"54";"4";"Электронное";"231.0";"70 75 84";"2.0";"Участвуете в конкурсе";"1247549";"—"
"55";"1";"Электронное";"277.0";"88 89 100";"—";"Участвуете в конкурсе";"1173504";"—"
"56";"1";"Электронное";"152.0";"66 86";"—";"Участвуете в конкурсе";"1615910";"—"
"57";"1";"Электронное";"237.0";"85 72 80";"—";"Участвуете в конкурсе";"1435621";"—"
"58";"1";"Электронное";"274.0";"88 94 92";"—";"Участвуете в конкурсе";"1042421";"—"
"59";"1";"Электронное";"233.0";"85 64 84";"—";"Участвуете в конкурсе";"1441981";"—"
"60";"1";"Электронное";"267.0";"78 89 100";"—";"Участвуете в конкурсе";"1587000";"—"
"61";"1";"Электронное";"257.0";"88 75 94";"—";"Участвуете в конкурсе";"1432093";"—"
"62";"1";"Электронное";"271.0";"85 91 95";"—";"Участвуете в конкурсе";"1964697";"—"
"63";"1";"Электронное";"271.0";"90 81 100";"—";"Участвуете в конкурсе";"1935700";"—"
"64";"1";"Электронное";"239.0";"67 78 94";"—";"Участвуете в конкурсе";"1285478";"—"
"65";"1";"Электронное";"244.0";"72 72 100";"—";"Участвуете в конкурсе";"1772606";"—"
"66";"1";"Электронное";"156.0";"70 86";"—";"Участвуете в конкурсе";"953275";"—"
"67";"1";"Электронное";"213.0";"67 70 76";"—";"Участвуете в конкурсе";"2391705";"—"
"68";"1";"Электронное";"221.0";"80 69 72";"—";"Участвуете в конкурсе";"1030009";"—"
"69";"1";"—";"237.0";"80 67 90";"—";"Участвуете в конкурсе";"1155428";"—"
"70";"1";"—";"211.0";"54 61 96";"—";"Участвуете в конкурсе";"1793018";"—"
"71";"2";"—";"310.0";"100 100 100";"10.0";"Участвуете в конкурсе";"1850411";"—"
"72";"6";"Электронное";"308.0";"98 100 100";"10.0";"Участвуете в конкурсе";"1521429";"—"
"73";"4";"—";"306.0";"100 100 100";"6.0";"Участвуете в конкурсе";"1137799";"—"
"74";"1";"Электронное";"305.0";"100 100 100";"5.0";"Участвуете в конкурсе";"1976752";"—"
"75";"4";"—";"305.0";"100 100 100";"5.0";"Участвуете в конкурсе";"1205697";"—"
"76";"2";"Электронное";"305.0";"100 100 100";"5.0";"Участвуете в конкурсе";"1580489";"—"
"77";"1";"Электронное";"305.0";"100 100 100";"5.0";"Участвуете в конкурсе";"1851055";"—"
