"Порядковый номер";"Приоритет конкурса";"Наличие договора";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"6";"Электронное";"300.0";"98 97 100";"5.0";"Участвуете в конкурсе";"1287124";"—"
"2";"2";"Электронное";"295.0";"97 98 100";"—";"Участвуете в конкурсе";"1728313";"—"
"3";"7";"Электронное";"295.0";"98 95 97";"5.0";"Участвуете в конкурсе";"1180789";"—"
"4";"5";"—";"294.0";"98 97 96";"3.0";"Участвуете в конкурсе";"1401780";"—"
"5";"4";"Электронное";"293.0";"92 91 100";"10.0";"Участвуете в конкурсе";"1491398";"—"
"6";"5";"Электронное";"292.0";"100 100 90";"2.0";"Участвуете в конкурсе";"1605559";"—"
"7";"4";"Электронное";"292.0";"95 94 100";"3.0";"Участвуете в конкурсе";"1383312";"—"
"8";"6";"Электронное";"289.0";"95 89 95";"10.0";"Участвуете в конкурсе";"1895993";"—"
"9";"2";"Электронное";"288.0";"93 91 99";"5.0";"Участвуете в конкурсе";"1546948";"—"
"10";"3";"Электронное";"288.0";"98 86 96";"8.0";"Участвуете в конкурсе";"1261022";"—"
"11";"4";"Электронное";"283.0";"98 83 99";"3.0";"Участвуете в конкурсе";"1206264";"—"
"12";"5";"—";"283.0";"95 89 96";"3.0";"Участвуете в конкурсе";"2168804";"—"
"13";"1";"Электронное";"282.0";"90 97 90";"5.0";"Участвуете в конкурсе";"1399843";"—"
"14";"4";"Электронное";"281.0";"93 100 88";"—";"Участвуете в конкурсе";"1179976";"—"
"15";"8";"Электронное";"280.0";"88 86 96";"10.0";"Участвуете в конкурсе";"1285047";"—"
"16";"6";"Электронное";"278.0";"93 86 97";"2.0";"Участвуете в конкурсе";"1181705";"—"
"17";"4";"Электронное";"278.0";"98 86 92";"2.0";"Участвуете в конкурсе";"1474799";"—"
"18";"3";"Электронное";"277.0";"87 92 95";"3.0";"Участвуете в конкурсе";"1914533";"—"
"19";"4";"Электронное";"276.0";"95 89 92";"—";"Участвуете в конкурсе";"1647810";"—"
"20";"5";"Электронное";"276.0";"90 83 100";"3.0";"Участвуете в конкурсе";"1755244";"—"
"21";"7";"—";"276.0";"90 89 92";"5.0";"Участвуете в конкурсе";"1713758";"—"
"22";"9";"—";"275.0";"90 97 86";"2.0";"Участвуете в конкурсе";"1522774";"—"
"23";"2";"Электронное";"275.0";"90 92 90";"3.0";"Участвуете в конкурсе";"1618719";"—"
"24";"4";"Электронное";"274.0";"88 86 100";"—";"Участвуете в конкурсе";"1852639";"—"
"25";"7";"—";"274.0";"88 100 86";"—";"Участвуете в конкурсе";"1956146";"—"
"26";"1";"Электронное";"273.0";"89 94 90";"—";"Участвуете в конкурсе";"980836";"—"
"27";"3";"Электронное";"273.0";"92 94 84";"3.0";"Участвуете в конкурсе";"1278897";"—"
"28";"5";"Электронное";"272.0";"94 97 81";"—";"Участвуете в конкурсе";"1198072";"—"
"29";"4";"—";"272.0";"93 78 96";"5.0";"Участвуете в конкурсе";"1178497";"—"
"30";"1";"Электронное";"271.0";"95 89 84";"3.0";"Участвуете в конкурсе";"1441946";"—"
"31";"3";"Электронное";"270.0";"98 78 94";"—";"Участвуете в конкурсе";"962846";"—"
"32";"4";"—";"270.0";"98 81 88";"3.0";"Участвуете в конкурсе";"985059";"—"
"33";"4";"Электронное";"270.0";"98 81 86";"5.0";"Участвуете в конкурсе";"1414943";"—"
"34";"8";"Электронное";"269.0";"86 86 97";"—";"Участвуете в конкурсе";"1979523";"—"
"35";"2";"—";"268.0";"80 91 94";"3.0";"Участвуете в конкурсе";"1220645";"—"
"36";"3";"Электронное";"268.0";"88 91 84";"5.0";"Участвуете в конкурсе";"1817348";"—"
"37";"5";"—";"267.0";"83 86 95";"3.0";"Участвуете в конкурсе";"1743723";"—"
"38";"7";"—";"267.0";"90 86 86";"5.0";"Участвуете в конкурсе";"1285859";"—"
"39";"3";"Электронное";"267.0";"95 83 84";"5.0";"Участвуете в конкурсе";"2089577";"—"
"40";"3";"—";"266.0";"85 90 88";"3.0";"Участвуете в конкурсе";"1336282";"—"
"41";"8";"Электронное";"265.0";"85 92 85";"3.0";"Участвуете в конкурсе";"1976113";"—"
"42";"3";"—";"265.0";"88 83 84";"10.0";"Участвуете в конкурсе";"986890";"—"
"43";"3";"Электронное";"263.0";"80 86 94";"3.0";"Участвуете в конкурсе";"1347671";"—"
"44";"3";"—";"263.0";"85 78 95";"5.0";"Участвуете в конкурсе";"1408422";"—"
"45";"5";"—";"262.0";"83 89 90";"—";"Участвуете в конкурсе";"2092708";"—"
"46";"4";"—";"262.0";"90 75 94";"3.0";"Участвуете в конкурсе";"960260";"—"
"47";"1";"Электронное";"262.0";"83 86 90";"3.0";"Участвуете в конкурсе";"2315090";"—"
"48";"3";"—";"262.0";"83 94 82";"3.0";"Участвуете в конкурсе";"1907639";"—"
"49";"3";"—";"260.0";"88 83 86";"3.0";"Участвуете в конкурсе";"1988929";"—"
"50";"5";"—";"260.0";"95 78 84";"3.0";"Участвуете в конкурсе";"2307256";"—"
"51";"1";"Электронное";"259.0";"93 75 88";"3.0";"Участвуете в конкурсе";"1203448";"—"
"52";"2";"—";"259.0";"88 86 82";"3.0";"Участвуете в конкурсе";"1584145";"—"
"53";"2";"Электронное";"257.0";"93 78 86";"—";"Участвуете в конкурсе";"1528298";"—"
"54";"4";"—";"257.0";"85 89 80";"3.0";"Участвуете в конкурсе";"1622566";"—"
"55";"4";"Электронное";"256.0";"80 86 80";"10.0";"Участвуете в конкурсе";"969028";"—"
"56";"3";"—";"255.0";"85 91 76";"3.0";"Участвуете в конкурсе";"1666241";"—"
"57";"2";"—";"255.0";"90 78 82";"5.0";"Участвуете в конкурсе";"1717236";"—"
"58";"2";"Электронное";"255.0";"95 81 74";"5.0";"Участвуете в конкурсе";"1635896";"—"
"59";"1";"Электронное";"254.0";"75 89 90";"—";"Участвуете в конкурсе";"1105689";"—"
"60";"3";"—";"254.0";"90 66 96";"2.0";"Участвуете в конкурсе";"1847843";"—"
"61";"3";"—";"254.0";"88 86 78";"2.0";"Участвуете в конкурсе";"2151229";"—"
"62";"3";"—";"253.0";"88 72 90";"3.0";"Участвуете в конкурсе";"1267837";"—"
"63";"2";"—";"253.0";"90 72 88";"3.0";"Участвуете в конкурсе";"2274159";"—"
"64";"1";"Электронное";"253.0";"85 91 74";"3.0";"Участвуете в конкурсе";"2314168";"—"
"65";"6";"—";"252.0";"88 86 78";"—";"Участвуете в конкурсе";"2163679";"—"
"66";"5";"—";"251.0";"75 86 90";"—";"Участвуете в конкурсе";"1790401";"—"
"67";"4";"—";"251.0";"88 69 92";"2.0";"Участвуете в конкурсе";"1258505";"—"
"68";"7";"—";"250.0";"85 81 84";"—";"Участвуете в конкурсе";"1985500";"—"
"69";"1";"—";"250.0";"80 86 82";"2.0";"Участвуете в конкурсе";"2000397";"—"
"70";"4";"Электронное";"250.0";"88 69 90";"3.0";"Участвуете в конкурсе";"1284721";"—"
"71";"2";"Электронное";"250.0";"88 75 84";"3.0";"Участвуете в конкурсе";"1955035";"—"
"72";"4";"—";"250.0";"80 89 78";"3.0";"Участвуете в конкурсе";"1388645";"—"
"73";"3";"Электронное";"249.0";"88 75 86";"—";"Участвуете в конкурсе";"1496424";"—"
"74";"7";"Электронное";"249.0";"75 91 80";"3.0";"Участвуете в конкурсе";"1516310";"—"
"75";"2";"—";"248.0";"80 96 72";"—";"Участвуете в конкурсе";"1703362";"—"
"76";"7";"—";"248.0";"83 78 82";"5.0";"Участвуете в конкурсе";"1790298";"—"
"77";"2";"—";"247.0";"85 78 84";"—";"Участвуете в конкурсе";"1849261";"—"
"78";"2";"—";"247.0";"85 81 78";"3.0";"Участвуете в конкурсе";"2165742";"—"
"79";"1";"Электронное";"246.0";"83 83 78";"2.0";"Участвуете в конкурсе";"2052895";"—"
"80";"1";"—";"246.0";"100 69 74";"3.0";"Участвуете в конкурсе";"1519967";"—"
"81";"3";"Электронное";"244.0";"83 72 84";"5.0";"Участвуете в конкурсе";"1717973";"—"
