"Порядковый номер";"Приоритет конкурса";"Наличие договора";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"6";"—";"175.0";"78 90";"7.0";"Участвуете в конкурсе";"1133000";"—"
"2";"4";"Электронное";"272.0";"88 89 90";"5.0";"Участвуете в конкурсе";"1433847";"—"
"3";"12";"—";"172.0";"89 78";"5.0";"Участвуете в конкурсе";"1336675";"—"
"4";"8";"—";"264.0";"98 89 72";"5.0";"Участвуете в конкурсе";"1964745";"—"
"5";"5";"—";"283.0";"95 86 97";"5.0";"Участвуете в конкурсе";"1729962";"—"
"6";"12";"—";"174.0";"81 88";"5.0";"Участвуете в конкурсе";"1996573";"—"
"7";"2";"—";"238.0";"83 78 72";"5.0";"Участвуете в конкурсе";"1545470";"—"
"8";"5";"Электронное";"253.0";"78 75 95";"5.0";"Участвуете в конкурсе";"1636593";"—"
"9";"5";"Электронное";"252.0";"90 73 84";"5.0";"Участвуете в конкурсе";"1548572";"—"
"10";"6";"—";"224.0";"83 72 64";"5.0";"Участвуете в конкурсе";"1782587";"—"
"11";"6";"Электронное";"202.0";"56 61 80";"5.0";"Участвуете в конкурсе";"1164798";"—"
"12";"1";"—";"5.0";"0 0";"5.0";"Участвуете в конкурсе";"993376";"—"
"13";"1";"Электронное";"154.0";"75 74";"5.0";"Участвуете в конкурсе";"2189289";"—"
"14";"4";"—";"171.0";"69 97";"5.0";"Участвуете в конкурсе";"1425562";"—"
"15";"1";"—";"183.0";"56 52 70";"5.0";"Участвуете в конкурсе";"1727041";"—"
"16";"5";"—";"295.0";"98 94 100";"3.0";"Участвуете в конкурсе";"1249733";"—"
"17";"4";"Электронное";"289.0";"96 93 97";"3.0";"Участвуете в конкурсе";"1846843";"—"
"18";"5";"Электронное";"293.0";"100 91 99";"3.0";"Участвуете в конкурсе";"2216984";"—"
"19";"1";"—";"278.0";"98 89 88";"3.0";"Участвуете в конкурсе";"1436400";"—"
"20";"13";"Электронное";"162.0";"83 76";"3.0";"Участвуете в конкурсе";"1641921";"—"
"21";"2";"Электронное";"254.0";"80 81 90";"3.0";"Участвуете в конкурсе";"1702133";"—"
"22";"5";"—";"257.0";"85 81 88";"3.0";"Участвуете в конкурсе";"1400017";"—"
"23";"2";"—";"84.0";"81";"3.0";"Участвуете в конкурсе";"1753065";"—"
"24";"3";"Электронное";"238.0";"72 75 88";"3.0";"Участвуете в конкурсе";"1189152";"—"
