"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"1";"Электронное";"198.0";"98";"3.0";"Участвуете в конкурсе";"1056375";"—"
"2";"1";"Электронное";"92.0";"—";"3.0";"Участвуете в конкурсе";"1290938";"—"
"3";"1";"Электронное";"73.0";"—";"3.0";"Участвуете в конкурсе";"1071988";"—"
"4";"1";"Электронное";"288.0";"100 84 94";"10.0";"Участвуете в конкурсе";"1230168";"—"
"5";"1";"Электронное";"210.0";"100";"10.0";"Участвуете в конкурсе";"1690903";"—"
"6";"1";"Электронное";"193.0";"100";"10.0";"Участвуете в конкурсе";"1428497";"—"
"7";"1";"Электронное";"164.0";"81";"10.0";"Участвуете в конкурсе";"1264174";"—"
"8";"1";"Электронное";"288.0";"90 91 97";"10.0";"Участвуете в конкурсе";"1492848";"—"
"9";"1";"Электронное";"104.0";"—";"10.0";"Участвуете в конкурсе";"1458569";"—"
"10";"1";"Электронное";"293.0";"92 95 97";"9.0";"Участвуете в конкурсе";"998321";"—"
"11";"1";"Электронное";"95.0";"—";"6.0";"Участвуете в конкурсе";"1426294";"—"
"12";"1";"Электронное";"221.0";"84 64 70";"3.0";"Участвуете в конкурсе";"1546898";"—"
"13";"1";"Электронное";"89.0";"—";"3.0";"Участвуете в конкурсе";"1230266";"—"
"14";"1";"Электронное";"135.0";"90";"—";"Участвуете в конкурсе";"1264178";"—"
"15";"1";"—";"305.0";"95 100 100";"10.0";"Участвуете в конкурсе";"1654649";"—"
"16";"1";"Электронное";"87.0";"—";"6.0";"Участвуете в конкурсе";"1994868";"—"
"17";"1";"Электронное";"86.0";"—";"3.0";"Участвуете в конкурсе";"1408818";"—"
"18";"1";"—";"292.0";"94 97 91";"10.0";"Участвуете в конкурсе";"1194488";"—"
"19";"1";"Электронное";"186.0";"93";"10.0";"Участвуете в конкурсе";"958563";"—"
"20";"3";"—";"193.0";"90";"9.0";"Участвуете в конкурсе";"1796318";"—"
"21";"1";"—";"191.0";"88";"9.0";"Участвуете в конкурсе";"1606035";"—"
"22";"1";"Электронное";"260.0";"79 97 75";"9.0";"Участвуете в конкурсе";"1437204";"—"
"23";"2";"—";"288.0";"96 95 89";"8.0";"Участвуете в конкурсе";"1268210";"—"
"24";"1";"—";"242.0";"81 66 89";"6.0";"Участвуете в конкурсе";"1894556";"—"
"25";"1";"Электронное";"252.0";"78 82 86";"6.0";"Участвуете в конкурсе";"1267609";"—"
"26";"1";"Электронное";"287.0";"97 90 94";"6.0";"Участвуете в конкурсе";"1505730";"—"
"27";"1";"Электронное";"260.0";"79 89 86";"6.0";"Участвуете в конкурсе";"1262201";"—"
"28";"1";"Электронное";"260.0";"84 87 83";"6.0";"Участвуете в конкурсе";"1230212";"—"
"29";"1";"Электронное";"176.0";"92";"6.0";"Участвуете в конкурсе";"1514697";"—"
"30";"1";"Электронное";"284.0";"96 93 89";"6.0";"Участвуете в конкурсе";"1196175";"—"
"31";"1";"Электронное";"161.0";"89";"6.0";"Участвуете в конкурсе";"1261406";"—"
"32";"1";"Электронное";"284.0";"88 93 97";"6.0";"Участвуете в конкурсе";"958988";"—"
"33";"1";"Электронное";"276.0";"82 97 94";"3.0";"Участвуете в конкурсе";"2185419";"—"
"34";"1";"Электронное";"239.0";"75 80 81";"3.0";"Участвуете в конкурсе";"1353011";"—"
"35";"1";"Электронное";"267.0";"88 93 83";"3.0";"Участвуете в конкурсе";"1653354";"—"
"36";"1";"—";"295.0";"98 100 94";"3.0";"Участвуете в конкурсе";"1155596";"—"
"37";"1";"Электронное";"264.0";"92 91 78";"3.0";"Участвуете в конкурсе";"1914285";"—"
"38";"1";"Электронное";"255.0";"92 82 81";"—";"Участвуете в конкурсе";"1193908";"—"
"39";"1";"—";"297.0";"100 100 97";"—";"Участвуете в конкурсе";"1476186";"—"
"40";"1";"—";"306.0";"96 100 100";"10.0";"Участвуете в конкурсе";"1568490";"—"
