"Порядковый номер";"Приоритет конкурса";"Наличие договора";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"1";"Электронное";"294.0";"100 97 94";"3.0";"Участвуете в конкурсе";"2185419";"—"
"2";"3";"—";"290.0";"96 95 94";"5.0";"Участвуете в конкурсе";"1587286";"—"
"3";"1";"—";"289.0";"94 95 94";"6.0";"Участвуете в конкурсе";"1385256";"—"
"4";"1";"Электронное";"286.0";"98 99 89";"—";"Участвуете в конкурсе";"974449";"—"
"5";"6";"Электронное";"284.0";"98 93 83";"10.0";"Участвуете в конкурсе";"1655889";"—"
"6";"2";"—";"281.0";"96 91 94";"—";"Участвуете в конкурсе";"1060232";"—"
"7";"4";"—";"280.0";"98 93 89";"—";"Участвуете в конкурсе";"954149";"—"
"8";"3";"—";"275.0";"80 95 94";"6.0";"Участвуете в конкурсе";"1266209";"—"
"9";"1";"Электронное";"271.0";"76 100 89";"6.0";"Участвуете в конкурсе";"1645128";"—"
"10";"7";"—";"268.0";"90 93 83";"2.0";"Участвуете в конкурсе";"1334656";"—"
"11";"1";"Электронное";"267.0";"88 95 81";"3.0";"Участвуете в конкурсе";"1204676";"—"
"12";"6";"—";"255.0";"86 100 66";"3.0";"Участвуете в конкурсе";"2015773";"—"
"13";"2";"—";"255.0";"86 78 83";"8.0";"Участвуете в конкурсе";"1050343";"—"
"14";"2";"—";"254.0";"79 97 78";"—";"Участвуете в конкурсе";"1660206";"—"
"15";"4";"—";"254.0";"82 91 81";"—";"Участвуете в конкурсе";"1242005";"—"
"16";"1";"Электронное";"254.0";"92 87 72";"3.0";"Участвуете в конкурсе";"1413446";"—"
"17";"1";"Электронное";"251.0";"78 93 75";"5.0";"Участвуете в конкурсе";"1492576";"—"
"18";"4";"—";"249.0";"68 89 89";"3.0";"Участвуете в конкурсе";"1794643";"—"
"19";"4";"Электронное";"247.0";"88 87 70";"2.0";"Участвуете в конкурсе";"1628525";"—"
"20";"2";"Электронное";"245.0";"84 72 86";"3.0";"Участвуете в конкурсе";"1596369";"—"
"21";"4";"—";"244.0";"96 76 70";"2.0";"Участвуете в конкурсе";"1957077";"—"
"22";"2";"Электронное";"242.0";"79 82 81";"—";"Участвуете в конкурсе";"983081";"—"
"23";"1";"Электронное";"240.0";"74 76 87";"3.0";"Участвуете в конкурсе";"1142568";"—"
"24";"4";"Электронное";"240.0";"80 74 83";"3.0";"Участвуете в конкурсе";"1330168";"—"
"25";"2";"—";"240.0";"70 87 78";"5.0";"Участвуете в конкурсе";"1150150";"—"
"26";"2";"—";"239.0";"90 82 67";"—";"Участвуете в конкурсе";"1846732";"—"
"27";"7";"Электронное";"239.0";"86 64 89";"—";"Участвуете в конкурсе";"1605811";"—"
"28";"5";"Электронное";"238.0";"75 85 78";"—";"Участвуете в конкурсе";"1077023";"—"
"29";"2";"—";"238.0";"79 82 75";"2.0";"Участвуете в конкурсе";"1304872";"—"
"30";"7";"—";"238.0";"66 72 97";"3.0";"Участвуете в конкурсе";"1794731";"—"
"31";"6";"Электронное";"235.0";"79 78 78";"—";"Участвуете в конкурсе";"1073667";"—"
"32";"1";"Электронное";"231.0";"78 80 73";"—";"Участвуете в конкурсе";"1261977";"—"
"33";"2";"—";"224.0";"68 93 60";"3.0";"Участвуете в конкурсе";"1503525";"—"
"34";"2";"—";"220.0";"79 66 72";"3.0";"Участвуете в конкурсе";"1306797";"—"
"35";"2";"—";"219.0";"69 72 78";"—";"Участвуете в конкурсе";"1751630";"—"
"36";"3";"—";"215.0";"64 84 67";"—";"Участвуете в конкурсе";"1913808";"—"
"37";"2";"—";"212.0";"70 70 72";"—";"Участвуете в конкурсе";"1581792";"—"
"38";"4";"—";"209.0";"70 72 67";"—";"Участвуете в конкурсе";"1424282";"—"
