"Порядковый номер";"Приоритет конкурса";"Наличие договора";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"3";"—";"155.0";"68";"6.0";"Участвуете в конкурсе";"1753065";"—"
"2";"8";"—";"150.0";"70";"2.0";"Участвуете в конкурсе";"1955620";"—"
"3";"1";"—";"231.0";"61 82 86";"2.0";"Участвуете в конкурсе";"1361150";"—"
"4";"1";"—";"—";"—";"—";"Участвуете в конкурсе";"1720517";"—"
"5";"4";"Электронное";"—";"—";"—";"Участвуете в конкурсе";"1649745";"—"
"6";"1";"Электронное";"285.0";"83 92 100";"10.0";"Участвуете в конкурсе";"2416527";"—"
"7";"1";"—";"274.0";"86 82 100";"6.0";"Участвуете в конкурсе";"981455";"—"
"8";"1";"—";"272.0";"94 78 95";"5.0";"Участвуете в конкурсе";"1335249";"—"
"9";"1";"Электронное";"254.0";"83 82 86";"3.0";"Участвуете в конкурсе";"1180958";"—"
"10";"1";"—";"228.0";"64 72 90";"2.0";"Участвуете в конкурсе";"1347210";"—"
"11";"1";"—";"226.0";"73 72 81";"—";"Участвуете в конкурсе";"986475";"—"
"12";"1";"—";"222.0";"67 74 81";"—";"Участвуете в конкурсе";"998636";"—"
"13";"1";"—";"187.0";"61 64 62";"—";"Участвуете в конкурсе";"1342206";"—"
