"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"6";"Электронное";"308.0";"98 100 100";"10.0";"Участвуете в конкурсе";"1864641";"—"
"2";"1";"—";"302.0";"100 97 100";"5.0";"Участвуете в конкурсе";"1349292";"—"
"3";"4";"Электронное";"299.0";"96 100 100";"3.0";"Участвуете в конкурсе";"1174505";"—"
"4";"4";"—";"299.0";"94 100 100";"5.0";"Участвуете в конкурсе";"1509854";"—"
"5";"7";"—";"299.0";"94 100 100";"5.0";"Участвуете в конкурсе";"1642110";"—"
"6";"6";"—";"299.0";"100 94 100";"5.0";"Участвуете в конкурсе";"964330";"—"
"7";"1";"Электронное";"299.0";"100 89 100";"10.0";"Участвуете в конкурсе";"980017";"—"
"8";"3";"—";"298.0";"98 97 100";"3.0";"Участвуете в конкурсе";"1654503";"—"
"9";"4";"Электронное";"298.0";"96 97 100";"5.0";"Участвуете в конкурсе";"1871226";"—"
"10";"4";"—";"297.0";"94 100 100";"3.0";"Участвуете в конкурсе";"1348694";"—"
"11";"10";"Электронное";"297.0";"92 100 100";"5.0";"Участвуете в конкурсе";"2098989";"—"
"12";"2";"Электронное";"297.0";"92 100 100";"5.0";"Участвуете в конкурсе";"1607613";"—"
"13";"3";"—";"297.0";"92 100 100";"5.0";"Участвуете в конкурсе";"1619724";"—"
"14";"2";"—";"297.0";"98 94 100";"5.0";"Участвуете в конкурсе";"1290903";"—"
"15";"6";"—";"296.0";"97 97 100";"2.0";"Участвуете в конкурсе";"1643739";"—"
"16";"6";"—";"296.0";"96 97 100";"3.0";"Участвуете в конкурсе";"1214987";"—"
"17";"4";"—";"295.0";"95 97 100";"3.0";"Участвуете в конкурсе";"1706147";"—"
"18";"7";"—";"295.0";"90 100 100";"5.0";"Участвуете в конкурсе";"1105314";"—"
"19";"3";"—";"295.0";"96 94 100";"5.0";"Участвуете в конкурсе";"1344426";"—"
"20";"2";"—";"295.0";"99 97 94";"5.0";"Участвуете в конкурсе";"1063393";"—"
"21";"6";"—";"294.0";"94 97 100";"3.0";"Участвуете в конкурсе";"1511277";"—"
"22";"4";"—";"294.0";"92 97 100";"5.0";"Участвуете в конкурсе";"1520403";"—"
"23";"8";"Электронное";"294.0";"98 91 100";"5.0";"Участвуете в конкурсе";"1704030";"—"
"24";"10";"—";"293.0";"90 100 100";"3.0";"Участвуете в конкурсе";"1775978";"—"
"25";"6";"—";"293.0";"88 100 100";"5.0";"Участвуете в конкурсе";"1573627";"—"
"26";"3";"—";"293.0";"100 94 94";"5.0";"Участвуете в конкурсе";"1629404";"—"
"27";"4";"—";"292.0";"92 97 100";"3.0";"Участвуете в конкурсе";"965716";"—"
"28";"7";"Электронное";"292.0";"100 100 89";"3.0";"Участвуете в конкурсе";"2056742";"—"
"29";"2";"Электронное";"292.0";"88 94 100";"10.0";"Участвуете в конкурсе";"1258183";"—"
"30";"9";"Электронное";"291.0";"100 99 92";"—";"Участвуете в конкурсе";"1621417";"—"
"31";"3";"Электронное";"291.0";"94 94 100";"3.0";"Участвуете в конкурсе";"1823820";"—"
"32";"5";"Электронное";"291.0";"92 100 94";"5.0";"Участвуете в конкурсе";"1171887";"—"
"33";"4";"Электронное";"290.0";"90 97 100";"3.0";"Участвуете в конкурсе";"2091331";"—"
"34";"6";"—";"290.0";"96 91 100";"3.0";"Участвуете в конкурсе";"1442274";"—"
"35";"9";"—";"290.0";"96 91 100";"3.0";"Участвуете в конкурсе";"1277540";"—"
