"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"1";"Электронное";"97.0";"—";"3.0";"Участвуете в конкурсе";"1228116";"—"
"2";"1";"Электронное";"83.0";"—";"10.0";"Участвуете в конкурсе";"2340458";"—"
"3";"1";"Электронное";"152.0";"80";"6.0";"Участвуете в конкурсе";"1849173";"—"
"4";"1";"Электронное";"191.0";"97";"3.0";"Участвуете в конкурсе";"2269112";"—"
"5";"1";"Электронное";"263.0";"73 100 81";"9.0";"Участвуете в конкурсе";"1357484";"—"
"6";"1";"Электронное";"273.0";"100 97 67";"9.0";"Участвуете в конкурсе";"1232730";"—"
"7";"1";"Электронное";"258.0";"88 91 70";"9.0";"Участвуете в конкурсе";"1730991";"—"
"8";"1";"Электронное";"262.0";"79 100 75";"8.0";"Участвуете в конкурсе";"1586684";"—"
"9";"1";"Электронное";"253.0";"100 70 75";"8.0";"Участвуете в конкурсе";"2045520";"—"
"10";"1";"Электронное";"286.0";"100 97 83";"6.0";"Участвуете в конкурсе";"1506416";"—"
"11";"1";"Электронное";"295.0";"100 100 89";"6.0";"Участвуете в конкурсе";"1356238";"—"
"12";"1";"Электронное";"171.0";"76";"6.0";"Участвуете в конкурсе";"1703466";"—"
"13";"5";"Электронное";"287.0";"90 94 98";"5.0";"Участвуете в конкурсе";"1240381";"—"
"14";"1";"Электронное";"180.0";"86";"3.0";"Участвуете в конкурсе";"1677416";"—"
"15";"1";"Электронное";"242.0";"86 75 78";"3.0";"Участвуете в конкурсе";"1480581";"—"
"16";"1";"Электронное";"147.0";"89";"—";"Участвуете в конкурсе";"1721946";"—"
"17";"1";"—";"286.0";"98 89 94";"5.0";"Участвуете в конкурсе";"1549664";"—"
"18";"3";"—";"207.0";"100";"10.0";"Участвуете в конкурсе";"1494629";"—"
"19";"1";"Электронное";"270.0";"85 93 83";"9.0";"Участвуете в конкурсе";"1967153";"—"
"20";"1";"Электронное";"176.0";"100";"6.0";"Участвуете в конкурсе";"1683114";"—"
"21";"3";"Электронное";"310.0";"100 100 100";"10.0";"Участвуете в конкурсе";"1543058";"—"
"22";"4";"Электронное";"310.0";"100 100 100";"10.0";"Участвуете в конкурсе";"1792124";"—"
"23";"1";"—";"307.0";"100 100 97";"10.0";"Участвуете в конкурсе";"2158973";"—"
"24";"6";"—";"307.0";"100 100 97";"10.0";"Участвуете в конкурсе";"1633231";"—"
"25";"5";"—";"307.0";"100 97 100";"10.0";"Участвуете в конкурсе";"1484967";"—"
"26";"7";"Электронное";"306.0";"100 100 97";"9.0";"Участвуете в конкурсе";"1418859";"—"
"27";"2";"Электронное";"305.0";"100 100 100";"5.0";"Участвуете в конкурсе";"1446349";"—"
"28";"5";"Электронное";"305.0";"100 100 100";"5.0";"Участвуете в конкурсе";"1245625";"—"
"29";"10";"Электронное";"305.0";"98 97 100";"10.0";"Участвуете в конкурсе";"1642780";"—"
"30";"8";"—";"304.0";"100 94 100";"10.0";"Участвуете в конкурсе";"1605106";"—"
"31";"3";"—";"304.0";"100 100 94";"10.0";"Участвуете в конкурсе";"1257443";"—"
