"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"3";"—";"238.0";"77 66 86";"9.0";"Участвуете в конкурсе";"1073523";"—"
"2";"5";"Электронное";"173.0";"0 83 82";"8.0";"Участвуете в конкурсе";"1594447";"—"
"3";"1";"—";"136.0";"55";"8.0";"Участвуете в конкурсе";"1951742";"—"
"4";"2";"Электронное";"234.0";"83 73 70";"8.0";"Участвуете в конкурсе";"1721147";"—"
"5";"1";"—";"7.0";"—";"7.0";"Участвуете в конкурсе";"1492403";"—"
"6";"5";"—";"248.0";"75 95 72";"6.0";"Участвуете в конкурсе";"1174826";"—"
"7";"3";"—";"288.0";"92 91 99";"6.0";"Участвуете в конкурсе";"1322610";"—"
"8";"1";"—";"249.0";"72 83 88";"6.0";"Участвуете в конкурсе";"1195493";"—"
"9";"4";"Электронное";"302.0";"100 100 97";"5.0";"Участвуете в конкурсе";"1250024";"—"
"10";"2";"—";"291.0";"94 95 97";"5.0";"Участвуете в конкурсе";"1265252";"—"
"11";"1";"—";"276.0";"77 97 97";"5.0";"Участвуете в конкурсе";"1253160";"—"
"12";"2";"—";"271.0";"86 94 86";"5.0";"Участвуете в конкурсе";"1896340";"—"
"13";"1";"—";"261.0";"94 86 76";"5.0";"Участвуете в конкурсе";"1200034";"—"
"14";"2";"—";"237.0";"79 70 83";"5.0";"Участвуете в конкурсе";"1601205";"—"
"15";"4";"Электронное";"137.0";"57";"5.0";"Участвуете в конкурсе";"1559549";"—"
"16";"1";"—";"5.0";"0";"5.0";"Участвуете в конкурсе";"1641199";"—"
"17";"1";"—";"220.0";"68 80 67";"5.0";"Участвуете в конкурсе";"1356184";"—"
"18";"7";"Электронное";"224.0";"75 72 72";"5.0";"Участвуете в конкурсе";"2266431";"—"
"19";"5";"Электронное";"252.0";"88 73 86";"5.0";"Участвуете в конкурсе";"1624680";"—"
"20";"11";"—";"279.0";"85 97 92";"5.0";"Участвуете в конкурсе";"1572915";"—"
"21";"6";"Электронное";"66.0";"—";"5.0";"Участвуете в конкурсе";"1403846";"—"
"22";"6";"Электронное";"248.0";"81 78 84";"5.0";"Участвуете в конкурсе";"1963831";"—"
"23";"4";"Электронное";"287.0";"98 93 91";"5.0";"Участвуете в конкурсе";"1498713";"—"
"24";"1";"—";"296.0";"98 100 95";"3.0";"Участвуете в конкурсе";"1432042";"—"
"25";"5";"Электронное";"269.0";"92 94 80";"3.0";"Участвуете в конкурсе";"1646860";"—"
"26";"12";"Электронное";"252.0";"86 83 80";"3.0";"Участвуете в конкурсе";"1651033";"—"
"27";"12";"Электронное";"239.0";"77 83 76";"3.0";"Участвуете в конкурсе";"1641921";"—"
"28";"4";"—";"220.0";"66 81 70";"3.0";"Участвуете в конкурсе";"1796234";"—"
"29";"8";"Электронное";"245.0";"85 79 78";"3.0";"Участвуете в конкурсе";"1345688";"—"
"30";"5";"Электронное";"247.0";"85 75 84";"3.0";"Участвуете в конкурсе";"1995812";"—"
"31";"4";"—";"216.0";"62 76 75";"3.0";"Участвуете в конкурсе";"1281034";"—"
"32";"5";"Электронное";"204.0";"62 75 64";"3.0";"Участвуете в конкурсе";"1757183";"—"
"33";"7";"—";"246.0";"77 93 73";"3.0";"Участвуете в конкурсе";"1161131";"—"
"34";"1";"—";"187.0";"60 66 58";"3.0";"Участвуете в конкурсе";"2205802";"—"
"35";"7";"—";"3.0";"0 0 0";"3.0";"Участвуете в конкурсе";"996078";"—"
"36";"8";"—";"222.0";"79 70 70";"3.0";"Участвуете в конкурсе";"972367";"—"
"37";"1";"—";"57.0";"0 0 54";"3.0";"Участвуете в конкурсе";"1715184";"—"
"38";"5";"—";"129.0";"56 0 70";"3.0";"Участвуете в конкурсе";"1820221";"—"
"39";"6";"—";"3.0";"0";"3.0";"Участвуете в конкурсе";"975235";"—"
"40";"2";"Электронное";"3.0";"—";"3.0";"Участвуете в конкурсе";"1731421";"—"
"41";"4";"—";"3.0";"—";"3.0";"Участвуете в конкурсе";"2272724";"—"
"42";"4";"Электронное";"206.0";"68 68 67";"3.0";"Участвуете в конкурсе";"2050304";"—"
"43";"2";"Электронное";"114.0";"0 42 70";"2.0";"Участвуете в конкурсе";"1488935";"—"
"44";"7";"—";"177.0";"56 49 70";"2.0";"Участвуете в конкурсе";"1606683";"—"
"45";"1";"Электронное";"196.0";"68 54 72";"2.0";"Участвуете в конкурсе";"1373248";"—"
"46";"10";"—";"151.0";"49 48 52";"2.0";"Участвуете в конкурсе";"1686422";"—"
"47";"2";"—";"225.0";"62 78 83";"2.0";"Участвуете в конкурсе";"1992352";"—"
"48";"4";"—";"205.0";"56 69 78";"2.0";"Участвуете в конкурсе";"1077222";"—"
"49";"6";"—";"228.0";"64 84 78";"2.0";"Участвуете в конкурсе";"1567113";"—"
"50";"1";"—";"112.0";"59";"2.0";"Участвуете в конкурсе";"2273306";"—"
"51";"8";"Электронное";"106.0";"0 64 40";"2.0";"Участвуете в конкурсе";"1069406";"—"
"52";"5";"Электронное";"207.0";"70 63 72";"2.0";"Участвуете в конкурсе";"2048632";"—"
"53";"2";"—";"63.0";"—";"2.0";"Участвуете в конкурсе";"1287543";"—"
"54";"1";"Электронное";"225.0";"67 87 69";"2.0";"Участвуете в конкурсе";"1900819";"—"
"55";"1";"—";"169.0";"56 53 58";"2.0";"Участвуете в конкурсе";"1635769";"—"
"56";"3";"Электронное";"236.0";"94 80 60";"2.0";"Участвуете в конкурсе";"1720253";"—"
"57";"4";"—";"228.0";"75 75 76";"2.0";"Участвуете в конкурсе";"1792947";"—"
"58";"4";"—";"209.0";"73 70 64";"2.0";"Участвуете в конкурсе";"1542160";"—"
"59";"4";"Электронное";"112.0";"60";"—";"Участвуете в конкурсе";"1854354";"—"
"60";"1";"Электронное";"232.0";"87 72 73";"—";"Участвуете в конкурсе";"1194373";"—"
"61";"1";"—";"—";"0 0 0";"—";"Участвуете в конкурсе";"1717096";"—"
"62";"5";"Электронное";"239.0";"73 91 75";"—";"Участвуете в конкурсе";"1379439";"—"
"63";"9";"Электронное";"221.0";"72 75 74";"—";"Участвуете в конкурсе";"1618174";"—"
"64";"2";"—";"228.0";"70 86 72";"—";"Участвуете в конкурсе";"1955910";"—"
"65";"6";"—";"176.0";"63 58 55";"—";"Участвуете в конкурсе";"1824253";"—"
"66";"2";"—";"251.0";"77 94 80";"—";"Участвуете в конкурсе";"1217907";"—"
"67";"8";"—";"209.0";"67 70 72";"—";"Участвуете в конкурсе";"1100563";"—"
"68";"7";"—";"204.0";"55 73 76";"—";"Участвуете в конкурсе";"1171365";"—"
"69";"1";"—";"201.0";"64 76 61";"—";"Участвуете в конкурсе";"1036490";"—"
"70";"3";"—";"232.0";"77 75 80";"—";"Участвуете в конкурсе";"992083";"—"
"71";"8";"—";"235.0";"75 86 74";"—";"Участвуете в конкурсе";"1077696";"—"
"72";"4";"—";"253.0";"73 91 89";"—";"Участвуете в конкурсе";"1403344";"—"
"73";"5";"—";"51.0";"—";"—";"Участвуете в конкурсе";"1214159";"—"
"74";"1";"—";"—";"0";"—";"Участвуете в конкурсе";"1085323";"—"
"75";"1";"—";"171.0";"55 42 74";"—";"Участвуете в конкурсе";"1423058";"—"
"76";"1";"—";"—";"—";"—";"Участвуете в конкурсе";"1705690";"—"
"77";"2";"Электронное";"141.0";"66";"—";"Участвуете в конкурсе";"1477508";"—"
"78";"2";"—";"204.0";"67 73 64";"—";"Участвуете в конкурсе";"1389235";"—"
"79";"1";"—";"82.0";"42";"—";"Участвуете в конкурсе";"1791064";"—"
"80";"6";"—";"—";"—";"—";"Участвуете в конкурсе";"1796053";"—"
"81";"2";"—";"124.0";"0 54 70";"—";"Участвуете в конкурсе";"1777414";"—"
"82";"4";"—";"—";"—";"—";"Участвуете в конкурсе";"1860497";"—"
"83";"2";"—";"52.0";"—";"—";"Участвуете в конкурсе";"997212";"—"
"84";"5";"—";"181.0";"59 58 64";"—";"Участвуете в конкурсе";"1107796";"—"
"85";"1";"—";"46.0";"—";"—";"Участвуете в конкурсе";"2033248";"—"
"86";"1";"—";"—";"—";"—";"Участвуете в конкурсе";"1522616";"—"
"87";"4";"Электронное";"200.0";"66 64 70";"—";"Участвуете в конкурсе";"1496657";"—"
"88";"1";"—";"—";"0 0 0";"—";"Участвуете в конкурсе";"1208012";"—"
"89";"4";"Электронное";"—";"0 0 0";"—";"Участвуете в конкурсе";"950045";"—"
"90";"1";"Электронное";"—";"—";"—";"Участвуете в конкурсе";"1035509";"—"
"91";"2";"—";"143.0";"60";"—";"Участвуете в конкурсе";"1342857";"—"
"92";"3";"—";"237.0";"81 79 77";"—";"Участвуете в конкурсе";"1428646";"—"
"93";"5";"Электронное";"237.0";"88 75 74";"—";"Участвуете в конкурсе";"1055655";"—"
"94";"3";"—";"—";"0 0 0";"—";"Участвуете в конкурсе";"1382985";"—"
"95";"4";"—";"—";"—";"—";"Участвуете в конкурсе";"1936933";"—"
"96";"7";"—";"293.0";"98 100 90";"5.0";"Участвуете в конкурсе";"1247580";"—"
"97";"8";"Электронное";"291.0";"94 99 92";"6.0";"Участвуете в конкурсе";"1786626";"—"
"98";"10";"Электронное";"289.0";"95 91 100";"3.0";"Участвуете в конкурсе";"1580693";"—"
"99";"10";"—";"287.0";"88 91 100";"8.0";"Участвуете в конкурсе";"1262665";"—"
"100";"5";"—";"286.0";"98 93 92";"3.0";"Участвуете в конкурсе";"1378880";"—"
"101";"2";"—";"286.0";"88 97 98";"3.0";"Участвуете в конкурсе";"1163474";"—"
"102";"4";"Электронное";"285.0";"94 88 95";"8.0";"Участвуете в конкурсе";"1796173";"—"
"103";"4";"—";"284.0";"96 90 95";"3.0";"Участвуете в конкурсе";"1378322";"—"
"104";"3";"—";"282.0";"94 91 94";"3.0";"Участвуете в конкурсе";"1653130";"—"
"105";"1";"—";"282.0";"90 100 89";"3.0";"Участвуете в конкурсе";"1488968";"—"
"106";"6";"—";"282.0";"96 86 92";"8.0";"Участвуете в конкурсе";"1545816";"—"
"107";"2";"—";"281.0";"90 97 89";"5.0";"Участвуете в конкурсе";"1454642";"—"
"108";"1";"—";"279.0";"90 95 91";"3.0";"Участвуете в конкурсе";"1858079";"—"
"109";"1";"—";"278.0";"90 97 86";"5.0";"Участвуете в конкурсе";"1147514";"—"
"110";"8";"—";"278.0";"88 86 99";"5.0";"Участвуете в конкурсе";"1278021";"—"
"111";"3";"—";"277.0";"88 95 89";"5.0";"Участвуете в конкурсе";"1427152";"—"
"112";"6";"—";"276.0";"90 91 90";"5.0";"Участвуете в конкурсе";"1514706";"—"
"113";"1";"—";"276.0";"83 89 94";"10.0";"Участвуете в конкурсе";"2096784";"—"
"114";"3";"—";"275.0";"92 84 94";"5.0";"Участвуете в конкурсе";"1605992";"—"
"115";"4";"—";"274.0";"92 91 91";"—";"Участвуете в конкурсе";"1720664";"—"
"116";"9";"Электронное";"274.0";"96 91 82";"5.0";"Участвуете в конкурсе";"1209188";"—"
"117";"5";"—";"274.0";"81 91 94";"8.0";"Участвуете в конкурсе";"1253962";"—"
"118";"5";"—";"273.0";"92 95 86";"—";"Участвуете в конкурсе";"1510831";"—"
"119";"7";"—";"273.0";"79 97 94";"3.0";"Участвуете в конкурсе";"1706047";"—"
"120";"5";"—";"273.0";"86 96 86";"5.0";"Участвуете в конкурсе";"1614905";"—"
"121";"1";"—";"272.0";"88 87 94";"3.0";"Участвуете в конкурсе";"1639794";"—"
"122";"4";"Электронное";"272.0";"88 96 80";"8.0";"Участвуете в конкурсе";"2007147";"—"
"123";"4";"—";"270.0";"85 97 86";"2.0";"Участвуете в конкурсе";"1351126";"—"
"124";"1";"—";"270.0";"92 90 85";"3.0";"Участвуете в конкурсе";"2108798";"—"
"125";"6";"—";"270.0";"90 84 91";"5.0";"Участвуете в конкурсе";"1634388";"—"
