"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"1";"Электронное";"188.0";"78";"10.0";"Участвуете в конкурсе";"1093271";"—"
"2";"1";"Электронное";"83.0";"—";"10.0";"Участвуете в конкурсе";"1838604";"—"
"3";"1";"—";"263.0";"89 70 95";"9.0";"Участвуете в конкурсе";"1561134";"—"
"4";"1";"Электронное";"300.0";"94 100 100";"6.0";"Участвуете в конкурсе";"1649885";"—"
"5";"1";"Электронное";"100.0";"—";"3.0";"Участвуете в конкурсе";"1285031";"—"
"6";"1";"Электронное";"266.0";"94 88 81";"3.0";"Участвуете в конкурсе";"1172850";"—"
"7";"1";"Электронное";"276.0";"91 92 90";"3.0";"Участвуете в конкурсе";"1261912";"—"
"8";"1";"Электронное";"173.0";"78";"—";"Участвуете в конкурсе";"2092307";"—"
"9";"1";"Электронное";"89.0";"—";"3.0";"Участвуете в конкурсе";"2025517";"—"
"10";"1";"Электронное";"278.0";"91 88 90";"9.0";"Участвуете в конкурсе";"1341953";"—"
"11";"1";"Электронное";"188.0";"78";"10.0";"Участвуете в конкурсе";"1463037";"—"
"12";"3";"Электронное";"101.0";"—";"10.0";"Участвуете в конкурсе";"1525901";"—"
"13";"1";"Электронное";"282.0";"94 82 100";"6.0";"Участвуете в конкурсе";"1350432";"—"
"14";"2";"—";"264.0";"86 80 95";"3.0";"Участвуете в конкурсе";"1254100";"—"
"15";"1";"Электронное";"249.0";"73 86 90";"—";"Участвуете в конкурсе";"1180655";"—"
"16";"1";"Электронное";"267.0";"94 74 90";"9.0";"Участвуете в конкурсе";"1197605";"—"
"17";"1";"Электронное";"101.0";"—";"10.0";"Участвуете в конкурсе";"1608767";"—"
"18";"1";"Электронное";"274.0";"81 84 100";"9.0";"Участвуете в конкурсе";"1447796";"—"
"19";"1";"Электронное";"103.0";"—";"9.0";"Участвуете в конкурсе";"1652886";"—"
"20";"1";"Электронное";"92.0";"—";"9.0";"Участвуете в конкурсе";"2083699";"—"
"21";"1";"Электронное";"260.0";"84 81 86";"9.0";"Участвуете в конкурсе";"1358639";"—"
"22";"1";"Электронное";"249.0";"100 66 74";"9.0";"Участвуете в конкурсе";"1632714";"—"
"23";"1";"Электронное";"256.0";"78 72 100";"6.0";"Участвуете в конкурсе";"1623255";"—"
"24";"1";"Электронное";"261.0";"83 86 86";"6.0";"Участвуете в конкурсе";"1601900";"—"
"25";"1";"Электронное";"178.0";"94 78";"6.0";"Участвуете в конкурсе";"1988253";"—"
"26";"6";"—";"185.0";"100 80";"5.0";"Участвуете в конкурсе";"1133572";"—"
"27";"1";"Электронное";"170.0";"89 76";"5.0";"Участвуете в конкурсе";"1160784";"—"
"28";"1";"Электронное";"92.0";"—";"3.0";"Участвуете в конкурсе";"1180546";"—"
