"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"1";"Электронное";"299.0";"92 100 97";"10.0";"Участвуете в конкурсе";"1504161";"—"
"2";"1";"Электронное";"183.0";"90 83";"10.0";"Участвуете в конкурсе";"1725935";"—"
"3";"2";"—";"96.0";"86";"10.0";"Участвуете в конкурсе";"1488444";"—"
"4";"1";"Электронное";"177.0";"100 67";"10.0";"Участвуете в конкурсе";"1155273";"—"
"5";"1";"Электронное";"310.0";"100 100 100";"10.0";"Участвуете в конкурсе";"1424388";"—"
"6";"1";"Электронное";"282.0";"100 81 91";"10.0";"Участвуете в конкурсе";"1976149";"—"
"7";"1";"Электронное";"261.0";"82 91 78";"10.0";"Участвуете в конкурсе";"1672300";"—"
"8";"1";"Электронное";"270.0";"98 72 97";"3.0";"Участвуете в конкурсе";"1200573";"—"
"9";"1";"Электронное";"72.0";"69";"3.0";"Участвуете в конкурсе";"2349506";"—"
"10";"4";"—";"192.0";"98 91";"3.0";"Участвуете в конкурсе";"1509242";"—"
"11";"1";"Электронное";"192.0";"98 91";"3.0";"Участвуете в конкурсе";"2076842";"—"
"12";"1";"Электронное";"237.0";"86 67 84";"—";"Участвуете в конкурсе";"1751852";"—"
"13";"1";"Электронное";"274.0";"96 89 89";"—";"Участвуете в конкурсе";"1339363";"—"
"14";"1";"Электронное";"111.0";"45 66";"—";"Участвуете в конкурсе";"975512";"—"
"15";"1";"Электронное";"75.0";"75";"—";"Участвуете в конкурсе";"1102599";"—"
"16";"1";"Электронное";"96.0";"86";"10.0";"Участвуете в конкурсе";"1248091";"—"
"17";"1";"Электронное";"192.0";"98 89";"5.0";"Участвуете в конкурсе";"1287405";"—"
"18";"1";"Электронное";"310.0";"100 100 100";"10.0";"Участвуете в конкурсе";"1633733";"—"
"19";"2";"Электронное";"307.0";"98 100 100";"9.0";"Участвуете в конкурсе";"1316879";"—"
"20";"1";"—";"307.0";"100 97 100";"10.0";"Участвуете в конкурсе";"1247646";"—"
