"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"1";"—";"267.0";"79 94 86";"8.0";"Участвуете в конкурсе";"1658719";"—"
"2";"5";"Электронное";"280.0";"82 93 100";"5.0";"Участвуете в конкурсе";"1482865";"—"
"3";"4";"Электронное";"256.0";"77 77 97";"5.0";"Участвуете в конкурсе";"1746626";"—"
"4";"4";"—";"285.0";"92 94 94";"5.0";"Участвуете в конкурсе";"1614410";"—"
"5";"4";"Электронное";"289.0";"90 94 100";"5.0";"Участвуете в конкурсе";"1262778";"—"
"6";"2";"—";"266.0";"80 95 86";"5.0";"Участвуете в конкурсе";"1607071";"—"
"7";"1";"—";"224.0";"69 67 83";"5.0";"Участвуете в конкурсе";"1824511";"—"
"8";"4";"Электронное";"277.0";"81 91 100";"5.0";"Участвуете в конкурсе";"1443143";"—"
"9";"4";"Электронное";"147.0";"75";"5.0";"Участвуете в конкурсе";"2189289";"—"
"10";"5";"—";"175.0";"81";"5.0";"Участвуете в конкурсе";"1256208";"—"
"11";"4";"Электронное";"237.0";"84 76 72";"5.0";"Участвуете в конкурсе";"1636942";"—"
"12";"6";"—";"233.0";"63 84 81";"5.0";"Участвуете в конкурсе";"1516787";"—"
"13";"4";"—";"297.0";"96 98 100";"3.0";"Участвуете в конкурсе";"1432042";"—"
"14";"2";"Электронное";"290.0";"96 97 94";"3.0";"Участвуете в конкурсе";"973386";"—"
"15";"2";"Электронное";"285.0";"96 92 94";"3.0";"Участвуете в конкурсе";"1646860";"—"
"16";"1";"—";"278.0";"96 85 94";"3.0";"Участвуете в конкурсе";"2223399";"—"
"17";"1";"Электронное";"252.0";"71 87 91";"3.0";"Участвуете в конкурсе";"1739197";"—"
"18";"6";"—";"259.0";"80 93 83";"3.0";"Участвуете в конкурсе";"2055195";"—"
"19";"1";"—";"84.0";"—";"3.0";"Участвуете в конкурсе";"2076314";"—"
"20";"7";"Электронное";"227.0";"82 70 72";"3.0";"Участвуете в конкурсе";"1325498";"—"
"21";"2";"Электронное";"3.0";"0 0 0";"3.0";"Участвуете в конкурсе";"1070425";"—"
"22";"2";"—";"263.0";"84 87 89";"3.0";"Участвуете в конкурсе";"1440242";"—"
"23";"5";"—";"152.0";"70";"3.0";"Участвуете в конкурсе";"972367";"—"
"24";"4";"—";"209.0";"75 78 53";"3.0";"Участвуете в конкурсе";"942341";"—"
"25";"2";"—";"199.0";"70 56 70";"3.0";"Участвуете в конкурсе";"1820221";"—"
"26";"5";"—";"198.0";"65 71 59";"3.0";"Участвуете в конкурсе";"1898786";"—"
"27";"3";"Электронное";"254.0";"92 87 72";"3.0";"Участвуете в конкурсе";"1413446";"—"
"28";"2";"—";"222.0";"71 68 81";"2.0";"Участвуете в конкурсе";"1419623";"—"
"29";"2";"Электронное";"—";"—";"—";"Участвуете в конкурсе";"1129419";"—"
"30";"7";"Электронное";"240.0";"70 86 84";"—";"Участвуете в конкурсе";"1723370";"—"
"31";"5";"—";"214.0";"63 79 72";"—";"Участвуете в конкурсе";"1213941";"—"
"32";"1";"—";"—";"0 0 0";"—";"Участвуете в конкурсе";"937997";"—"
"33";"1";"Электронное";"181.0";"65 52 64";"—";"Участвуете в конкурсе";"1846725";"—"
"34";"6";"—";"211.0";"73 68 70";"—";"Участвуете в конкурсе";"1411359";"—"
"35";"3";"Электронное";"228.0";"82 68 78";"—";"Участвуете в конкурсе";"1983675";"—"
"36";"1";"—";"272.0";"92 91 89";"—";"Участвуете в конкурсе";"1403344";"—"
"37";"1";"—";"241.0";"80 89 72";"—";"Участвуете в конкурсе";"1439055";"—"
"38";"7";"Электронное";"241.0";"88 67 86";"—";"Участвуете в конкурсе";"1515974";"—"
"39";"5";"—";"215.0";"70 67 78";"—";"Участвуете в конкурсе";"2122085";"—"
"40";"1";"—";"207.0";"70 62 75";"—";"Участвуете в конкурсе";"1714174";"—"
"41";"3";"—";"201.0";"73 70 58";"—";"Участвуете в конкурсе";"1578698";"—"
"42";"1";"—";"208.0";"77 64 67";"—";"Участвуете в конкурсе";"1403957";"—"
"43";"4";"—";"245.0";"95 87 63";"—";"Участвуете в конкурсе";"1205890";"—"
"44";"6";"—";"199.0";"68 56 75";"—";"Участвуете в конкурсе";"1257215";"—"
"45";"1";"Электронное";"222.0";"81 66 75";"—";"Участвуете в конкурсе";"1477508";"—"
"46";"3";"Электронное";"238.0";"92 71 75";"—";"Участвуете в конкурсе";"2191996";"—"
"47";"6";"Электронное";"254.0";"76 89 89";"—";"Участвуете в конкурсе";"1824838";"—"
"48";"4";"Электронное";"210.0";"78 68 64";"—";"Участвуете в конкурсе";"1194369";"—"
"49";"5";"—";"180.0";"53 60 67";"—";"Участвуете в конкурсе";"1936133";"—"
"50";"1";"—";"192.0";"76 49 67";"—";"Участвуете в конкурсе";"2339242";"—"
"51";"3";"Электронное";"—";"—";"—";"Участвуете в конкурсе";"2195972";"—"
"52";"5";"Электронное";"254.0";"87 78 89";"—";"Участвуете в конкурсе";"2408535";"—"
"53";"3";"—";"229.0";"86 60 83";"—";"Участвуете в конкурсе";"1342857";"—"
"54";"1";"—";"152.0";"46 42 64";"—";"Участвуете в конкурсе";"2217016";"—"
"55";"1";"—";"189.0";"80 49 60";"—";"Участвуете в конкурсе";"1183510";"—"
"56";"3";"—";"80.0";"42";"—";"Участвуете в конкурсе";"2393344";"—"
"57";"1";"—";"—";"—";"—";"Участвуете в конкурсе";"2139058";"—"
