"Порядковый номер";"Приоритет конкурса";"Наличие договора";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"4";"Электронное";"302.0";"100 97 100";"5.0";"Участвуете в конкурсе";"1287124";"—"
"2";"5";"Электронное";"301.0";"98 100 100";"3.0";"Участвуете в конкурсе";"1707339";"—"
"3";"6";"Электронное";"295.0";"97 98 100";"—";"Участвуете в конкурсе";"1728313";"—"
"4";"10";"—";"294.0";"98 97 96";"3.0";"Участвуете в конкурсе";"1401780";"—"
"5";"2";"Электронное";"293.0";"96 94 98";"5.0";"Участвуете в конкурсе";"2005895";"—"
"6";"4";"Электронное";"291.0";"100 81 100";"10.0";"Участвуете в конкурсе";"1844992";"—"
"7";"5";"—";"290.0";"98 94 95";"3.0";"Участвуете в конкурсе";"2307385";"—"
"8";"5";"Электронное";"289.0";"95 89 95";"10.0";"Участвуете в конкурсе";"1895993";"—"
"9";"5";"Электронное";"288.0";"94 97 95";"2.0";"Участвуете в конкурсе";"2314524";"—"
"10";"4";"—";"287.0";"93 86 98";"10.0";"Участвуете в конкурсе";"1577464";"—"
"11";"7";"Электронное";"287.0";"90 97 90";"10.0";"Участвуете в конкурсе";"1399843";"—"
"12";"2";"—";"286.0";"98 91 94";"3.0";"Участвуете в конкурсе";"1362882";"—"
"13";"3";"Электронное";"286.0";"93 89 99";"5.0";"Участвуете в конкурсе";"2199628";"—"
"14";"6";"Электронное";"283.0";"98 83 99";"3.0";"Участвуете в конкурсе";"1206264";"—"
"15";"4";"Электронное";"283.0";"95 89 96";"3.0";"Участвуете в конкурсе";"1260166";"—"
"16";"3";"Электронное";"282.0";"90 91 96";"5.0";"Участвуете в конкурсе";"1515540";"—"
"17";"1";"Электронное";"279.0";"94 89 86";"10.0";"Участвуете в конкурсе";"1620910";"—"
"18";"5";"Электронное";"278.0";"93 90 90";"5.0";"Участвуете в конкурсе";"1518166";"—"
"19";"1";"—";"277.0";"98 78 99";"2.0";"Участвуете в конкурсе";"1437055";"—"
"20";"2";"Электронное";"277.0";"87 92 95";"3.0";"Участвуете в конкурсе";"1914533";"—"
"21";"2";"—";"277.0";"88 94 90";"5.0";"Участвуете в конкурсе";"2107677";"—"
"22";"6";"—";"276.0";"95 78 100";"3.0";"Участвуете в конкурсе";"1541783";"—"
