"Порядковый номер";"Приоритет конкурса";"Наличие договора";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"5";"—";"280.0";"98 93 89";"—";"Участвуете в конкурсе";"954149";"—"
"2";"8";"—";"268.0";"90 93 83";"2.0";"Участвуете в конкурсе";"1334656";"—"
"3";"7";"—";"254.0";"82 91 81";"—";"Участвуете в конкурсе";"1242005";"—"
"4";"2";"—";"254.0";"82 78 89";"5.0";"Участвуете в конкурсе";"1208531";"—"
"5";"3";"Электронное";"251.0";"78 93 75";"5.0";"Участвуете в конкурсе";"1492576";"—"
"6";"2";"—";"249.0";"68 89 89";"3.0";"Участвуете в конкурсе";"1794643";"—"
"7";"2";"Электронное";"240.0";"74 76 87";"3.0";"Участвуете в конкурсе";"1142568";"—"
"8";"5";"Электронное";"231.0";"78 80 73";"—";"Участвуете в конкурсе";"1261977";"—"
"9";"4";"—";"220.0";"79 66 72";"3.0";"Участвуете в конкурсе";"1306797";"—"
"10";"5";"—";"213.0";"62 84 67";"—";"Участвуете в конкурсе";"1913808";"—"
