"Порядковый номер";"Приоритет конкурса";"Наличие договора";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"2";"—";"257.0";"81 95 75";"6.0";"Участвуете в конкурсе";"1052432";"—"
"2";"5";"—";"276.0";"77 97 97";"5.0";"Участвуете в конкурсе";"1253160";"—"
"3";"11";"Электронное";"242.0";"68 78 91";"5.0";"Участвуете в конкурсе";"1881128";"—"
"4";"15";"Электронное";"238.0";"70 91 72";"5.0";"Участвуете в конкурсе";"1616194";"—"
"5";"3";"—";"255.0";"80 81 89";"5.0";"Участвуете в конкурсе";"1256208";"—"
"6";"1";"Электронное";"227.0";"71 82 69";"5.0";"Участвуете в конкурсе";"1231488";"—"
"7";"4";"—";"220.0";"68 80 67";"5.0";"Участвуете в конкурсе";"1356184";"—"
"8";"5";"Электронное";"237.0";"84 76 72";"5.0";"Участвуете в конкурсе";"1636942";"—"
"9";"7";"—";"259.0";"80 93 83";"3.0";"Участвуете в конкурсе";"2055195";"—"
"10";"6";"—";"246.0";"77 93 73";"3.0";"Участвуете в конкурсе";"1161131";"—"
"11";"6";"—";"245.0";"75 95 72";"3.0";"Участвуете в конкурсе";"1174826";"—"
"12";"6";"Электронное";"227.0";"82 70 72";"3.0";"Участвуете в конкурсе";"1325498";"—"
"13";"9";"—";"228.0";"64 84 78";"2.0";"Участвуете в конкурсе";"1567113";"—"
"14";"5";"—";"205.0";"67 70 66";"2.0";"Участвуете в конкурсе";"1474852";"—"
"15";"5";"—";"211.0";"64 72 75";"—";"Участвуете в конкурсе";"960501";"—"
"16";"6";"Электронное";"239.0";"73 91 75";"—";"Участвуете в конкурсе";"1379439";"—"
"17";"2";"—";"125.0";"63 62 0";"—";"Участвуете в конкурсе";"1069702";"—"
"18";"10";"—";"176.0";"63 58 55";"—";"Участвуете в конкурсе";"1824253";"—"
"19";"1";"—";"186.0";"60 66 60";"—";"Участвуете в конкурсе";"1741707";"—"
"20";"1";"—";"223.0";"76 69 78";"—";"Участвуете в конкурсе";"1578558";"—"
"21";"3";"—";"110.0";"51 59";"—";"Участвуете в конкурсе";"1214159";"—"
"22";"9";"Электронное";"250.0";"80 90 80";"—";"Участвуете в конкурсе";"1784609";"—"
"23";"4";"Электронное";"127.0";"67 60";"—";"Участвуете в конкурсе";"1162470";"—"
"24";"3";"Электронное";"210.0";"78 68 64";"—";"Участвуете в конкурсе";"1194369";"—"
"25";"2";"—";"246.0";"68 95 83";"—";"Участвуете в конкурсе";"1056893";"—"
"26";"2";"—";"195.0";"62 70 63";"—";"Участвуете в конкурсе";"1593051";"—"
"27";"2";"—";"210.0";"64 80 66";"—";"Участвуете в конкурсе";"1480126";"—"
"28";"2";"Электронное";"205.0";"88 57 60";"—";"Участвуете в конкурсе";"1895648";"—"
"29";"1";"—";"271.0";"88 89 94";"—";"Участвуете в конкурсе";"2130417";"—"
"30";"5";"—";"229.0";"86 60 83";"—";"Участвуете в конкурсе";"1342857";"—"
"31";"5";"—";"102.0";"47 55";"—";"Участвуете в конкурсе";"2406721";"—"
"32";"4";"—";"304.0";"100 95 100";"9.0";"Участвуете в конкурсе";"1360320";"—"
"33";"3";"—";"286.0";"98 89 97";"2.0";"Участвуете в конкурсе";"2032638";"—"
"34";"7";"Электронное";"285.0";"90 95 95";"5.0";"Участвуете в конкурсе";"1265099";"—"
"35";"5";"Электронное";"283.0";"100 89 92";"2.0";"Участвуете в конкурсе";"1613990";"—"
"36";"5";"—";"283.0";"84 93 100";"6.0";"Участвуете в конкурсе";"1571870";"—"
"37";"2";"—";"282.0";"90 100 89";"3.0";"Участвуете в конкурсе";"1488968";"—"
"38";"5";"—";"279.0";"90 95 91";"3.0";"Участвуете в конкурсе";"1858079";"—"
"39";"5";"—";"278.0";"92 87 91";"8.0";"Участвуете в конкурсе";"1433769";"—"
"40";"7";"—";"274.0";"92 91 91";"—";"Участвуете в конкурсе";"1720664";"—"
"41";"8";"—";"273.0";"92 95 86";"—";"Участвуете в конкурсе";"1510831";"—"
"42";"7";"—";"273.0";"82 95 91";"5.0";"Участвуете в конкурсе";"1725663";"—"
"43";"5";"—";"273.0";"78 93 97";"5.0";"Участвуете в конкурсе";"1157736";"—"
"44";"5";"Электронное";"272.0";"92 97 83";"—";"Участвуете в конкурсе";"2339692";"—"
"45";"8";"Электронное";"272.0";"91 94 84";"3.0";"Участвуете в конкурсе";"1853885";"—"
"46";"2";"—";"271.0";"76 93 97";"5.0";"Участвуете в конкурсе";"1521282";"—"
"47";"4";"—";"271.0";"90 87 86";"8.0";"Участвуете в конкурсе";"1349272";"—"
"48";"1";"—";"269.0";"85 93 89";"2.0";"Участвуете в конкурсе";"1105226";"—"
"49";"5";"—";"269.0";"94 97 75";"3.0";"Участвуете в конкурсе";"1795595";"—"
"50";"5";"Электронное";"269.0";"79 93 94";"3.0";"Участвуете в конкурсе";"1290663";"—"
"51";"1";"—";"268.0";"83 91 89";"5.0";"Участвуете в конкурсе";"1575649";"—"
"52";"5";"—";"267.0";"90 80 94";"3.0";"Участвуете в конкурсе";"1855288";"—"
"53";"2";"—";"264.0";"85 93 86";"—";"Участвуете в конкурсе";"1160855";"—"
"54";"4";"Электронное";"263.0";"77 95 86";"5.0";"Участвуете в конкурсе";"1268193";"—"
"55";"3";"—";"263.0";"80 82 91";"10.0";"Участвуете в конкурсе";"1328610";"—"
"56";"4";"—";"262.0";"79 97 81";"5.0";"Участвуете в конкурсе";"1950476";"—"
"57";"2";"Электронное";"261.0";"78 100 83";"—";"Участвуете в конкурсе";"1415600";"—"
"58";"3";"—";"260.0";"77 89 91";"3.0";"Участвуете в конкурсе";"1332557";"—"
"59";"1";"—";"259.0";"79 89 91";"—";"Участвуете в конкурсе";"1088510";"—"
