"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"1";"Электронное";"104.0";"94";"10.0";"Участвуете в конкурсе";"1517022";"—"
"2";"1";"Электронное";"100.0";"94";"6.0";"Участвуете в конкурсе";"1605892";"—"
"3";"1";"Электронное";"101.0";"91";"10.0";"Участвуете в конкурсе";"1041211";"—"
"4";"1";"Электронное";"94.0";"91";"3.0";"Участвуете в конкурсе";"1250108";"—"
"5";"1";"Электронное";"201.0";"91 100";"10.0";"Участвуете в конкурсе";"1289798";"—"
"6";"1";"Электронное";"193.0";"94 89";"10.0";"Участвуете в конкурсе";"2242590";"—"
"7";"1";"Электронное";"162.0";"76 83";"3.0";"Участвуете в конкурсе";"1250387";"—"
"8";"1";"Электронное";"198.0";"97 91";"10.0";"Участвуете в конкурсе";"1194925";"—"
"9";"1";"Электронное";"207.0";"97 100";"10.0";"Участвуете в конкурсе";"1349737";"—"
"10";"1";"Электронное";"98.0";"89";"9.0";"Участвуете в конкурсе";"1497811";"—"
"11";"1";"Электронное";"172.0";"91 75";"6.0";"Участвуете в конкурсе";"1129886";"—"
"12";"1";"Электронное";"182.0";"93 86";"3.0";"Участвуете в конкурсе";"1251270";"—"
"13";"5";"—";"100.0";"94";"6.0";"Участвуете в конкурсе";"1343744";"—"
"14";"1";"Электронное";"165.0";"89 70";"6.0";"Участвуете в конкурсе";"1603770";"—"
"15";"1";"—";"303.0";"100 97 100";"6.0";"Участвуете в конкурсе";"1352841";"—"
"16";"5";"—";"303.0";"100 97 100";"6.0";"Участвуете в конкурсе";"1860261";"—"
"17";"1";"—";"303.0";"95 100 100";"8.0";"Участвуете в конкурсе";"2014351";"—"
"18";"8";"—";"301.0";"91 100 100";"10.0";"Участвуете в конкурсе";"1216116";"—"
"19";"5";"—";"300.0";"98 97 97";"8.0";"Участвуете в конкурсе";"1654442";"—"
"20";"1";"—";"300.0";"96 100 94";"10.0";"Участвуете в конкурсе";"1244682";"—"
"21";"7";"—";"298.0";"95 97 100";"6.0";"Участвуете в конкурсе";"1706147";"—"
"22";"1";"—";"297.0";"100 97 97";"3.0";"Участвуете в конкурсе";"1175819";"—"
"23";"3";"Электронное";"297.0";"100 91 100";"6.0";"Участвуете в конкурсе";"1550542";"—"
"24";"10";"—";"297.0";"98 97 94";"8.0";"Участвуете в конкурсе";"1617421";"—"
"25";"5";"Электронное";"297.0";"100 87 100";"10.0";"Участвуете в конкурсе";"1696627";"—"
"26";"7";"—";"296.0";"97 97 100";"2.0";"Участвуете в конкурсе";"1643739";"—"
"27";"2";"Электронное";"296.0";"90 100 100";"6.0";"Участвуете в конкурсе";"1175520";"—"
"28";"3";"Электронное";"296.0";"100 100 86";"10.0";"Участвуете в конкурсе";"1727841";"—"
"29";"3";"—";"296.0";"86 100 100";"10.0";"Участвуете в конкурсе";"1572917";"—"
"30";"4";"—";"295.0";"96 97 97";"5.0";"Участвуете в конкурсе";"1261263";"—"
"31";"8";"—";"295.0";"98 97 94";"6.0";"Участвуете в конкурсе";"1525627";"—"
"32";"7";"—";"295.0";"94 100 91";"10.0";"Участвуете в конкурсе";"1194488";"—"
"33";"8";"—";"294.0";"94 97 100";"3.0";"Участвуете в конкурсе";"1405390";"—"
"34";"3";"—";"294.0";"92 100 97";"5.0";"Участвуете в конкурсе";"1549633";"—"
"35";"2";"—";"294.0";"95 94 100";"5.0";"Участвуете в конкурсе";"1417350";"—"
"36";"5";"—";"294.0";"96 93 100";"5.0";"Участвуете в конкурсе";"1261209";"—"
"37";"3";"—";"294.0";"100 87 97";"10.0";"Участвуете в конкурсе";"1655917";"—"
"38";"1";"Электронное";"293.0";"96 100 97";"—";"Участвуете в конкурсе";"1637024";"—"
"39";"8";"Электронное";"293.0";"96 97 97";"3.0";"Участвуете в конкурсе";"1186639";"—"
"40";"1";"—";"293.0";"98 95 97";"3.0";"Участвуете в конкурсе";"1853223";"—"
"41";"1";"—";"293.0";"87 100 100";"6.0";"Участвуете в конкурсе";"1573028";"—"
"42";"2";"Электронное";"292.0";"88 97 97";"10.0";"Участвуете в конкурсе";"1603935";"—"
"43";"2";"Электронное";"291.0";"96 95 97";"3.0";"Участвуете в конкурсе";"951869";"—"
"44";"1";"—";"291.0";"98 93 97";"3.0";"Участвуете в конкурсе";"1334877";"—"
"45";"7";"—";"291.0";"96 93 97";"5.0";"Участвуете в конкурсе";"1390548";"—"
"46";"4";"—";"291.0";"100 89 94";"8.0";"Участвуете в конкурсе";"1954289";"—"
"47";"5";"—";"291.0";"86 97 100";"8.0";"Участвуете в конкурсе";"1641105";"—"
"48";"2";"—";"290.0";"94 95 95";"6.0";"Участвуете в конкурсе";"963351";"—"
"49";"1";"Электронное";"289.0";"100 95 91";"3.0";"Участвуете в конкурсе";"1872246";"—"
"50";"1";"—";"288.0";"100 91 94";"3.0";"Участвуете в конкурсе";"996874";"—"
"51";"3";"Электронное";"288.0";"94 100 91";"3.0";"Участвуете в конкурсе";"1513958";"—"
"52";"6";"—";"288.0";"94 97 94";"3.0";"Участвуете в конкурсе";"1495539";"—"
"53";"6";"—";"288.0";"88 100 94";"6.0";"Участвуете в конкурсе";"1499159";"—"
"54";"1";"Электронное";"287.0";"93 91 100";"3.0";"Участвуете в конкурсе";"1656451";"—"
"55";"8";"—";"287.0";"90 95 97";"5.0";"Участвуете в конкурсе";"1719320";"—"
"56";"1";"—";"287.0";"93 94 94";"6.0";"Участвуете в конкурсе";"1906448";"—"
"57";"8";"Электронное";"287.0";"100 87 91";"9.0";"Участвуете в конкурсе";"1107571";"—"
"58";"4";"—";"286.0";"100 95 91";"—";"Участвуете в конкурсе";"1346573";"—"
"59";"2";"Электронное";"286.0";"100 94 89";"3.0";"Участвуете в конкурсе";"1431484";"—"
"60";"2";"—";"286.0";"100 80 100";"6.0";"Участвуете в конкурсе";"1239263";"—"
"61";"2";"—";"286.0";"84 97 97";"8.0";"Участвуете в конкурсе";"1443867";"—"
"62";"3";"—";"285.0";"97 91 94";"3.0";"Участвуете в конкурсе";"1332744";"—"
"63";"2";"—";"285.0";"93 100 89";"3.0";"Участвуете в конкурсе";"1765913";"—"
"64";"1";"—";"284.0";"94 87 100";"3.0";"Участвуете в конкурсе";"1290232";"—"
"65";"7";"Электронное";"284.0";"88 93 97";"6.0";"Участвуете в конкурсе";"958988";"—"
