"Порядковый номер";"Приоритет конкурса";"Наличие договора";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"3";"—";"266.0";"69 95 97";"5.0";"Участвуете в конкурсе";"1265252";"—"
"2";"3";"—";"136.0";"67 69";"—";"Участвуете в конкурсе";"2279568";"—"
"3";"1";"Электронное";"—";"—";"—";"Участвуете в конкурсе";"1129419";"—"
"4";"6";"—";"97.0";"45 52";"—";"Участвуете в конкурсе";"963772";"—"
"5";"5";"Электронное";"114.0";"66 48";"—";"Участвуете в конкурсе";"1388627";"—"
"6";"1";"—";"110.0";"51 59";"—";"Участвуете в конкурсе";"1214159";"—"
"7";"3";"Электронное";"212.0";"80 66 66";"—";"Участвуете в конкурсе";"2022518";"—"
"8";"3";"Электронное";"127.0";"67 60";"—";"Участвуете в конкурсе";"1162470";"—"
"9";"6";"—";"—";"—";"—";"Участвуете в конкурсе";"1860497";"—"
"10";"3";"—";"246.0";"68 95 83";"—";"Участвуете в конкурсе";"1056893";"—"
"11";"5";"—";"133.0";"70 63";"—";"Участвуете в конкурсе";"1593051";"—"
"12";"3";"Электронное";"111.0";"52 59";"—";"Участвуете в конкурсе";"1024062";"—"
"13";"3";"—";"146.0";"80 66";"—";"Участвуете в конкурсе";"1480126";"—"
"14";"6";"Электронное";"205.0";"88 57 60";"—";"Участвуете в конкурсе";"1895648";"—"
"15";"1";"—";"—";"0 0";"—";"Участвуете в конкурсе";"1364703";"—"
"16";"6";"Электронное";"283.0";"100 89 92";"2.0";"Участвуете в конкурсе";"1613990";"—"
"17";"2";"Электронное";"272.0";"91 94 84";"3.0";"Участвуете в конкурсе";"1853885";"—"
"18";"1";"Электронное";"267.0";"89 94 82";"2.0";"Участвуете в конкурсе";"1345150";"—"
"19";"6";"—";"257.0";"76 87 86";"8.0";"Участвуете в конкурсе";"1349272";"—"
"20";"4";"—";"252.0";"76 84 89";"3.0";"Участвуете в конкурсе";"1894170";"—"
"21";"1";"—";"252.0";"82 83 84";"3.0";"Участвуете в конкурсе";"1539325";"—"
"22";"4";"—";"250.0";"78 72 94";"6.0";"Участвуете в конкурсе";"1624816";"—"
"23";"1";"—";"249.0";"82 89 78";"—";"Участвуете в конкурсе";"1576705";"—"
"24";"2";"—";"243.0";"79 87 75";"2.0";"Участвуете в конкурсе";"1031898";"—"
"25";"2";"—";"241.0";"78 70 90";"3.0";"Участвуете в конкурсе";"1337253";"—"
"26";"1";"—";"236.0";"92 72 72";"—";"Участвуете в конкурсе";"1000860";"—"
"27";"5";"—";"230.0";"77 89 64";"—";"Участвуете в конкурсе";"1143581";"—"
"28";"4";"—";"226.0";"62 89 72";"3.0";"Участвуете в конкурсе";"1476904";"—"
