"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"1";"Электронное";"263.0";"100 74 81";"8.0";"Участвуете в конкурсе";"1577781";"—"
"2";"2";"—";"306.0";"100 100 97";"9.0";"Участвуете в конкурсе";"1445984";"—"
"3";"3";"—";"305.0";"95 100 100";"10.0";"Участвуете в конкурсе";"1654649";"—"
"4";"9";"—";"303.0";"98 100 100";"5.0";"Участвуете в конкурсе";"1368191";"—"
"5";"4";"—";"303.0";"96 97 100";"10.0";"Участвуете в конкурсе";"1646429";"—"
"6";"3";"—";"302.0";"96 100 100";"6.0";"Участвуете в конкурсе";"1844400";"—"
"7";"7";"—";"301.0";"100 95 100";"6.0";"Участвуете в конкурсе";"1959767";"—"
"8";"3";"—";"301.0";"100 91 100";"10.0";"Участвуете в конкурсе";"1216116";"—"
"9";"4";"—";"300.0";"100 100 94";"6.0";"Участвуете в конкурсе";"1155596";"—"
"10";"4";"—";"300.0";"98 97 97";"8.0";"Участвуете в конкурсе";"1654442";"—"
"11";"2";"—";"300.0";"96 100 94";"10.0";"Участвуете в конкурсе";"1215256";"—"
"12";"8";"Электронное";"298.0";"100 97 99";"2.0";"Участвуете в конкурсе";"1433717";"—"
"13";"2";"—";"297.0";"100 91 100";"6.0";"Участвуете в конкурсе";"1292189";"—"
"14";"5";"—";"297.0";"98 97 94";"8.0";"Участвуете в конкурсе";"1617421";"—"
"15";"2";"—";"297.0";"100 93 94";"10.0";"Участвуете в конкурсе";"1206999";"—"
"16";"2";"Электронное";"296.0";"98 95 97";"6.0";"Участвуете в конкурсе";"1267699";"—"
"17";"3";"—";"296.0";"100 95 91";"10.0";"Участвуете в конкурсе";"1481903";"—"
"18";"3";"—";"295.0";"92 100 100";"3.0";"Участвуете в конкурсе";"967467";"—"
"19";"2";"—";"295.0";"96 100 94";"5.0";"Участвуете в конкурсе";"1408639";"—"
"20";"4";"—";"295.0";"98 97 94";"6.0";"Участвуете в конкурсе";"1525627";"—"
"21";"4";"—";"295.0";"94 100 91";"10.0";"Участвуете в конкурсе";"1194488";"—"
"22";"4";"—";"294.0";"94 97 100";"3.0";"Участвуете в конкурсе";"1405390";"—"
"23";"4";"—";"294.0";"96 93 100";"5.0";"Участвуете в конкурсе";"1575522";"—"
"24";"2";"—";"294.0";"100 91 97";"6.0";"Участвуете в конкурсе";"1173028";"—"
"25";"3";"—";"294.0";"96 95 97";"6.0";"Участвуете в конкурсе";"1585191";"—"
"26";"3";"Электронное";"294.0";"88 100 100";"6.0";"Участвуете в конкурсе";"958988";"—"
"27";"3";"—";"294.0";"100 95 89";"10.0";"Участвуете в конкурсе";"1268210";"—"
"28";"1";"Электронное";"293.0";"96 97 97";"3.0";"Участвуете в конкурсе";"1186639";"—"
"29";"2";"—";"293.0";"94 97 97";"5.0";"Участвуете в конкурсе";"1265471";"—"
"30";"2";"—";"293.0";"90 97 100";"6.0";"Участвуете в конкурсе";"1520040";"—"
"31";"7";"—";"292.0";"100 95 94";"3.0";"Участвуете в конкурсе";"1201851";"—"
"32";"3";"Электронное";"292.0";"98 97 94";"3.0";"Участвуете в конкурсе";"2395601";"—"
"33";"3";"—";"292.0";"96 100 91";"5.0";"Участвуете в конкурсе";"1559287";"—"
"34";"2";"—";"292.0";"96 97 94";"5.0";"Участвуете в конкурсе";"961992";"—"
"35";"2";"—";"292.0";"90 100 94";"8.0";"Участвуете в конкурсе";"980472";"—"
"36";"2";"Электронное";"291.0";"100 95 91";"5.0";"Участвуете в конкурсе";"1277397";"—"
"37";"2";"—";"291.0";"96 93 97";"5.0";"Участвуете в конкурсе";"1390548";"—"
"38";"2";"—";"291.0";"96 95 94";"6.0";"Участвуете в конкурсе";"1430479";"—"
"39";"2";"—";"291.0";"86 97 100";"8.0";"Участвуете в конкурсе";"1641105";"—"
"40";"8";"—";"290.0";"90 97 100";"3.0";"Участвуете в конкурсе";"1182552";"—"
"41";"1";"—";"290.0";"95 100 89";"6.0";"Участвуете в конкурсе";"1194114";"—"
"42";"2";"—";"290.0";"92 95 97";"6.0";"Участвуете в конкурсе";"1772440";"—"
"43";"1";"—";"290.0";"100 87 97";"6.0";"Участвуете в конкурсе";"1488259";"—"
"44";"3";"—";"289.0";"96 93 100";"—";"Участвуете в конкурсе";"1694005";"—"
"45";"3";"Электронное";"289.0";"100 95 91";"3.0";"Участвуете в конкурсе";"1872246";"—"
"46";"3";"—";"289.0";"96 93 94";"6.0";"Участвуете в конкурсе";"1125432";"—"
"47";"2";"—";"288.0";"94 97 94";"3.0";"Участвуете в конкурсе";"1495539";"—"
"48";"1";"—";"288.0";"90 95 100";"3.0";"Участвуете в конкурсе";"981906";"—"
"49";"4";"—";"288.0";"88 100 97";"3.0";"Участвуете в конкурсе";"1791485";"—"
"50";"1";"Электронное";"288.0";"96 89 97";"6.0";"Участвуете в конкурсе";"2080244";"—"
"51";"3";"Электронное";"288.0";"100 84 94";"10.0";"Участвуете в конкурсе";"1230168";"—"
"52";"3";"Электронное";"288.0";"90 91 97";"10.0";"Участвуете в конкурсе";"1492848";"—"
"53";"2";"—";"288.0";"88 93 97";"10.0";"Участвуете в конкурсе";"1543948";"—"
"54";"2";"—";"287.0";"96 97 91";"3.0";"Участвуете в конкурсе";"1404993";"—"
"55";"3";"—";"287.0";"96 95 91";"5.0";"Участвуете в конкурсе";"1350488";"—"
"56";"2";"—";"287.0";"94 97 91";"5.0";"Участвуете в конкурсе";"1352506";"—"
"57";"2";"—";"287.0";"90 95 97";"5.0";"Участвуете в конкурсе";"1719320";"—"
"58";"3";"—";"287.0";"94 93 94";"6.0";"Участвуете в конкурсе";"1311768";"—"
"59";"4";"—";"287.0";"90 100 91";"6.0";"Участвуете в конкурсе";"948171";"—"
"60";"5";"—";"287.0";"100 91 86";"10.0";"Участвуете в конкурсе";"1444092";"—"
"61";"2";"—";"286.0";"98 91 94";"3.0";"Участвуете в конкурсе";"1351183";"—"
"62";"2";"—";"286.0";"92 97 94";"3.0";"Участвуете в конкурсе";"1161819";"—"
"63";"2";"Электронное";"286.0";"96 93 91";"6.0";"Участвуете в конкурсе";"1979890";"—"
"64";"9";"—";"286.0";"92 97 91";"6.0";"Участвуете в конкурсе";"1433626";"—"
"65";"3";"—";"286.0";"92 97 89";"8.0";"Участвуете в конкурсе";"1002854";"—"
"66";"4";"—";"286.0";"90 91 97";"8.0";"Участвуете в конкурсе";"2047854";"—"
"67";"7";"Электронное";"285.0";"96 87 97";"5.0";"Участвуете в конкурсе";"1431638";"—"
"68";"3";"—";"285.0";"94 97 89";"5.0";"Участвуете в конкурсе";"1809795";"—"
"69";"4";"Электронное";"285.0";"90 95 95";"5.0";"Участвуете в конкурсе";"1265099";"—"
