"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"1";"Электронное";"187.0";"96";"10.0";"Участвуете в конкурсе";"2168080";"—"
"2";"1";"Электронное";"292.0";"95 99 89";"9.0";"Участвуете в конкурсе";"1752659";"—"
"3";"2";"Электронное";"307.0";"100 100 97";"10.0";"Участвуете в конкурсе";"1363978";"—"
"4";"1";"—";"306.0";"98 99 100";"9.0";"Участвуете в конкурсе";"1461647";"—"
"5";"1";"—";"304.0";"98 100 100";"6.0";"Участвуете в конкурсе";"1604794";"—"
"6";"1";"—";"304.0";"98 100 97";"9.0";"Участвуете в конкурсе";"1717641";"—"
"7";"1";"—";"304.0";"100 100 94";"10.0";"Участвуете в конкурсе";"1170461";"—"
"8";"3";"—";"304.0";"100 100 94";"10.0";"Участвуете в конкурсе";"1724084";"—"
"9";"2";"—";"303.0";"100 100 100";"3.0";"Участвуете в конкурсе";"1788429";"—"
"10";"2";"—";"303.0";"100 100 97";"6.0";"Участвуете в конкурсе";"1691226";"—"
"11";"2";"—";"303.0";"100 97 96";"10.0";"Участвуете в конкурсе";"1133543";"—"
"12";"1";"—";"302.0";"100 100 99";"3.0";"Участвуете в конкурсе";"1798162";"—"
"13";"2";"—";"302.0";"100 100 97";"5.0";"Участвуете в конкурсе";"1515545";"—"
"14";"2";"—";"302.0";"96 100 100";"6.0";"Участвуете в конкурсе";"1257809";"—"
"15";"2";"—";"302.0";"100 99 94";"9.0";"Участвуете в конкурсе";"1193368";"—"
"16";"1";"—";"302.0";"100 97 95";"10.0";"Участвуете в конкурсе";"1263276";"—"
"17";"1";"—";"302.0";"98 97 97";"10.0";"Участвуете в конкурсе";"1265635";"—"
"18";"2";"—";"301.0";"98 100 100";"3.0";"Участвуете в конкурсе";"1649291";"—"
"19";"1";"—";"300.0";"100 100 97";"3.0";"Участвуете в конкурсе";"985520";"—"
"20";"1";"Электронное";"300.0";"98 100 97";"5.0";"Участвуете в конкурсе";"2069568";"—"
"21";"2";"—";"300.0";"98 100 97";"5.0";"Участвуете в конкурсе";"2341439";"—"
"22";"2";"—";"300.0";"98 100 97";"5.0";"Участвуете в конкурсе";"1394911";"—"
"23";"2";"—";"300.0";"98 97 97";"8.0";"Участвуете в конкурсе";"1180112";"—"
"24";"1";"—";"300.0";"100 100 91";"9.0";"Участвуете в конкурсе";"1548419";"—"
"25";"1";"—";"300.0";"100 99 91";"10.0";"Участвуете в конкурсе";"1961572";"—"
"26";"2";"—";"300.0";"96 97 97";"10.0";"Участвуете в конкурсе";"1429674";"—"
"27";"1";"—";"299.0";"100 95 94";"10.0";"Участвуете в конкурсе";"1488206";"—"
"28";"1";"—";"299.0";"100 97 92";"10.0";"Участвуете в конкурсе";"1364701";"—"
"29";"2";"—";"298.0";"98 100 97";"3.0";"Участвуете в конкурсе";"1983093";"—"
"30";"2";"—";"298.0";"98 100 97";"3.0";"Участвуете в конкурсе";"1724790";"—"
"31";"1";"—";"298.0";"93 100 100";"5.0";"Участвуете в конкурсе";"1639575";"—"
"32";"1";"—";"298.0";"95 99 98";"6.0";"Участвуете в конкурсе";"1209748";"—"
"33";"2";"—";"298.0";"100 99 91";"8.0";"Участвуете в конкурсе";"1615496";"—"
"34";"2";"—";"298.0";"95 100 94";"9.0";"Участвуете в конкурсе";"1717384";"—"
"35";"2";"—";"297.0";"100 100 97";"—";"Участвуете в конкурсе";"1360655";"—"
"36";"2";"Электронное";"297.0";"100 100 94";"3.0";"Участвуете в конкурсе";"1515010";"—"
"37";"2";"—";"297.0";"100 100 94";"3.0";"Участвуете в конкурсе";"1209146";"—"
"38";"2";"Электронное";"297.0";"100 100 94";"3.0";"Участвуете в конкурсе";"1498246";"—"
"39";"2";"—";"297.0";"98 99 97";"3.0";"Участвуете в конкурсе";"1324725";"—"
"40";"1";"—";"297.0";"98 99 97";"3.0";"Участвуете в конкурсе";"1667777";"—"
"41";"1";"—";"297.0";"96 97 99";"5.0";"Участвуете в конкурсе";"1411280";"—"
"42";"2";"—";"297.0";"93 99 100";"5.0";"Участвуете в конкурсе";"1193971";"—"
"43";"1";"—";"297.0";"100 91 100";"6.0";"Участвуете в конкурсе";"1194078";"—"
"44";"1";"—";"297.0";"95 99 97";"6.0";"Участвуете в конкурсе";"1207527";"—"
"45";"4";"—";"296.0";"100 97 99";"—";"Участвуете в конкурсе";"1348489";"—"
"46";"1";"—";"296.0";"98 95 100";"3.0";"Участвуете в конкурсе";"1521408";"—"
"47";"3";"Электронное";"296.0";"96 100 97";"3.0";"Участвуете в конкурсе";"1275487";"—"
"48";"2";"—";"296.0";"96 100 97";"3.0";"Участвуете в конкурсе";"1746776";"—"
"49";"2";"—";"296.0";"93 100 100";"3.0";"Участвуете в конкурсе";"1574320";"—"
"50";"1";"—";"296.0";"96 100 94";"6.0";"Участвуете в конкурсе";"1646253";"—"
"51";"1";"—";"296.0";"100 99 89";"8.0";"Участвуете в конкурсе";"1701402";"—"
"52";"1";"—";"296.0";"100 100 88";"8.0";"Участвуете в конкурсе";"1634932";"—"
"53";"1";"—";"295.0";"96 97 100";"2.0";"Участвуете в конкурсе";"1670553";"—"
"54";"1";"—";"295.0";"96 100 97";"2.0";"Участвуете в конкурсе";"1129811";"—"
"55";"2";"—";"295.0";"95 100 97";"3.0";"Участвуете в конкурсе";"1207512";"—"
"56";"1";"—";"295.0";"93 99 100";"3.0";"Участвуете в конкурсе";"1851653";"—"
"57";"2";"—";"295.0";"98 97 94";"6.0";"Участвуете в конкурсе";"1186686";"—"
"58";"2";"—";"295.0";"98 91 96";"10.0";"Участвуете в конкурсе";"1509242";"—"
"59";"2";"Электронное";"295.0";"93 97 95";"10.0";"Участвуете в конкурсе";"1549996";"—"
"60";"2";"—";"294.0";"100 100 94";"—";"Участвуете в конкурсе";"1444003";"—"
"61";"2";"—";"294.0";"100 100 91";"3.0";"Участвуете в конкурсе";"1480672";"—"
"62";"2";"—";"294.0";"100 100 91";"3.0";"Участвуете в конкурсе";"1233470";"—"
"63";"2";"—";"294.0";"98 99 94";"3.0";"Участвуете в конкурсе";"1183929";"—"
"64";"1";"—";"294.0";"98 99 94";"3.0";"Участвуете в конкурсе";"1790591";"—"
"65";"2";"—";"294.0";"100 100 89";"5.0";"Участвуете в конкурсе";"1510429";"—"
"66";"2";"—";"294.0";"100 100 89";"5.0";"Участвуете в конкурсе";"1585836";"—"
"67";"1";"—";"294.0";"100 97 92";"5.0";"Участвуете в конкурсе";"1859741";"—"
"68";"2";"—";"294.0";"95 100 94";"5.0";"Участвуете в конкурсе";"1076937";"—"
"69";"1";"—";"294.0";"93 100 96";"5.0";"Участвуете в конкурсе";"1049398";"—"
"70";"2";"—";"294.0";"96 95 97";"6.0";"Участвуете в конкурсе";"1005918";"—"
"71";"2";"—";"294.0";"95 99 94";"6.0";"Участвуете в конкурсе";"1261361";"—"
"72";"2";"Электронное";"294.0";"100 100 86";"8.0";"Участвуете в конкурсе";"1559483";"—"
"73";"2";"—";"294.0";"100 86 100";"8.0";"Участвуете в конкурсе";"1625678";"—"
"74";"2";"—";"293.0";"100 99 91";"3.0";"Участвуете в конкурсе";"1243325";"—"
"75";"1";"—";"293.0";"96 100 94";"3.0";"Участвуете в конкурсе";"1569940";"—"
"76";"1";"—";"293.0";"96 100 94";"3.0";"Участвуете в конкурсе";"2006690";"—"
"77";"2";"Электронное";"293.0";"96 100 94";"3.0";"Участвуете в конкурсе";"1351567";"—"
"78";"2";"Электронное";"293.0";"90 100 100";"3.0";"Участвуете в конкурсе";"1909212";"—"
"79";"2";"—";"293.0";"100 100 88";"5.0";"Участвуете в конкурсе";"1511812";"—"
"80";"2";"Электронное";"293.0";"98 99 91";"5.0";"Участвуете в конкурсе";"1257593";"—"
"81";"2";"—";"293.0";"98 93 97";"5.0";"Участвуете в конкурсе";"1522135";"—"
"82";"2";"—";"293.0";"95 99 94";"5.0";"Участвуете в конкурсе";"1723400";"—"
"83";"2";"—";"293.0";"98 100 89";"6.0";"Участвуете в конкурсе";"1770841";"—"
"84";"2";"—";"293.0";"98 97 90";"8.0";"Участвуете в конкурсе";"1719630";"—"
"85";"2";"—";"293.0";"93 100 91";"9.0";"Участвуете в конкурсе";"1444454";"—"
"86";"3";"Электронное";"293.0";"100 91 92";"10.0";"Участвуете в конкурсе";"1356736";"—"
"87";"3";"—";"292.0";"98 100 94";"—";"Участвуете в конкурсе";"1188043";"—"
"88";"2";"—";"292.0";"98 100 91";"3.0";"Участвуете в конкурсе";"1435712";"—"
"89";"1";"Электронное";"292.0";"98 100 91";"3.0";"Участвуете в конкурсе";"1403054";"—"
"90";"2";"—";"292.0";"98 97 94";"3.0";"Участвуете в конкурсе";"1364954";"—"
"91";"2";"—";"292.0";"95 97 97";"3.0";"Участвуете в конкурсе";"1947045";"—"
"92";"1";"—";"292.0";"93 99 97";"3.0";"Участвуете в конкурсе";"1502241";"—"
"93";"2";"—";"292.0";"90 100 97";"5.0";"Участвуете в конкурсе";"1572676";"—"
"94";"2";"—";"292.0";"93 99 94";"6.0";"Участвуете в конкурсе";"1266828";"—"
"95";"3";"Электронное";"292.0";"95 95 94";"8.0";"Участвуете в конкурсе";"1252595";"—"
"96";"1";"Электронное";"292.0";"91 99 94";"8.0";"Участвуете в конкурсе";"1686737";"—"
"97";"2";"Электронное";"292.0";"95 88 100";"9.0";"Участвуете в конкурсе";"1956540";"—"
"98";"2";"—";"291.0";"100 100 91";"—";"Участвуете в конкурсе";"1638382";"—"
"99";"1";"Электронное";"291.0";"100 99 89";"3.0";"Участвуете в конкурсе";"1213256";"—"
"100";"2";"Электронное";"291.0";"98 99 91";"3.0";"Участвуете в конкурсе";"1852233";"—"
"101";"2";"—";"291.0";"100 100 86";"5.0";"Участвуете в конкурсе";"1385820";"—"
"102";"2";"—";"291.0";"98 99 89";"5.0";"Участвуете в конкурсе";"1444462";"—"
"103";"2";"—";"291.0";"96 99 91";"5.0";"Участвуете в конкурсе";"1444395";"—"
"104";"2";"—";"291.0";"96 99 91";"5.0";"Участвуете в конкурсе";"1613955";"—"
"105";"1";"—";"291.0";"95 97 94";"5.0";"Участвуете в конкурсе";"1226940";"—"
"106";"2";"—";"291.0";"93 99 94";"5.0";"Участвуете в конкурсе";"2032963";"—"
"107";"2";"—";"291.0";"91 95 100";"5.0";"Участвуете в конкурсе";"2200491";"—"
"108";"4";"—";"291.0";"90 97 99";"5.0";"Участвуете в конкурсе";"1445822";"—"
"109";"2";"—";"291.0";"95 94 96";"6.0";"Участвуете в конкурсе";"1496825";"—"
"110";"2";"—";"291.0";"98 91 94";"8.0";"Участвуете в конкурсе";"1326095";"—"
"111";"3";"—";"291.0";"96 91 95";"9.0";"Участвуете в конкурсе";"1421769";"—"
"112";"2";"—";"291.0";"100 86 95";"10.0";"Участвуете в конкурсе";"1718630";"—"
"113";"1";"—";"290.0";"100 99 91";"—";"Участвуете в конкурсе";"1634276";"—"
"114";"1";"—";"290.0";"100 99 91";"—";"Участвуете в конкурсе";"1616017";"—"
