"Порядковый номер";"Приоритет конкурса";"Наличие договора";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"3";"—";"296.0";"88 100 100";"8.0";"Участвуете в конкурсе";"1618985";"—"
"2";"3";"Электронное";"293.0";"96 94 98";"5.0";"Участвуете в конкурсе";"2005895";"—"
"3";"1";"Электронное";"292.0";"96 91 95";"10.0";"Участвуете в конкурсе";"1604171";"—"
"4";"6";"Электронное";"288.0";"94 97 95";"2.0";"Участвуете в конкурсе";"2314524";"—"
"5";"5";"Электронное";"288.0";"82 97 100";"9.0";"Участвуете в конкурсе";"1785241";"—"
"6";"5";"—";"287.0";"93 86 98";"10.0";"Участвуете в конкурсе";"1577464";"—"
"7";"1";"—";"286.0";"98 91 94";"3.0";"Участвуете в конкурсе";"1362882";"—"
"8";"3";"—";"284.0";"96 91 92";"5.0";"Участвуете в конкурсе";"1177429";"—"
"9";"5";"Электронное";"283.0";"95 89 96";"3.0";"Участвуете в конкурсе";"1260166";"—"
"10";"4";"Электронное";"282.0";"90 91 96";"5.0";"Участвуете в конкурсе";"1515540";"—"
"11";"4";"Электронное";"279.0";"94 89 86";"10.0";"Участвуете в конкурсе";"1620910";"—"
"12";"3";"Электронное";"278.0";"93 90 90";"5.0";"Участвуете в конкурсе";"1518166";"—"
"13";"2";"—";"277.0";"98 78 99";"2.0";"Участвуете в конкурсе";"1437055";"—"
"14";"6";"—";"276.0";"90 89 92";"5.0";"Участвуете в конкурсе";"1713758";"—"
"15";"3";"—";"274.0";"88 89 94";"3.0";"Участвуете в конкурсе";"1982887";"—"
"16";"1";"—";"271.0";"93 83 95";"—";"Участвуете в конкурсе";"1214380";"—"
"17";"5";"Электронное";"271.0";"95 89 84";"3.0";"Участвуете в конкурсе";"1441946";"—"
"18";"2";"—";"270.0";"80 97 90";"3.0";"Участвуете в конкурсе";"1855369";"—"
"19";"1";"Электронное";"269.0";"90 91 88";"—";"Участвуете в конкурсе";"1318019";"—"
"20";"3";"—";"267.0";"95 78 92";"2.0";"Участвуете в конкурсе";"1035838";"—"
"21";"6";"—";"266.0";"85 90 88";"3.0";"Участвуете в конкурсе";"1336282";"—"
"22";"6";"—";"266.0";"88 78 95";"5.0";"Участвуете в конкурсе";"1619038";"—"
"23";"4";"—";"266.0";"84 89 88";"5.0";"Участвуете в конкурсе";"1834668";"—"
"24";"2";"—";"263.0";"100 75 88";"—";"Участвуете в конкурсе";"1169602";"—"
"25";"5";"Электронное";"263.0";"83 89 88";"3.0";"Участвуете в конкурсе";"1366729";"—"
"26";"4";"—";"262.0";"92 81 86";"3.0";"Участвуете в конкурсе";"1266624";"—"
"27";"2";"—";"261.0";"88 94 76";"3.0";"Участвуете в конкурсе";"1617610";"—"
"28";"5";"—";"259.0";"85 78 96";"—";"Участвуете в конкурсе";"1424003";"—"
"29";"2";"—";"259.0";"88 78 90";"3.0";"Участвуете в конкурсе";"1441421";"—"
"30";"3";"—";"259.0";"70 94 92";"3.0";"Участвуете в конкурсе";"1819337";"—"
"31";"4";"—";"257.0";"77 91 84";"5.0";"Участвуете в конкурсе";"1216510";"—"
"32";"1";"—";"257.0";"86 63 100";"8.0";"Участвуете в конкурсе";"1563437";"—"
"33";"3";"—";"253.0";"72 79 92";"10.0";"Участвуете в конкурсе";"977382";"—"
"34";"9";"—";"252.0";"98 72 80";"2.0";"Участвуете в конкурсе";"2240663";"—"
"35";"5";"—";"246.0";"80 81 82";"3.0";"Участвуете в конкурсе";"1991819";"—"
"36";"2";"—";"242.0";"74 81 82";"5.0";"Участвуете в конкурсе";"2179346";"—"
"37";"5";"—";"241.0";"95 64 82";"—";"Участвуете в конкурсе";"1268274";"—"
"38";"9";"—";"239.0";"85 70 84";"—";"Участвуете в конкурсе";"2186498";"—"
"39";"2";"—";"239.0";"80 81 78";"—";"Участвуете в конкурсе";"1060641";"—"
"40";"6";"—";"239.0";"78 83 78";"—";"Участвуете в конкурсе";"1480747";"—"
"41";"4";"—";"238.0";"72 86 78";"2.0";"Участвуете в конкурсе";"1043038";"—"
"42";"3";"—";"237.0";"73 83 78";"3.0";"Участвуете в конкурсе";"2311095";"—"
"43";"3";"—";"235.0";"88 67 80";"—";"Участвуете в конкурсе";"1821658";"—"
"44";"1";"—";"232.0";"76 69 84";"3.0";"Участвуете в конкурсе";"1265499";"—"
"45";"2";"—";"232.0";"75 78 76";"3.0";"Участвуете в конкурсе";"2304957";"—"
"46";"3";"—";"232.0";"73 86 70";"3.0";"Участвуете в конкурсе";"1445241";"—"
"47";"3";"—";"231.0";"84 67 80";"—";"Участвуете в конкурсе";"1713961";"—"
"48";"2";"—";"231.0";"80 75 76";"—";"Участвуете в конкурсе";"1180060";"—"
"49";"1";"—";"229.0";"83 70 76";"—";"Участвуете в конкурсе";"995397";"—"
