"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"1";"Электронное";"177.0";"88 89";"—";"Участвуете в конкурсе";"1252883";"—"
"2";"1";"Электронное";"91.0";"81";"10.0";"Участвуете в конкурсе";"1203069";"—"
"3";"1";"Электронное";"204.0";"97 97";"10.0";"Участвуете в конкурсе";"1603935";"—"
"4";"1";"Электронное";"93.0";"83";"10.0";"Участвуете в конкурсе";"1582559";"—"
"5";"1";"Электронное";"101.0";"91";"10.0";"Участвуете в конкурсе";"1404668";"—"
"6";"1";"Электронное";"182.0";"83 89";"10.0";"Участвуете в конкурсе";"1609041";"—"
"7";"1";"Электронное";"74.0";"66";"8.0";"Участвуете в конкурсе";"1494721";"—"
"8";"1";"Электронное";"74.0";"69";"5.0";"Участвуете в конкурсе";"1555351";"—"
"9";"1";"Электронное";"72.0";"69";"3.0";"Участвуете в конкурсе";"1016328";"—"
"10";"1";"Электронное";"165.0";"87 78";"—";"Участвуете в конкурсе";"1154216";"—"
"11";"1";"Электронное";"89.0";"89";"—";"Участвуете в конкурсе";"1355989";"—"
"12";"1";"Электронное";"169.0";"74 89";"6.0";"Участвуете в конкурсе";"2101347";"—"
"13";"1";"Электронное";"101.0";"91";"10.0";"Участвуете в конкурсе";"1517500";"—"
"14";"1";"Электронное";"86.0";"86";"—";"Участвуете в конкурсе";"1263466";"—"
"15";"1";"Электронное";"252.0";"80 88 75";"9.0";"Участвуете в конкурсе";"1168272";"—"
"16";"2";"—";"280.0";"83 100 89";"8.0";"Участвуете в конкурсе";"1465471";"—"
"17";"1";"Электронное";"260.0";"75 98 81";"6.0";"Участвуете в конкурсе";"1504864";"—"
"18";"1";"Электронное";"248.0";"79 81 83";"5.0";"Участвуете в конкурсе";"1422461";"—"
"19";"1";"Электронное";"286.0";"92 91 100";"3.0";"Участвуете в конкурсе";"992750";"—"
"20";"1";"Электронное";"206.0";"100 97";"9.0";"Участвуете в конкурсе";"1351356";"—"
"21";"1";"Электронное";"261.0";"83 78 91";"9.0";"Участвуете в конкурсе";"1502012";"—"
"22";"1";"Электронное";"282.0";"90 100 83";"9.0";"Участвуете в конкурсе";"1696817";"—"
"23";"1";"Электронное";"262.0";"81 90 83";"8.0";"Участвуете в конкурсе";"1726096";"—"
"24";"1";"Электронное";"296.0";"90 100 100";"6.0";"Участвуете в конкурсе";"1175520";"—"
"25";"1";"Электронное";"189.0";"92 91";"6.0";"Участвуете в конкурсе";"1488204";"—"
