"Порядковый номер";"Приоритет конкурса";"Наличие договора";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"4";"Электронное";"298.0";"98 98 99";"3.0";"Участвуете в конкурсе";"1505150";"—"
"2";"4";"—";"287.0";"100 93 86";"8.0";"Участвуете в конкурсе";"1353511";"—"
"3";"4";"Электронное";"283.0";"90 94 96";"3.0";"Участвуете в конкурсе";"1599702";"—"
"4";"7";"Электронное";"282.0";"92 96 89";"5.0";"Участвуете в конкурсе";"2044271";"—"
"5";"3";"—";"280.0";"88 100 89";"3.0";"Участвуете в конкурсе";"1394646";"—"
"6";"6";"—";"271.0";"88 94 84";"5.0";"Участвуете в конкурсе";"2053597";"—"
"7";"6";"Электронное";"260.0";"77 89 94";"—";"Участвуете в конкурсе";"1301984";"—"
"8";"6";"Электронное";"259.0";"90 75 91";"3.0";"Участвуете в конкурсе";"1365206";"—"
"9";"7";"—";"257.0";"90 73 91";"3.0";"Участвуете в конкурсе";"1419361";"—"
"10";"5";"Электронное";"256.0";"73 89 94";"—";"Участвуете в конкурсе";"1501734";"—"
"11";"1";"—";"250.0";"88 71 91";"—";"Участвуете в конкурсе";"985348";"—"
"12";"1";"Электронное";"247.0";"83 89 75";"—";"Участвуете в конкурсе";"1817925";"—"
"13";"3";"—";"244.0";"96 84 64";"—";"Участвуете в конкурсе";"2413166";"—"
"14";"2";"Электронное";"243.0";"66 80 97";"—";"Участвуете в конкурсе";"2274235";"—"
"15";"4";"—";"242.0";"73 81 86";"2.0";"Участвуете в конкурсе";"1619806";"—"
"16";"7";"—";"237.0";"73 83 81";"—";"Участвуете в конкурсе";"1410495";"—"
"17";"6";"Электронное";"237.0";"79 69 89";"—";"Участвуете в конкурсе";"1384775";"—"
"18";"1";"—";"229.0";"69 77 78";"5.0";"Участвуете в конкурсе";"1217102";"—"
"19";"8";"—";"226.0";"73 77 73";"3.0";"Участвуете в конкурсе";"1776079";"—"
"20";"4";"—";"225.0";"80 73 72";"—";"Участвуете в конкурсе";"1042228";"—"
"21";"7";"—";"220.0";"70 67 83";"—";"Участвуете в конкурсе";"1498855";"—"
"22";"2";"—";"218.0";"82 70 66";"—";"Участвуете в конкурсе";"1260871";"—"
"23";"6";"—";"214.0";"64 72 78";"—";"Участвуете в конкурсе";"1284349";"—"
"24";"10";"—";"205.0";"68 67 70";"—";"Участвуете в конкурсе";"2079813";"—"
"25";"6";"—";"202.0";"60 72 68";"2.0";"Участвуете в конкурсе";"1549331";"—"
"26";"1";"—";"201.0";"65 67 69";"—";"Участвуете в конкурсе";"1446183";"—"
"27";"2";"—";"200.0";"67 67 66";"—";"Участвуете в конкурсе";"1580897";"—"
"28";"5";"—";"197.0";"63 68 66";"—";"Участвуете в конкурсе";"1848500";"—"
