"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"1";"Электронное";"201.0";"100";"10.0";"Участвуете в конкурсе";"1150087";"—"
"2";"1";"Электронное";"283.0";"90 83 100";"10.0";"Участвуете в конкурсе";"1479111";"—"
"3";"1";"Электронное";"167.0";"98";"—";"Участвуете в конкурсе";"2141461";"—"
"4";"1";"Электронное";"70.0";"—";"—";"Участвуете в конкурсе";"1002051";"—"
"5";"1";"Электронное";"275.0";"80 91 95";"9.0";"Участвуете в конкурсе";"978235";"—"
"6";"1";"Электронное";"287.0";"100 93 88";"6.0";"Участвуете в конкурсе";"974823";"—"
"7";"1";"Электронное";"161.0";"100";"6.0";"Участвуете в конкурсе";"2101745";"—"
"8";"1";"Электронное";"287.0";"90 91 100";"6.0";"Участвуете в конкурсе";"1214073";"—"
"9";"1";"Электронное";"279.0";"90 86 97";"6.0";"Участвуете в конкурсе";"1165880";"—"
"10";"1";"Электронное";"254.0";"78 70 100";"6.0";"Участвуете в конкурсе";"1579670";"—"
"11";"1";"Электронное";"294.0";"98 86 100";"10.0";"Участвуете в конкурсе";"1178382";"—"
"12";"1";"Электронное";"300.0";"90 100 100";"10.0";"Участвуете в конкурсе";"1990063";"—"
"13";"1";"Электронное";"303.0";"100 94 100";"9.0";"Участвуете в конкурсе";"1538512";"—"
"14";"1";"Электронное";"180.0";"90";"9.0";"Участвуете в конкурсе";"1346449";"—"
"15";"1";"Электронное";"170.0";"86";"9.0";"Участвуете в конкурсе";"1172730";"—"
"16";"1";"Электронное";"250.0";"77 72 95";"6.0";"Участвуете в конкурсе";"1573423";"—"
"17";"1";"Электронное";"280.0";"88 86 100";"6.0";"Участвуете в конкурсе";"1699093";"—"
"18";"1";"Электронное";"179.0";"100";"6.0";"Участвуете в конкурсе";"1947856";"—"
"19";"1";"Электронное";"178.0";"100";"6.0";"Участвуете в конкурсе";"2113059";"—"
"20";"1";"Электронное";"228.0";"70 72 80";"6.0";"Участвуете в конкурсе";"1599236";"—"
"21";"1";"Электронное";"253.0";"78 70 99";"6.0";"Участвуете в конкурсе";"1441928";"—"
"22";"1";"Электронное";"241.0";"68 67 100";"6.0";"Участвуете в конкурсе";"1175542";"—"
"23";"1";"Электронное";"234.0";"64 64 100";"6.0";"Участвуете в конкурсе";"1913174";"—"
"24";"1";"Электронное";"194.0";"100";"3.0";"Участвуете в конкурсе";"1189119";"—"
"25";"1";"Электронное";"269.0";"88 83 95";"3.0";"Участвуете в конкурсе";"1344769";"—"
"26";"1";"Электронное";"260.0";"79 89 92";"—";"Участвуете в конкурсе";"1243789";"—"
