"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"7";"Электронное";"299.0";"100 89 100";"10.0";"Участвуете в конкурсе";"980017";"—"
"2";"2";"Электронное";"295.0";"88 97 100";"10.0";"Участвуете в конкурсе";"1443508";"—"
"3";"2";"Электронное";"293.0";"98 100 92";"3.0";"Участвуете в конкурсе";"1292600";"—"
"4";"1";"Электронное";"291.0";"98 94 94";"5.0";"Участвуете в конкурсе";"982483";"—"
"5";"2";"Электронное";"288.0";"94 94 100";"—";"Участвуете в конкурсе";"2210445";"—"
"6";"3";"Электронное";"281.0";"92 100 89";"—";"Участвуете в конкурсе";"1283589";"—"
"7";"2";"—";"279.0";"85 91 100";"3.0";"Участвуете в конкурсе";"1579912";"—"
"8";"1";"Электронное";"277.0";"88 86 100";"3.0";"Участвуете в конкурсе";"966595";"—"
"9";"2";"Электронное";"277.0";"98 89 84";"6.0";"Участвуете в конкурсе";"1133804";"—"
"10";"5";"Электронное";"276.0";"92 89 89";"6.0";"Участвуете в конкурсе";"1687252";"—"
"11";"5";"Электронное";"271.0";"88 86 94";"3.0";"Участвуете в конкурсе";"1835042";"—"
"12";"2";"—";"271.0";"88 94 84";"5.0";"Участвуете в конкурсе";"2053597";"—"
"13";"5";"Электронное";"269.0";"94 91 84";"—";"Участвуете в конкурсе";"1619607";"—"
"14";"2";"—";"269.0";"81 91 94";"3.0";"Участвуете в конкурсе";"1541150";"—"
"15";"1";"—";"268.0";"80 94 94";"—";"Участвуете в конкурсе";"1182432";"—"
"16";"5";"Электронное";"268.0";"81 95 89";"3.0";"Участвуете в конкурсе";"1073267";"—"
"17";"1";"—";"268.0";"79 83 100";"6.0";"Участвуете в конкурсе";"1275169";"—"
"18";"5";"Электронное";"267.0";"95 75 94";"3.0";"Участвуете в конкурсе";"1709145";"—"
"19";"1";"—";"265.0";"79 83 100";"3.0";"Участвуете в конкурсе";"1268165";"—"
"20";"1";"—";"264.0";"83 94 84";"3.0";"Участвуете в конкурсе";"1194670";"—"
"21";"2";"Электронное";"263.0";"95 81 84";"3.0";"Участвуете в конкурсе";"1091148";"—"
"22";"2";"—";"263.0";"61 100 94";"8.0";"Участвуете в конкурсе";"1480458";"—"
"23";"2";"Электронное";"260.0";"77 89 94";"—";"Участвуете в конкурсе";"1301984";"—"
"24";"1";"—";"258.0";"83 94 78";"3.0";"Участвуете в конкурсе";"1252268";"—"
"25";"1";"—";"257.0";"72 91 89";"5.0";"Участвуете в конкурсе";"1356392";"—"
"26";"2";"Электронное";"256.0";"73 89 94";"—";"Участвуете в конкурсе";"1501734";"—"
"27";"4";"Электронное";"251.0";"79 78 94";"—";"Участвуете в конкурсе";"1073667";"—"
"28";"1";"—";"249.0";"90 85 64";"10.0";"Участвуете в конкурсе";"1104812";"—"
"29";"1";"—";"245.0";"82 97 63";"3.0";"Участвуете в конкурсе";"1533434";"—"
"30";"1";"Электронное";"245.0";"79 69 89";"8.0";"Участвуете в конкурсе";"1384775";"—"
"31";"1";"Электронное";"244.0";"77 77 82";"8.0";"Участвуете в конкурсе";"978238";"—"
"32";"1";"—";"229.0";"67 86 73";"3.0";"Участвуете в конкурсе";"1795257";"—"
"33";"1";"—";"227.0";"86 75 63";"3.0";"Участвуете в конкурсе";"1773573";"—"
"34";"5";"—";"224.0";"63 72 89";"—";"Участвуете в конкурсе";"1545860";"—"
"35";"2";"—";"220.0";"70 81 61";"8.0";"Участвуете в конкурсе";"1976305";"—"
"36";"4";"Электронное";"217.0";"77 67 73";"—";"Участвуете в конкурсе";"1625834";"—"
"37";"1";"—";"211.0";"63 70 78";"—";"Участвуете в конкурсе";"1373002";"—"
"38";"5";"Электронное";"211.0";"84 67 60";"—";"Участвуете в конкурсе";"955351";"—"
"39";"1";"—";"206.0";"83 63 60";"—";"Участвуете в конкурсе";"1229898";"—"
"40";"5";"—";"204.0";"69 70 60";"5.0";"Участвуете в конкурсе";"1785650";"—"
"41";"3";"—";"202.0";"60 72 68";"2.0";"Участвуете в конкурсе";"1549331";"—"
"42";"1";"—";"201.0";"67 66 68";"—";"Участвуете в конкурсе";"2044661";"—"
"43";"1";"—";"201.0";"67 61 73";"—";"Участвуете в конкурсе";"1512412";"—"
