"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"1";"Электронное";"295.0";"88 100";"10.0";"Участвуете в конкурсе";"1617563";"—"
"2";"1";"Электронное";"210.0";"100";"10.0";"Участвуете в конкурсе";"1251428";"—"
"3";"1";"Электронное";"83.0";"—";"10.0";"Участвуете в конкурсе";"1172266";"—"
"4";"1";"—";"83.0";"—";"10.0";"Участвуете в конкурсе";"1036648";"—"
"5";"1";"Электронное";"245.0";"94 67";"6.0";"Участвуете в конкурсе";"1345370";"—"
"6";"1";"—";"271.0";"94 80";"3.0";"Участвуете в конкурсе";"1214847";"—"
"7";"1";"Электронное";"188.0";"96";"3.0";"Участвуете в конкурсе";"1241741";"—"
"8";"1";"Электронное";"180.0";"100";"10.0";"Участвуете в конкурсе";"970140";"—"
"9";"2";"—";"308.0";"98 100";"10.0";"Участвуете в конкурсе";"1213744";"—"
"10";"1";"Электронное";"304.0";"100 97";"10.0";"Участвуете в конкурсе";"1170456";"—"
"11";"1";"—";"271.0";"92 72";"10.0";"Участвуете в конкурсе";"1417091";"—"
"12";"1";"Электронное";"207.0";"—";"10.0";"Участвуете в конкурсе";"1752426";"—"
"13";"1";"Электронное";"107.0";"—";"10.0";"Участвуете в конкурсе";"1382186";"—"
"14";"1";"—";"195.0";"91";"10.0";"Участвуете в конкурсе";"1441172";"—"
"15";"1";"Электронное";"194.0";"90";"10.0";"Участвуете в конкурсе";"1405890";"—"
"16";"1";"Электронное";"200.0";"—";"10.0";"Участвуете в конкурсе";"1874444";"—"
"17";"1";"Электронное";"180.0";"100";"10.0";"Участвуете в конкурсе";"2159838";"—"
"18";"1";"Электронное";"176.0";"55 48";"10.0";"Участвуете в конкурсе";"1260618";"—"
"19";"1";"Электронное";"281.0";"100 81";"9.0";"Участвуете в конкурсе";"1440933";"—"
"20";"1";"Электронное";"196.0";"96";"9.0";"Участвуете в конкурсе";"1337664";"—"
"21";"1";"—";"192.0";"89";"9.0";"Участвуете в конкурсе";"1348226";"—"
"22";"2";"Электронное";"184.0";"86";"9.0";"Участвуете в конкурсе";"1493238";"—"
"23";"1";"—";"288.0";"0 100 84 95";"9.0";"Участвуете в конкурсе";"1521899";"—"
"24";"1";"Электронное";"267.0";"96 84";"9.0";"Участвуете в конкурсе";"1616501";"—"
