"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"1";"Электронное";"283.0";"82 93";"8.0";"Участвуете в конкурсе";"1482865";"—"
"2";"1";"Электронное";"261.0";"0 83 95 75";"8.0";"Участвуете в конкурсе";"1247933";"—"
"3";"2";"—";"7.0";"—";"7.0";"Участвуете в конкурсе";"1492403";"—"
"4";"1";"—";"257.0";"81 95";"6.0";"Участвуете в конкурсе";"1052432";"—"
"5";"3";"—";"248.0";"95 75";"6.0";"Участвуете в конкурсе";"1174826";"—"
"6";"2";"—";"276.0";"97 77";"5.0";"Участвуете в конкурсе";"1253160";"—"
"7";"4";"Электронное";"242.0";"78 68";"5.0";"Участвуете в конкурсе";"1881128";"—"
"8";"9";"—";"259.0";"77 86";"5.0";"Участвуете в конкурсе";"1931957";"—"
"9";"6";"—";"172.0";"78";"5.0";"Участвуете в конкурсе";"1336675";"—"
"10";"1";"—";"266.0";"80 95";"5.0";"Участвуете в конкурсе";"1607071";"—"
"11";"2";"—";"224.0";"69 67";"5.0";"Участвуете в конкурсе";"1824511";"—"
"12";"3";"Электронное";"137.0";"—";"5.0";"Участвуете в конкурсе";"1559549";"—"
"13";"2";"—";"5.0";"0";"5.0";"Участвуете в конкурсе";"1641199";"—"
"14";"7";"Электронное";"238.0";"70 91";"5.0";"Участвуете в конкурсе";"1616194";"—"
"15";"1";"—";"233.0";"63 84";"5.0";"Участвуете в конкурсе";"1516787";"—"
"16";"1";"—";"232.0";"82 66";"3.0";"Участвуете в конкурсе";"1796234";"—"
"17";"1";"—";"152.0";"—";"3.0";"Участвуете в конкурсе";"1753065";"—"
"18";"2";"—";"84.0";"0";"3.0";"Участвуете в конкурсе";"2076314";"—"
"19";"2";"—";"221.0";"34 60 66 58";"3.0";"Участвуете в конкурсе";"2205802";"—"
"20";"4";"—";"3.0";"0 0 0 0";"3.0";"Участвуете в конкурсе";"996078";"—"
"21";"1";"Электронное";"3.0";"0 0";"3.0";"Участвуете в конкурсе";"1070425";"—"
"22";"5";"—";"3.0";"—";"3.0";"Участвуете в конкурсе";"1886728";"—"
"23";"7";"—";"184.0";"98";"3.0";"Участвуете в конкурсе";"1638844";"—"
"24";"3";"Электронное";"241.0";"76 81";"3.0";"Участвуете в конкурсе";"1790623";"—"
"25";"6";"—";"152.0";"—";"3.0";"Участвуете в конкурсе";"972367";"—"
"26";"3";"Электронное";"70.0";"—";"3.0";"Участвуете в конкурсе";"1989154";"—"
"27";"4";"—";"199.0";"70 56 0 70";"3.0";"Участвуете в конкурсе";"1820221";"—"
"28";"4";"Электронное";"3.0";"—";"3.0";"Участвуете в конкурсе";"1731421";"—"
