"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"1";"Электронное";"400.0";"96 100 100 98";"6.0";"Участвуете в конкурсе";"1398037";"—"
"2";"2";"Электронное";"383.0";"94 98 97 94";"—";"Участвуете в конкурсе";"1398792";"—"
"3";"1";"Электронное";"382.0";"88 100 94 90";"10.0";"Участвуете в конкурсе";"2085405";"—"
"4";"2";"Электронное";"379.0";"94 86 94 95";"10.0";"Участвуете в конкурсе";"1996895";"—"
"5";"1";"—";"378.0";"92 96 97 90";"3.0";"Участвуете в конкурсе";"1417737";"—"
"6";"1";"Электронное";"378.0";"88 88 100 94";"8.0";"Участвуете в конкурсе";"1267590";"—"
"7";"3";"Электронное";"377.0";"86 96 94 96";"5.0";"Участвуете в конкурсе";"1258501";"—"
"8";"3";"—";"376.0";"98 92 91 92";"3.0";"Участвуете в конкурсе";"1576251";"—"
"9";"2";"Электронное";"376.0";"94 98 97 84";"3.0";"Участвуете в конкурсе";"1568262";"—"
"10";"7";"Электронное";"375.0";"90 96 98 91";"—";"Участвуете в конкурсе";"1787930";"—"
"11";"2";"—";"373.0";"96 92 97 88";"—";"Участвуете в конкурсе";"1672174";"—"
"12";"2";"—";"361.0";"86 95 81 99";"—";"Участвуете в конкурсе";"1256879";"—"
"13";"1";"Электронное";"359.0";"77 98 89 90";"5.0";"Участвуете в конкурсе";"1193910";"—"
"14";"3";"—";"358.0";"88 90 91 86";"3.0";"Участвуете в конкурсе";"1954761";"—"
"15";"10";"Электронное";"357.0";"88 86 86 97";"—";"Участвуете в конкурсе";"1979523";"—"
"16";"3";"—";"355.0";"84 88 86 90";"7.0";"Участвуете в конкурсе";"1263764";"—"
"17";"6";"—";"352.0";"84 88 89 88";"3.0";"Участвуете в конкурсе";"1799046";"—"
"18";"8";"—";"351.0";"90 95 81 85";"—";"Участвуете в конкурсе";"1207795";"—"
"19";"2";"Электронное";"351.0";"96 75 87 90";"3.0";"Участвуете в конкурсе";"1215675";"—"
"20";"5";"Электронное";"349.0";"79 90 89 88";"3.0";"Участвуете в конкурсе";"1720926";"—"
"21";"7";"Электронное";"348.0";"86 84 91 84";"3.0";"Участвуете в конкурсе";"1507007";"—"
"22";"3";"Электронное";"341.0";"84 81 94 82";"—";"Участвуете в конкурсе";"1004512";"—"
"23";"2";"—";"339.0";"90 66 83 100";"—";"Участвуете в конкурсе";"1564243";"—"
"24";"3";"Электронное";"337.0";"77 86 86 86";"2.0";"Участвуете в конкурсе";"1391209";"—"
"25";"10";"—";"335.0";"79 87 78 86";"5.0";"Участвуете в конкурсе";"1104075";"—"
"26";"5";"—";"332.0";"84 91 72 80";"5.0";"Участвуете в конкурсе";"1490058";"—"
"27";"1";"—";"331.0";"79 79 91 74";"8.0";"Участвуете в конкурсе";"1728960";"—"
"28";"2";"—";"330.0";"80 70 89 88";"3.0";"Участвуете в конкурсе";"1258604";"—"
"29";"3";"Электронное";"324.0";"90 66 89 76";"3.0";"Участвуете в конкурсе";"1434948";"—"
"30";"2";"—";"322.0";"86 75 81 70";"10.0";"Участвуете в конкурсе";"1478669";"—"
"31";"4";"—";"306.0";"79 67 81 74";"5.0";"Участвуете в конкурсе";"1909448";"—"
"32";"1";"Электронное";"300.0";"71 72 69 88";"—";"Участвуете в конкурсе";"2099299";"—"
"33";"5";"—";"298.0";"73 86 67 72";"—";"Участвуете в конкурсе";"2089963";"—"
"34";"3";"—";"298.0";"88 66 72 72";"—";"Участвуете в конкурсе";"1483756";"—"
