"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"1";"Электронное";"238.0";"81 72";"10.0";"Участвуете в конкурсе";"973879";"—"
"2";"3";"—";"286.0";"94 99";"10.0";"Участвуете в конкурсе";"1565256";"—"
"3";"1";"Электронное";"257.0";"84 0 83 82";"8.0";"Участвуете в конкурсе";"1594447";"—"
"4";"3";"—";"215.0";"55 79";"8.0";"Участвуете в конкурсе";"1951742";"—"
"5";"3";"—";"7.0";"—";"7.0";"Участвуете в конкурсе";"1492403";"—"
"6";"1";"—";"284.0";"88 97";"5.0";"Участвуете в конкурсе";"1390345";"—"
"7";"3";"—";"348.0";"77 86 94 86";"5.0";"Участвуете в конкурсе";"1896340";"—"
"8";"10";"—";"259.0";"86 77";"5.0";"Участвуете в конкурсе";"1931957";"—"
"9";"11";"—";"250.0";"78 0 89 78";"5.0";"Участвуете в конкурсе";"1336675";"—"
"10";"7";"—";"233.0";"59 88";"5.0";"Участвуете в конкурсе";"1996573";"—"
"11";"6";"—";"5.0";"0 0";"5.0";"Участвуете в конкурсе";"1641199";"—"
"12";"1";"—";"279.0";"85 92";"5.0";"Участвуете в конкурсе";"1572915";"—"
"13";"5";"—";"392.0";"96 98 100 95";"3.0";"Участвуете в конкурсе";"1432042";"—"
"14";"1";"Электронное";"365.0";"96 92 94 80";"3.0";"Участвуете в конкурсе";"1646860";"—"
"15";"6";"Электронное";"348.0";"76 88 89 92";"3.0";"Участвуете в конкурсе";"1413547";"—"
"16";"8";"Электронное";"317.0";"78 77 83 76";"3.0";"Участвуете в конкурсе";"1641921";"—"
"17";"4";"Электронное";"324.0";"79 85 79 78";"3.0";"Участвуете в конкурсе";"1345688";"—"
"18";"12";"—";"150.0";"0 40 76 31";"3.0";"Участвуете в конкурсе";"1859015";"—"
"19";"1";"Электронное";"286.0";"64 52 73 94";"3.0";"Участвуете в конкурсе";"1826490";"—"
"20";"4";"Электронное";"85.0";"0 0 60 22";"3.0";"Участвуете в конкурсе";"978839";"—"
"21";"1";"Электронное";"3.0";"—";"3.0";"Участвуете в конкурсе";"1759033";"—"
"22";"1";"—";"254.0";"98 70";"3.0";"Участвуете в конкурсе";"1638844";"—"
"23";"5";"—";"3.0";"—";"3.0";"Участвуете в конкурсе";"1501978";"—"
"24";"4";"—";"222.0";"79 70";"3.0";"Участвуете в конкурсе";"972367";"—"
"25";"2";"—";"217.0";"81 58";"3.0";"Участвуете в конкурсе";"2084142";"—"
"26";"10";"—";"3.0";"0 0";"3.0";"Участвуете в конкурсе";"1712153";"—"
"27";"3";"Электронное";"375.0";"92 98 86 96";"3.0";"Участвуете в конкурсе";"1580852";"—"
"28";"4";"Электронное";"3.0";"0 0";"3.0";"Участвуете в конкурсе";"1894125";"—"
"29";"6";"—";"252.0";"88 74";"3.0";"Участвуете в конкурсе";"1400612";"—"
"30";"3";"Электронное";"162.0";"51 46";"2.0";"Участвуете в конкурсе";"2423749";"—"
"31";"1";"Электронное";"114.0";"70";"2.0";"Участвуете в конкурсе";"1488935";"—"
"32";"10";"—";"186.0";"71 4 57 52";"2.0";"Участвуете в конкурсе";"1640968";"—"
"33";"5";"—";"151.0";"49 52";"2.0";"Участвуете в конкурсе";"1686422";"—"
"34";"10";"Электронное";"149.0";"78";"2.0";"Участвуете в конкурсе";"1564476";"—"
"35";"5";"Электронное";"274.0";"95 96";"2.0";"Участвуете в конкурсе";"1179152";"—"
"36";"5";"Электронное";"319.0";"79 83 81 74";"2.0";"Участвуете в конкурсе";"1616605";"—"
"37";"9";"—";"224.0";"71 78";"2.0";"Участвуете в конкурсе";"1603207";"—"
"38";"13";"—";"317.0";"80 71 86 78";"2.0";"Участвуете в конкурсе";"1790272";"—"
"39";"10";"Электронное";"329.0";"80 78 78 91";"2.0";"Участвуете в конкурсе";"2041960";"—"
"40";"8";"Электронное";"238.0";"73 94";"2.0";"Участвуете в конкурсе";"1024023";"—"
"41";"3";"—";"282.0";"57 75 78 70";"2.0";"Участвуете в конкурсе";"1955620";"—"
"42";"3";"Электронное";"219.0";"62 51 64 40";"2.0";"Участвуете в конкурсе";"1069406";"—"
"43";"3";"—";"226.0";"81 74";"2.0";"Участвуете в конкурсе";"1035555";"—"
"44";"1";"Электронное";"313.0";"68 81 78 84";"2.0";"Участвуете в конкурсе";"1963831";"—"
"45";"7";"—";"124.0";"58";"2.0";"Участвуете в конкурсе";"1624673";"—"
"46";"4";"—";"192.0";"66 64";"2.0";"Участвуете в конкурсе";"2178901";"—"
"47";"1";"—";"228.0";"75 76";"2.0";"Участвуете в конкурсе";"1792947";"—"
"48";"4";"Электронное";"216.0";"75 78";"2.0";"Участвуете в конкурсе";"1453629";"—"
"49";"2";"—";"97.0";"45";"—";"Участвуете в конкурсе";"963772";"—"
"50";"1";"Электронное";"115.0";"49";"—";"Участвуете в конкурсе";"1826827";"—"
"51";"9";"—";"207.0";"62 73 72 0";"—";"Участвуете в конкурсе";"1351423";"—"
"52";"14";"—";"286.0";"63 79 72 72";"—";"Участвуете в конкурсе";"1213941";"—"
"53";"4";"—";"205.0";"44 51 70 40";"—";"Участвуете в конкурсе";"1125394";"—"
"54";"3";"Электронное";"137.0";"67";"—";"Участвуете в конкурсе";"1265028";"—"
"55";"10";"Электронное";"211.0";"66 57 48 40";"—";"Участвуете в конкурсе";"1388627";"—"
"56";"5";"Электронное";"265.0";"88 88";"—";"Участвуете в конкурсе";"2168307";"—"
"57";"7";"Электронное";"241.0";"78 80";"—";"Участвуете в конкурсе";"1180128";"—"
"58";"2";"—";"313.0";"84 49 94 86";"—";"Участвуете в конкурсе";"1831582";"—"
"59";"11";"—";"228.0";"70 72";"—";"Участвуете в конкурсе";"1955910";"—"
"60";"3";"—";"251.0";"77 80";"—";"Участвуете в конкурсе";"1217907";"—"
"61";"1";"Электронное";"—";"0 0";"—";"Участвуете в конкурсе";"2040969";"—"
"62";"6";"—";"204.0";"55 76";"—";"Участвуете в конкурсе";"1171365";"—"
"63";"1";"—";"238.0";"43 68 81 46";"—";"Участвуете в конкурсе";"2268631";"—"
"64";"8";"Электронное";"120.0";"60";"—";"Участвуете в конкурсе";"2136003";"—"
"65";"11";"—";"235.0";"75 74";"—";"Участвуете в конкурсе";"1077696";"—"
"66";"6";"—";"83.0";"—";"—";"Участвуете в конкурсе";"1859582";"—"
"67";"1";"Электронное";"333.0";"94 72 91 76";"—";"Участвуете в конкурсе";"1640786";"—"
"68";"2";"Электронное";"182.0";"56 72";"—";"Участвуете в конкурсе";"1769729";"—"
"69";"1";"Электронное";"228.0";"80 68";"—";"Участвуете в конкурсе";"1784609";"—"
"70";"4";"—";"—";"0";"—";"Участвуете в конкурсе";"1120040";"—"
"71";"4";"—";"104.0";"52";"—";"Участвуете в конкурсе";"2199477";"—"
"72";"4";"—";"149.0";"52 40";"—";"Участвуете в конкурсе";"1416769";"—"
"73";"3";"—";"178.0";"100";"—";"Участвуете в конкурсе";"1432515";"—"
"74";"2";"—";"227.0";"71 86";"—";"Участвуете в конкурсе";"1585309";"—"
"75";"2";"—";"132.0";"0 63 69 0";"—";"Участвуете в конкурсе";"978918";"—"
"76";"8";"—";"165.0";"80";"—";"Участвуете в конкурсе";"2394842";"—"
"77";"3";"Электронное";"—";"0 0";"—";"Участвуете в конкурсе";"1003751";"—"
"78";"3";"—";"—";"—";"—";"Участвуете в конкурсе";"1008365";"—"
"79";"3";"—";"109.0";"0 0 63 46";"—";"Участвуете в конкурсе";"982522";"—"
"80";"3";"—";"153.0";"49 58";"—";"Участвуете в конкурсе";"2327870";"—"
"81";"1";"—";"34.0";"34";"—";"Участвуете в конкурсе";"965640";"—"
"82";"3";"—";"154.0";"52 47";"—";"Участвуете в конкурсе";"2406721";"—"
"83";"3";"—";"54.0";"—";"—";"Участвуете в конкурсе";"962163";"—"
"84";"1";"—";"125.0";"0 0 73 52";"—";"Участвуете в конкурсе";"972360";"—"
"85";"2";"—";"—";"0";"—";"Участвуете в конкурсе";"1936933";"—"
"86";"12";"—";"—";"—";"—";"Участвуете в конкурсе";"967740";"—"
"87";"1";"—";"—";"—";"—";"Участвуете в конкурсе";"2418506";"—"
"88";"18";"—";"—";"—";"—";"Участвуете в конкурсе";"1269655";"—"
"89";"1";"—";"388.0";"95 95 98 100";"—";"Участвуете в конкурсе";"1441163";"—"
"90";"6";"—";"387.0";"100 88 91 100";"8.0";"Участвуете в конкурсе";"1262665";"—"
"91";"4";"Электронное";"383.0";"94 95 91 100";"3.0";"Участвуете в конкурсе";"1580693";"—"
"92";"2";"—";"383.0";"100 92 97 91";"3.0";"Участвуете в конкурсе";"1785708";"—"
"93";"1";"Электронное";"382.0";"94 94 99 92";"3.0";"Участвуете в конкурсе";"1786626";"—"
"94";"1";"—";"382.0";"79 100 97 98";"8.0";"Участвуете в конкурсе";"1960152";"—"
