"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"1";"Электронное";"104.0";"—";"10.0";"Участвуете в конкурсе";"1847036";"—"
"2";"1";"Электронное";"83.0";"—";"—";"Участвуете в конкурсе";"1969928";"—"
"3";"1";"Электронное";"103.0";"—";"9.0";"Участвуете в конкурсе";"1181758";"—"
"4";"2";"—";"282.0";"81 100 91";"10.0";"Участвуете в конкурсе";"1618853";"—"
"5";"1";"Электронное";"244.0";"83 78 83";"—";"Участвуете в конкурсе";"2415131";"—"
"6";"1";"Электронное";"140.0";"85 55";"—";"Участвуете в конкурсе";"1099334";"—"
"7";"3";"Электронное";"282.0";"100 72 100";"10.0";"Участвуете в конкурсе";"1650349";"—"
"8";"1";"Электронное";"264.0";"100 76 78";"10.0";"Участвуете в конкурсе";"1818840";"—"
"9";"1";"Электронное";"254.0";"86 88 72";"8.0";"Участвуете в конкурсе";"1522197";"—"
"10";"1";"Электронное";"152.0";"100 46";"6.0";"Участвуете в конкурсе";"1073555";"—"
"11";"1";"Электронное";"286.0";"100 91 89";"6.0";"Участвуете в конкурсе";"1215138";"—"
"12";"1";"Электронное";"248.0";"71 85 86";"6.0";"Участвуете в конкурсе";"1677807";"—"
"13";"1";"Электронное";"192.0";"98 91";"3.0";"Участвуете в конкурсе";"1939208";"—"
"14";"1";"Электронное";"221.0";"85 62 72";"2.0";"Участвуете в конкурсе";"1440492";"—"
"15";"1";"—";"306.0";"100 100 97";"9.0";"Участвуете в конкурсе";"1241514";"—"
"16";"3";"—";"306.0";"100 100 97";"9.0";"Участвуете в конкурсе";"2365403";"—"
"17";"7";"—";"304.0";"94 100 100";"10.0";"Участвуете в конкурсе";"1910164";"—"
"18";"7";"Электронное";"303.0";"100 100 97";"6.0";"Участвуете в конкурсе";"1252850";"—"
"19";"4";"Электронное";"302.0";"100 97 100";"5.0";"Участвуете в конкурсе";"1125845";"—"
"20";"9";"Электронное";"300.0";"96 94 100";"10.0";"Участвуете в конкурсе";"1235875";"—"
