"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"9";"Электронное";"297.0";"98 94 100";"5.0";"Участвуете в конкурсе";"2314174";"—"
"2";"1";"Электронное";"296.0";"95 100 98";"3.0";"Участвуете в конкурсе";"1041629";"—"
"3";"1";"—";"295.0";"98 94 100";"3.0";"Участвуете в конкурсе";"1282242";"—"
"4";"2";"—";"287.0";"98 94 92";"3.0";"Участвуете в конкурсе";"1517990";"—"
"5";"1";"Электронное";"284.0";"93 91 95";"5.0";"Участвуете в конкурсе";"1463535";"—"
"6";"3";"Электронное";"282.0";"98 86 95";"3.0";"Участвуете в конкурсе";"1843556";"—"
"7";"1";"—";"281.0";"98 81 97";"5.0";"Участвуете в конкурсе";"2370896";"—"
"8";"1";"—";"280.0";"93 86 96";"5.0";"Участвуете в конкурсе";"2308418";"—"
"9";"1";"Электронное";"279.0";"98 81 100";"—";"Участвуете в конкурсе";"2179972";"—"
"10";"10";"Электронное";"279.0";"93 89 97";"—";"Участвуете в конкурсе";"2143652";"—"
"11";"2";"Электронное";"279.0";"93 81 99";"6.0";"Участвуете в конкурсе";"2004213";"—"
"12";"1";"—";"278.0";"90 91 95";"2.0";"Участвуете в конкурсе";"1519578";"—"
"13";"1";"—";"278.0";"93 91 92";"2.0";"Участвуете в конкурсе";"1771681";"—"
"14";"1";"—";"274.0";"90 89 95";"—";"Участвуете в конкурсе";"1480743";"—"
"15";"7";"—";"271.0";"90 81 95";"5.0";"Участвуете в конкурсе";"1640606";"—"
"16";"1";"—";"271.0";"90 81 90";"10.0";"Участвуете в конкурсе";"952187";"—"
"17";"1";"Электронное";"261.0";"90 78 90";"3.0";"Участвуете в конкурсе";"1367345";"—"
"18";"4";"—";"239.0";"80 60 94";"5.0";"Участвуете в конкурсе";"1438678";"—"
"19";"2";"—";"237.0";"93 66 78";"—";"Участвуете в конкурсе";"1339553";"—"
"20";"1";"—";"227.0";"80 64 80";"3.0";"Участвуете в конкурсе";"2088767";"—"
