"Порядковый номер";"Приоритет конкурса";"Наличие договора";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"3";"—";"303.0";"100 94 99";"10.0";"Участвуете в конкурсе";"951522";"—"
"2";"3";"—";"300.0";"100 97 100";"3.0";"Участвуете в конкурсе";"1364439";"—"
"3";"2";"Электронное";"297.0";"98 97 99";"3.0";"Участвуете в конкурсе";"1907318";"—"
"4";"4";"Электронное";"289.0";"95 91 100";"3.0";"Участвуете в конкурсе";"1235083";"—"
"5";"7";"Электронное";"286.0";"98 89 96";"3.0";"Участвуете в конкурсе";"2134980";"—"
"6";"3";"Электронное";"286.0";"100 81 100";"5.0";"Участвуете в конкурсе";"1535558";"—"
"7";"2";"—";"286.0";"95 83 98";"10.0";"Участвуете в конкурсе";"1339938";"—"
"8";"6";"Электронное";"283.0";"95 97 88";"3.0";"Участвуете в конкурсе";"1706819";"—"
"9";"5";"—";"276.0";"98 78 100";"—";"Участвуете в конкурсе";"1503528";"—"
"10";"6";"Электронное";"272.0";"88 97 82";"5.0";"Участвуете в конкурсе";"2160780";"—"
"11";"1";"—";"265.0";"88 83 94";"—";"Участвуете в конкурсе";"1265905";"—"
"12";"2";"Электронное";"259.0";"88 89 82";"—";"Участвуете в конкурсе";"1190549";"—"
"13";"1";"Электронное";"255.0";"78 86 88";"3.0";"Участвуете в конкурсе";"2238459";"—"
"14";"1";"—";"250.0";"80 73 92";"5.0";"Участвуете в конкурсе";"1181853";"—"
"15";"1";"—";"246.0";"90 72 84";"—";"Участвуете в конкурсе";"1571939";"—"
"16";"1";"—";"243.0";"85 78 80";"—";"Участвуете в конкурсе";"1115492";"—"
"17";"2";"—";"240.0";"88 72 80";"—";"Участвуете в конкурсе";"1185160";"—"
"18";"1";"—";"240.0";"80 69 86";"5.0";"Участвуете в конкурсе";"984674";"—"
"19";"6";"—";"232.0";"80 72 78";"2.0";"Участвуете в конкурсе";"2132661";"—"
"20";"1";"—";"230.0";"78 75 72";"5.0";"Участвуете в конкурсе";"2303044";"—"
