"Порядковый номер";"Приоритет конкурса";"Наличие договора";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"2";"—";"293.0";"100 86 97";"10.0";"Участвуете в конкурсе";"1729962";"—"
"2";"2";"—";"256.0";"88 78 82";"8.0";"Участвуете в конкурсе";"1355457";"—"
"3";"4";"—";"252.0";"77 78 90";"7.0";"Участвуете в конкурсе";"1133000";"—"
"4";"2";"Электронное";"272.0";"93 81 92";"6.0";"Участвуете в конкурсе";"1799783";"—"
"5";"4";"—";"258.0";"84 89 80";"5.0";"Участвуете в конкурсе";"1124227";"—"
"6";"2";"—";"264.0";"98 89 72";"5.0";"Участвуете в конкурсе";"1964745";"—"
"7";"2";"Электронное";"269.0";"88 81 95";"5.0";"Участвуете в конкурсе";"1762942";"—"
"8";"6";"Электронное";"264.0";"86 81 92";"5.0";"Участвуете в конкурсе";"1547564";"—"
"9";"3";"—";"224.0";"83 72 64";"5.0";"Участвуете в конкурсе";"1782587";"—"
"10";"7";"Электронное";"202.0";"56 61 80";"5.0";"Участвуете в конкурсе";"1164798";"—"
"11";"2";"Электронное";"211.0";"72 60 74";"5.0";"Участвуете в конкурсе";"2028264";"—"
"12";"3";"—";"269.0";"98 69 97";"5.0";"Участвуете в конкурсе";"1425562";"—"
"13";"1";"—";"258.0";"88 83 82";"5.0";"Участвуете в конкурсе";"1210667";"—"
"14";"2";"Электронное";"276.0";"92 91 88";"5.0";"Участвуете в конкурсе";"1409480";"—"
"15";"2";"Электронное";"289.0";"96 93 97";"3.0";"Участвуете в конкурсе";"1846843";"—"
"16";"6";"—";"276.0";"96 91 86";"3.0";"Участвуете в конкурсе";"1653204";"—"
"17";"7";"—";"281.0";"96 86 96";"3.0";"Участвуете в конкурсе";"1518502";"—"
"18";"3";"Электронное";"265.0";"88 86 88";"3.0";"Участвуете в конкурсе";"1247946";"—"
"19";"5";"—";"84.0";"0";"3.0";"Участвуете в конкурсе";"2076314";"—"
"20";"4";"—";"228.0";"78 75 72";"3.0";"Участвуете в конкурсе";"1644978";"—"
"21";"3";"—";"73.0";"17 53 0";"3.0";"Участвуете в конкурсе";"1773182";"—"
"22";"1";"—";"190.0";"62 73 52";"3.0";"Участвуете в конкурсе";"1270114";"—"
"23";"4";"Электронное";"230.0";"80 67 80";"3.0";"Участвуете в конкурсе";"999321";"—"
"24";"2";"—";"282.0";"90 97 92";"3.0";"Участвуете в конкурсе";"1651267";"—"
"25";"5";"Электронное";"111.0";"46";"2.0";"Участвуете в конкурсе";"2423749";"—"
"26";"7";"Электронное";"167.0";"46 67 52";"2.0";"Участвуете в конкурсе";"2231197";"—"
"27";"4";"Электронное";"253.0";"80 91 80";"2.0";"Участвуете в конкурсе";"1266325";"—"
"28";"6";"Электронное";"288.0";"98 94 94";"2.0";"Участвуете в конкурсе";"1070538";"—"
"29";"5";"—";"259.0";"76 89 92";"2.0";"Участвуете в конкурсе";"1096810";"—"
"30";"4";"—";"256.0";"90 78 86";"2.0";"Участвуете в конкурсе";"1626203";"—"
"31";"4";"Электронное";"259.0";"83 88 86";"2.0";"Участвуете в конкурсе";"1949366";"—"
"32";"4";"—";"200.0";"56 58 84";"2.0";"Участвуете в конкурсе";"1987920";"—"
"33";"4";"—";"—";"0";"—";"Участвуете в конкурсе";"1557559";"—"
"34";"5";"Электронное";"—";"—";"—";"Участвуете в конкурсе";"1718091";"—"
"35";"5";"Электронное";"182.0";"46 64 72";"—";"Участвуете в конкурсе";"1642778";"—"
"36";"2";"—";"238.0";"85 81 72";"—";"Участвуете в конкурсе";"1517915";"—"
"37";"6";"—";"251.0";"90 69 92";"—";"Участвуете в конкурсе";"1728703";"—"
"38";"5";"—";"162.0";"59 57 46";"—";"Участвуете в конкурсе";"1351035";"—"
"39";"4";"Электронное";"253.0";"80 83 90";"—";"Участвуете в конкурсе";"1250342";"—"
"40";"3";"Электронное";"235.0";"70 81 84";"—";"Участвуете в конкурсе";"1100965";"—"
"41";"6";"Электронное";"207.0";"54 81 72";"—";"Участвуете в конкурсе";"2092683";"—"
"42";"2";"Электронное";"130.0";"64";"—";"Участвуете в конкурсе";"1216473";"—"
"43";"7";"—";"214.0";"75 63 76";"—";"Участвуете в конкурсе";"1975707";"—"
"44";"10";"—";"216.0";"72 72 72";"—";"Участвуете в конкурсе";"1977200";"—"
"45";"2";"—";"184.0";"48 66 70";"—";"Участвуете в конкурсе";"1244083";"—"
"46";"6";"—";"215.0";"80 63 72";"—";"Участвуете в конкурсе";"1641302";"—"
"47";"5";"—";"247.0";"80 89 78";"—";"Участвуете в конкурсе";"1964850";"—"
"48";"6";"Электронное";"225.0";"78 73 74";"—";"Участвуете в конкурсе";"2385498";"—"
"49";"4";"—";"198.0";"79 61 58";"—";"Участвуете в конкурсе";"2140847";"—"
"50";"3";"—";"303.0";"98 100 100";"5.0";"Участвуете в конкурсе";"2216875";"—"
"51";"6";"—";"303.0";"100 94 100";"9.0";"Участвуете в конкурсе";"1533512";"—"
"52";"2";"Электронное";"302.0";"97 100 100";"5.0";"Участвуете в конкурсе";"1621870";"—"
"53";"1";"—";"301.0";"96 100 100";"5.0";"Участвуете в конкурсе";"1793247";"—"
"54";"1";"Электронное";"299.0";"100 91 99";"9.0";"Участвуете в конкурсе";"1320557";"—"
"55";"8";"Электронное";"297.0";"100 94 100";"3.0";"Участвуете в конкурсе";"975056";"—"
"56";"3";"—";"297.0";"100 94 100";"3.0";"Участвуете в конкурсе";"1796316";"—"
"57";"8";"Электронное";"297.0";"100 89 100";"8.0";"Участвуете в конкурсе";"2340581";"—"
"58";"3";"—";"295.0";"100 100 90";"5.0";"Участвуете в конкурсе";"1618714";"—"
"59";"3";"—";"295.0";"100 91 95";"9.0";"Участвуете в конкурсе";"1652447";"—"
"60";"3";"Электронное";"293.0";"92 91 100";"10.0";"Участвуете в конкурсе";"1491398";"—"
"61";"5";"Электронное";"292.0";"93 99 100";"—";"Участвуете в конкурсе";"976610";"—"
"62";"4";"—";"292.0";"97 93 99";"3.0";"Участвуете в конкурсе";"1098664";"—"
"63";"4";"Электронное";"292.0";"93 100 96";"3.0";"Участвуете в конкурсе";"1412533";"—"
"64";"5";"—";"292.0";"100 97 92";"3.0";"Участвуете в конкурсе";"1473705";"—"
"65";"3";"—";"292.0";"100 86 100";"6.0";"Участвуете в конкурсе";"1212681";"—"
"66";"4";"Электронное";"291.0";"100 91 97";"3.0";"Участвуете в конкурсе";"1397739";"—"
"67";"3";"—";"290.0";"94 94 100";"2.0";"Участвуете в конкурсе";"1434801";"—"
"68";"7";"Электронное";"289.0";"92 97 100";"—";"Участвуете в конкурсе";"964654";"—"
"69";"2";"—";"289.0";"94 94 98";"3.0";"Участвуете в конкурсе";"1627584";"—"
"70";"9";"—";"288.0";"100 94 94";"—";"Участвуете в конкурсе";"1642840";"—"
"71";"1";"—";"288.0";"96 89 100";"3.0";"Участвуете в конкурсе";"1990576";"—"
"72";"7";"—";"287.0";"90 97 100";"—";"Участвуете в конкурсе";"1006509";"—"
"73";"3";"Электронное";"287.0";"96 95 96";"—";"Участвуете в конкурсе";"1367140";"—"
