"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"1";"Электронное";"207.0";"100";"10.0";"Участвуете в конкурсе";"1587247";"—"
"2";"1";"Электронное";"181.0";"95";"—";"Участвуете в конкурсе";"1058020";"—"
"3";"1";"Электронное";"210.0";"51 55 94";"10.0";"Участвуете в конкурсе";"2096323";"—"
"4";"1";"Электронное";"234.0";"59 89 86";"—";"Участвуете в конкурсе";"1522242";"—"
"5";"1";"—";"270.0";"84 86 100";"—";"Участвуете в конкурсе";"1073340";"—"
"6";"1";"Электронное";"277.0";"82 89 97";"9.0";"Участвуете в конкурсе";"1367082";"—"
"7";"2";"Электронное";"294.0";"94 91 100";"9.0";"Участвуете в конкурсе";"1195042";"—"
"8";"2";"Электронное";"251.0";"72 73 100";"6.0";"Участвуете в конкурсе";"1445870";"—"
"9";"1";"Электронное";"289.0";"98 89 99";"3.0";"Участвуете в конкурсе";"1184345";"—"
"10";"1";"Электронное";"162.0";"86";"3.0";"Участвуете в конкурсе";"2269872";"—"
"11";"7";"—";"310.0";"100 100 100";"10.0";"Участвуете в конкурсе";"1850411";"—"
"12";"7";"—";"309.0";"100 100 100";"9.0";"Участвуете в конкурсе";"1479694";"—"
"13";"3";"—";"306.0";"100 97 100";"9.0";"Участвуете в конкурсе";"1515970";"—"
"14";"3";"—";"305.0";"100 97 99";"9.0";"Участвуете в конкурсе";"1102589";"—"
"15";"4";"—";"304.0";"98 97 100";"9.0";"Участвуете в конкурсе";"1066180";"—"
"16";"5";"—";"304.0";"95 100 100";"9.0";"Участвуете в конкурсе";"1892392";"—"
"17";"5";"—";"304.0";"100 94 100";"10.0";"Участвуете в конкурсе";"1271815";"—"
"18";"3";"—";"304.0";"100 94 100";"10.0";"Участвуете в конкурсе";"1243648";"—"
"19";"7";"—";"304.0";"100 94 100";"10.0";"Участвуете в конкурсе";"1181079";"—"
"20";"2";"—";"303.0";"100 100 100";"3.0";"Участвуете в конкурсе";"1101065";"—"
"21";"3";"—";"303.0";"98 100 100";"5.0";"Участвуете в конкурсе";"2001574";"—"
"22";"9";"—";"303.0";"100 97 100";"6.0";"Участвуете в конкурсе";"984462";"—"
"23";"2";"—";"303.0";"100 97 100";"6.0";"Участвуете в конкурсе";"1214933";"—"
"24";"3";"Электронное";"303.0";"100 94 100";"9.0";"Участвуете в конкурсе";"1538512";"—"
"25";"2";"Электронное";"303.0";"100 94 100";"9.0";"Участвуете в конкурсе";"1209429";"—"
"26";"2";"—";"303.0";"100 94 100";"9.0";"Участвуете в конкурсе";"1196279";"—"
"27";"2";"—";"303.0";"94 100 100";"9.0";"Участвуете в конкурсе";"1522246";"—"
"28";"2";"—";"302.0";"100 94 100";"8.0";"Участвуете в конкурсе";"1173676";"—"
"29";"5";"—";"302.0";"98 94 100";"10.0";"Участвуете в конкурсе";"1177363";"—"
"30";"5";"—";"302.0";"100 97 95";"10.0";"Участвуете в конкурсе";"1501201";"—"
"31";"4";"Электронное";"301.0";"98 100 100";"3.0";"Участвуете в конкурсе";"1707339";"—"
"32";"3";"—";"301.0";"98 94 100";"9.0";"Участвуете в конкурсе";"1638171";"—"
"33";"4";"—";"301.0";"100 94 98";"9.0";"Участвуете в конкурсе";"1133372";"—"
"34";"4";"—";"301.0";"100 91 100";"10.0";"Участвуете в конкурсе";"952498";"—"
"35";"4";"—";"300.0";"100 100 100";"—";"Участвуете в конкурсе";"2417155";"—"
"36";"3";"—";"300.0";"100 97 100";"3.0";"Участвуете в конкурсе";"1911866";"—"
"37";"2";"Электронное";"300.0";"98 100 99";"3.0";"Участвуете в конкурсе";"1781001";"—"
"38";"3";"Электронное";"300.0";"100 100 97";"3.0";"Участвуете в конкурсе";"1175325";"—"
"39";"2";"—";"300.0";"100 91 100";"9.0";"Участвуете в конкурсе";"1055982";"—"
"40";"3";"—";"299.0";"100 97 99";"3.0";"Участвуете в конкурсе";"1604987";"—"
"41";"1";"—";"299.0";"98 98 98";"5.0";"Участвуете в конкурсе";"1439460";"—"
"42";"3";"—";"299.0";"100 94 99";"6.0";"Участвуете в конкурсе";"1353341";"—"
"43";"9";"—";"299.0";"93 97 100";"9.0";"Участвуете в конкурсе";"1473014";"—"
"44";"5";"—";"299.0";"98 91 100";"10.0";"Участвуете в конкурсе";"1655702";"—"
"45";"2";"Электронное";"299.0";"100 94 95";"10.0";"Участвуете в конкурсе";"1107277";"—"
"46";"2";"—";"298.0";"100 98 100";"—";"Участвуете в конкурсе";"1200463";"—"
"47";"4";"—";"298.0";"98 100 100";"—";"Участвуете в конкурсе";"1377111";"—"
"48";"2";"Электронное";"298.0";"100 97 99";"2.0";"Участвуете в конкурсе";"1154222";"—"
"49";"4";"—";"298.0";"98 97 100";"3.0";"Участвуете в конкурсе";"1717727";"—"
