"Порядковый номер";"Приоритет конкурса";"Наличие договора";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"4";"Электронное";"301.0";"98 100 100";"3.0";"Участвуете в конкурсе";"1707339";"—"
"2";"5";"Электронное";"292.0";"96 91 95";"10.0";"Участвуете в конкурсе";"1604171";"—"
"3";"3";"Электронное";"291.0";"94 97 100";"—";"Участвуете в конкурсе";"1105868";"—"
"4";"2";"—";"290.0";"98 94 95";"3.0";"Участвуете в конкурсе";"2307385";"—"
"5";"7";"Электронное";"288.0";"82 97 100";"9.0";"Участвуете в конкурсе";"1785241";"—"
"6";"4";"—";"284.0";"97 89 95";"3.0";"Участвуете в конкурсе";"966646";"—"
"7";"6";"Электронное";"282.0";"96 89 97";"—";"Участвуете в конкурсе";"996389";"—"
"8";"4";"—";"281.0";"98 83 97";"3.0";"Участвуете в конкурсе";"1208738";"—"
"9";"2";"—";"280.0";"98 83 96";"3.0";"Участвуете в конкурсе";"1093386";"—"
"10";"6";"Электронное";"280.0";"90 91 96";"3.0";"Участвуете в конкурсе";"1848689";"—"
"11";"3";"Электронное";"279.0";"97 81 98";"3.0";"Участвуете в конкурсе";"1635106";"—"
"12";"1";"Электронное";"276.0";"90 83 100";"3.0";"Участвуете в конкурсе";"1755244";"—"
"13";"6";"—";"273.0";"86 89 98";"—";"Участвуете в конкурсе";"2056217";"—"
"14";"2";"Электронное";"272.0";"88 97 84";"3.0";"Участвуете в конкурсе";"1263125";"—"
"15";"1";"Электронное";"267.0";"92 75 100";"—";"Участвуете в конкурсе";"1358900";"—"
"16";"5";"Электронное";"265.0";"85 92 85";"3.0";"Участвуете в конкурсе";"1976113";"—"
"17";"4";"Электронное";"260.0";"84 83 90";"3.0";"Участвуете в конкурсе";"1913227";"—"
"18";"6";"—";"257.0";"96 70 88";"3.0";"Участвуете в конкурсе";"1424652";"—"
"19";"2";"—";"254.0";"76 83 95";"—";"Участвуете в конкурсе";"981317";"—"
"20";"3";"Электронное";"253.0";"72 81 100";"—";"Участвуете в конкурсе";"1511724";"—"
"21";"10";"—";"252.0";"98 72 80";"2.0";"Участвуете в конкурсе";"2240663";"—"
"22";"3";"—";"249.0";"86 63 100";"—";"Участвуете в конкурсе";"1563437";"—"
"23";"2";"—";"243.0";"65 83 92";"3.0";"Участвуете в конкурсе";"1077263";"—"
"24";"1";"Электронное";"242.0";"80 64 96";"2.0";"Участвуете в конкурсе";"1880907";"—"
"25";"6";"—";"241.0";"76 83 80";"2.0";"Участвуете в конкурсе";"1952802";"—"
"26";"6";"—";"236.0";"75 69 92";"—";"Участвуете в конкурсе";"2261586";"—"
"27";"2";"—";"234.0";"77 78 76";"3.0";"Участвуете в конкурсе";"1003720";"—"
"28";"1";"—";"233.0";"88 61 84";"—";"Участвуете в конкурсе";"1258113";"—"
"29";"4";"—";"227.0";"70 78 76";"3.0";"Участвуете в конкурсе";"1794829";"—"
"30";"2";"—";"215.0";"72 63 80";"—";"Участвуете в конкурсе";"1043918";"—"
"31";"2";"—";"206.0";"68 60 78";"—";"Участвуете в конкурсе";"1154790";"—"
