"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"1";"Электронное";"133.0";"57 66";"10.0";"Участвуете в конкурсе";"1423162";"—"
"2";"1";"Электронное";"196.0";"97";"3.0";"Участвуете в конкурсе";"1627103";"—"
"3";"1";"Электронное";"72.0";"—";"—";"Участвуете в конкурсе";"1215759";"—"
"4";"1";"Электронное";"246.0";"71 86 86";"3.0";"Участвуете в конкурсе";"979205";"—"
"5";"2";"Электронное";"308.0";"98 100 100";"10.0";"Участвуете в конкурсе";"1609083";"—"
"6";"1";"Электронное";"305.0";"98 98 99";"10.0";"Участвуете в конкурсе";"1505150";"—"
"7";"1";"Электронное";"303.0";"100 98 100";"5.0";"Участвуете в конкурсе";"1291044";"—"
"8";"8";"—";"302.0";"100 97 100";"5.0";"Участвуете в конкурсе";"1484967";"—"
"9";"2";"Электронное";"302.0";"100 100 97";"5.0";"Участвуете в конкурсе";"1250024";"—"
"10";"1";"Электронное";"302.0";"100 98 94";"10.0";"Участвуете в конкурсе";"951940";"—"
"11";"1";"—";"302.0";"96 96 100";"10.0";"Участвуете в конкурсе";"1611175";"—"
"12";"6";"—";"301.0";"96 96 100";"9.0";"Участвуете в конкурсе";"1262970";"—"
"13";"1";"Электронное";"301.0";"98 96 97";"10.0";"Участвуете в конкурсе";"1068015";"—"
"14";"2";"Электронное";"300.0";"96 98 97";"9.0";"Участвуете в конкурсе";"1203929";"—"
"15";"3";"—";"300.0";"100 90 100";"10.0";"Участвуете в конкурсе";"1727006";"—"
"16";"2";"—";"298.0";"96 100 97";"5.0";"Участвуете в конкурсе";"1633231";"—"
"17";"2";"Электронное";"298.0";"94 94 100";"10.0";"Участвуете в конкурсе";"1343524";"—"
"18";"2";"—";"297.0";"96 98 100";"3.0";"Участвуете в конкурсе";"1432042";"—"
"19";"6";"—";"297.0";"98 100 94";"5.0";"Участвуете в конкурсе";"1480467";"—"
"20";"11";"—";"297.0";"98 94 100";"5.0";"Участвуете в конкурсе";"1118254";"—"
"21";"3";"Электронное";"296.0";"97 100 99";"—";"Участвуете в конкурсе";"1621417";"—"
"22";"1";"—";"296.0";"100 93 100";"3.0";"Участвуете в конкурсе";"1413228";"—"
"23";"5";"—";"296.0";"96 100 97";"3.0";"Участвуете в конкурсе";"1313867";"—"
"24";"2";"—";"295.0";"96 100 97";"2.0";"Участвуете в конкурсе";"1071363";"—"
"25";"3";"Электронное";"295.0";"98 95 97";"5.0";"Участвуете в конкурсе";"1511505";"—"
"26";"8";"—";"294.0";"94 98 97";"5.0";"Участвуете в конкурсе";"1125010";"—"
"27";"2";"—";"294.0";"100 98 91";"5.0";"Участвуете в конкурсе";"1609592";"—"
"28";"5";"Электронное";"294.0";"90 94 100";"10.0";"Участвуете в конкурсе";"1635617";"—"
"29";"2";"Электронное";"293.0";"100 100 91";"2.0";"Участвуете в конкурсе";"978606";"—"
