"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"1";"Электронное";"305.0";"98 98 99";"10.0";"Участвуете в конкурсе";"1505150";"—"
"2";"1";"Электронное";"287.0";"88 96 100";"3.0";"Участвуете в конкурсе";"1959051";"—"
"3";"4";"Электронное";"285.0";"84 98 100";"3.0";"Участвуете в конкурсе";"1292600";"—"
"4";"10";"Электронное";"284.0";"90 96 98";"—";"Участвуете в конкурсе";"1787930";"—"
"5";"2";"Электронное";"282.0";"92 96 89";"5.0";"Участвуете в конкурсе";"2044271";"—"
"6";"7";"Электронное";"281.0";"86 96 94";"5.0";"Участвуете в конкурсе";"1258501";"—"
"7";"6";"Электронное";"272.0";"87 91 94";"—";"Участвуете в конкурсе";"2007435";"—"
"8";"3";"—";"271.0";"84 90 94";"3.0";"Участвуете в конкурсе";"1353255";"—"
"9";"3";"Электронное";"269.0";"88 84 94";"3.0";"Участвуете в конкурсе";"2114312";"—"
"10";"1";"—";"266.0";"84 81 91";"10.0";"Участвуете в конкурсе";"1290554";"—"
"11";"10";"Электронное";"264.0";"86 84 91";"3.0";"Участвуете в конкурсе";"1507007";"—"
"12";"2";"Электронное";"264.0";"75 90 89";"10.0";"Участвуете в конкурсе";"1626362";"—"
"13";"3";"—";"262.0";"88 80 91";"3.0";"Участвуете в конкурсе";"1837468";"—"
"14";"3";"—";"259.0";"96 66 97";"—";"Участвуете в конкурсе";"984645";"—"
"15";"2";"Электронное";"259.0";"90 75 91";"3.0";"Участвуете в конкурсе";"1365206";"—"
"16";"3";"—";"257.0";"86 86 83";"2.0";"Участвуете в конкурсе";"2054797";"—"
"17";"2";"—";"257.0";"90 73 91";"3.0";"Участвуете в конкурсе";"1419361";"—"
"18";"4";"—";"252.0";"78 85 86";"3.0";"Участвуете в конкурсе";"2181275";"—"
"19";"11";"—";"252.0";"84 91 72";"5.0";"Участвуете в конкурсе";"1490058";"—"
"20";"12";"—";"252.0";"86 75 81";"10.0";"Участвуете в конкурсе";"1478669";"—"
"21";"6";"Электронное";"251.0";"94 79 78";"—";"Участвуете в конкурсе";"970804";"—"
"22";"4";"Электронное";"247.0";"83 89 75";"—";"Участвуете в конкурсе";"1817925";"—"
"23";"3";"—";"244.0";"81 72 81";"10.0";"Участвуете в конкурсе";"1322901";"—"
"24";"2";"—";"242.0";"73 81 86";"2.0";"Участвуете в конкурсе";"1619806";"—"
"25";"10";"—";"242.0";"80 70 89";"3.0";"Участвуете в конкурсе";"1258604";"—"
"26";"1";"Электронное";"240.0";"80 79 78";"3.0";"Участвуете в конкурсе";"1677954";"—"
"27";"7";"—";"239.0";"77 84 78";"—";"Участвуете в конкурсе";"2310780";"—"
"28";"3";"—";"238.0";"86 71 81";"—";"Участвуете в конкурсе";"1494269";"—"
"29";"2";"—";"238.0";"84 68 83";"3.0";"Участвуете в конкурсе";"1284987";"—"
"30";"4";"—";"238.0";"66 72 97";"3.0";"Участвуете в конкурсе";"1794731";"—"
"31";"4";"—";"237.0";"73 83 81";"—";"Участвуете в конкурсе";"1410495";"—"
"32";"2";"—";"235.0";"75 79 81";"—";"Участвуете в конкурсе";"1524675";"—"
"33";"8";"—";"235.0";"73 88 72";"2.0";"Участвуете в конкурсе";"1634796";"—"
"34";"4";"—";"234.0";"73 80 81";"—";"Участвуете в конкурсе";"1257252";"—"
"35";"2";"—";"234.0";"70 83 78";"3.0";"Участвуете в конкурсе";"1158670";"—"
"36";"1";"Электронное";"226.0";"61 71 94";"—";"Участвуете в конкурсе";"945448";"—"
"37";"4";"—";"226.0";"73 77 73";"3.0";"Участвуете в конкурсе";"1776079";"—"
"38";"1";"—";"225.0";"75 74 73";"3.0";"Участвуете в конкурсе";"1249938";"—"
"39";"6";"—";"222.0";"77 72 73";"—";"Участвуете в конкурсе";"1423274";"—"
"40";"8";"—";"220.0";"70 67 83";"—";"Участвуете в конкурсе";"1498855";"—"
"41";"1";"—";"217.0";"73 72 69";"3.0";"Участвуете в конкурсе";"2392567";"—"
"42";"3";"Электронное";"216.0";"71 78 67";"—";"Участвуете в конкурсе";"1958495";"—"
"43";"1";"—";"214.0";"64 72 78";"—";"Участвуете в конкурсе";"1284349";"—"
"44";"9";"—";"205.0";"68 67 70";"—";"Участвуете в конкурсе";"2079813";"—"
"45";"3";"—";"201.0";"65 67 69";"—";"Участвуете в конкурсе";"1446183";"—"
"46";"2";"Электронное";"199.0";"62 65 67";"5.0";"Участвуете в конкурсе";"963908";"—"
"47";"2";"Электронное";"196.0";"67 66 63";"—";"Участвуете в конкурсе";"2229517";"—"
