"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"3";"—";"302.0";"100 100 97";"5.0";"Участвуете в конкурсе";"1910696";"—"
"2";"3";"—";"300.0";"100 100 100";"—";"Участвуете в конкурсе";"2417155";"—"
"3";"11";"—";"299.0";"96 100 100";"3.0";"Участвуете в конкурсе";"2426078";"—"
"4";"1";"—";"299.0";"100 100 96";"3.0";"Участвуете в конкурсе";"963570";"—"
"5";"6";"—";"298.0";"95 97 96";"10.0";"Участвуете в конкурсе";"1855072";"—"
"6";"3";"—";"297.0";"100 97 100";"—";"Участвуете в конкурсе";"1417946";"—"
"7";"4";"—";"297.0";"100 94 98";"5.0";"Участвуете в конкурсе";"1076937";"—"
"8";"3";"—";"297.0";"98 100 94";"5.0";"Участвуете в конкурсе";"1105571";"—"
"9";"2";"—";"296.0";"94 100 99";"3.0";"Участвуете в конкурсе";"1105994";"—"
"10";"4";"—";"293.0";"100 91 100";"2.0";"Участвуете в конкурсе";"1333044";"—"
"11";"3";"—";"293.0";"99 97 94";"3.0";"Участвуете в конкурсе";"1760821";"—"
"12";"9";"—";"293.0";"92 100 96";"5.0";"Участвуете в конкурсе";"1514152";"—"
"13";"1";"—";"292.0";"98 91 100";"3.0";"Участвуете в конкурсе";"1362153";"—"
"14";"1";"—";"291.0";"100 89 100";"2.0";"Участвуете в конкурсе";"1940159";"—"
"15";"7";"—";"291.0";"100 89 99";"3.0";"Участвуете в конкурсе";"1200511";"—"
"16";"1";"—";"291.0";"100 91 97";"3.0";"Участвуете в конкурсе";"1899348";"—"
"17";"4";"—";"291.0";"98 91 97";"5.0";"Участвуете в конкурсе";"2108955";"—"
"18";"3";"—";"291.0";"98 91 97";"5.0";"Участвуете в конкурсе";"1409986";"—"
"19";"6";"—";"290.0";"97 91 97";"5.0";"Участвуете в конкурсе";"1432302";"—"
"20";"4";"—";"289.0";"96 91 100";"2.0";"Участвуете в конкурсе";"1211238";"—"
"21";"4";"—";"289.0";"100 89 97";"3.0";"Участвуете в конкурсе";"1884091";"—"
"22";"2";"—";"289.0";"98 91 97";"3.0";"Участвуете в конкурсе";"1501293";"—"
"23";"6";"—";"289.0";"98 94 92";"5.0";"Участвуете в конкурсе";"1791127";"—"
"24";"2";"—";"288.0";"100 97 88";"3.0";"Участвуете в конкурсе";"1979721";"—"
"25";"7";"—";"288.0";"94 94 95";"5.0";"Участвуете в конкурсе";"1944302";"—"
"26";"2";"Электронное";"288.0";"100 89 90";"9.0";"Участвуете в конкурсе";"1588639";"—"
"27";"3";"—";"287.0";"100 94 90";"3.0";"Участвуете в конкурсе";"1889454";"—"
"28";"7";"—";"287.0";"84 100 98";"5.0";"Участвуете в конкурсе";"1656043";"—"
"29";"6";"—";"287.0";"98 89 95";"5.0";"Участвуете в конкурсе";"1956402";"—"
"30";"5";"—";"287.0";"98 94 90";"5.0";"Участвуете в конкурсе";"1196634";"—"
"31";"4";"—";"287.0";"100 94 88";"5.0";"Участвуете в конкурсе";"1203097";"—"
"32";"3";"Электронное";"287.0";"99 97 86";"5.0";"Участвуете в конкурсе";"1324512";"—"
"33";"2";"—";"286.0";"94 94 96";"2.0";"Участвуете в конкурсе";"1962348";"—"
"34";"2";"—";"286.0";"90 94 97";"5.0";"Участвуете в конкурсе";"1703785";"—"
"35";"3";"—";"285.0";"99 91 92";"3.0";"Участвуете в конкурсе";"1863473";"—"
"36";"6";"—";"285.0";"88 97 95";"5.0";"Участвуете в конкурсе";"2003205";"—"
"37";"5";"Электронное";"285.0";"98 100 82";"5.0";"Участвуете в конкурсе";"1520921";"—"
"38";"5";"—";"284.0";"96 91 94";"3.0";"Участвуете в конкурсе";"1352336";"—"
"39";"4";"—";"284.0";"96 91 94";"3.0";"Участвуете в конкурсе";"1946316";"—"
"40";"3";"—";"284.0";"90 94 95";"5.0";"Участвуете в конкурсе";"1434449";"—"
"41";"5";"Электронное";"283.0";"88 92 100";"3.0";"Участвуете в конкурсе";"1197842";"—"
"42";"4";"—";"283.0";"96 89 95";"3.0";"Участвуете в конкурсе";"1986832";"—"
"43";"3";"—";"283.0";"100 94 86";"3.0";"Участвуете в конкурсе";"1209146";"—"
"44";"4";"—";"283.0";"85 97 96";"5.0";"Участвуете в конкурсе";"1444882";"—"
"45";"2";"—";"283.0";"96 94 88";"5.0";"Участвуете в конкурсе";"1336573";"—"
"46";"4";"—";"282.0";"99 89 94";"—";"Участвуете в конкурсе";"1953269";"—"
"47";"4";"—";"282.0";"99 94 86";"3.0";"Участвуете в конкурсе";"1987919";"—"
"48";"3";"—";"282.0";"93 86 98";"5.0";"Участвуете в конкурсе";"1696523";"—"
"49";"5";"—";"282.0";"93 89 95";"5.0";"Участвуете в конкурсе";"2365241";"—"
"50";"3";"—";"282.0";"93 89 95";"5.0";"Участвуете в конкурсе";"2178486";"—"
"51";"2";"—";"282.0";"90 97 90";"5.0";"Участвуете в конкурсе";"1793661";"—"
"52";"5";"—";"282.0";"100 89 88";"5.0";"Участвуете в конкурсе";"1247537";"—"
"53";"2";"—";"282.0";"98 97 82";"5.0";"Участвуете в конкурсе";"2003244";"—"
"54";"1";"—";"282.0";"96 89 90";"7.0";"Участвуете в конкурсе";"1243607";"—"
"55";"5";"—";"281.0";"90 91 97";"3.0";"Участвуете в конкурсе";"1530850";"—"
"56";"3";"—";"281.0";"100 83 95";"3.0";"Участвуете в конкурсе";"1279075";"—"
"57";"5";"—";"281.0";"96 83 94";"8.0";"Участвуете в конкурсе";"1290231";"—"
"58";"3";"Электронное";"281.0";"90 91 92";"8.0";"Участвуете в конкурсе";"1242861";"—"
"59";"1";"—";"280.0";"92 97 88";"3.0";"Участвуете в конкурсе";"2286245";"—"
"60";"5";"—";"279.0";"94 89 94";"2.0";"Участвуете в конкурсе";"1555153";"—"
"61";"6";"—";"279.0";"97 97 82";"3.0";"Участвуете в конкурсе";"1574194";"—"
"62";"3";"—";"279.0";"85 97 92";"5.0";"Участвуете в конкурсе";"2168570";"—"
"63";"6";"Электронное";"278.0";"100 89 84";"5.0";"Участвуете в конкурсе";"1609441";"—"
"64";"5";"—";"277.0";"94 89 94";"—";"Участвуете в конкурсе";"1797169";"—"
"65";"7";"—";"277.0";"88 97 90";"2.0";"Участвуете в конкурсе";"1916566";"—"
"66";"6";"—";"277.0";"85 89 100";"3.0";"Участвуете в конкурсе";"1200591";"—"
"67";"3";"—";"277.0";"98 78 96";"5.0";"Участвуете в конкурсе";"1195810";"—"
"68";"3";"—";"277.0";"99 83 90";"5.0";"Участвуете в конкурсе";"1386062";"—"
"69";"2";"—";"276.0";"88 88 100";"—";"Участвуете в конкурсе";"1683089";"—"
"70";"3";"—";"276.0";"90 94 90";"2.0";"Участвуете в конкурсе";"2307592";"—"
"71";"5";"—";"276.0";"98 83 92";"3.0";"Участвуете в конкурсе";"1891375";"—"
"72";"5";"—";"276.0";"96 83 92";"5.0";"Участвуете в конкурсе";"1576841";"—"
"73";"6";"Электронное";"276.0";"92 91 88";"5.0";"Участвуете в конкурсе";"1409480";"—"
"74";"2";"—";"276.0";"98 91 82";"5.0";"Участвуете в конкурсе";"1434724";"—"
"75";"2";"—";"275.0";"96 91 88";"—";"Участвуете в конкурсе";"1284601";"—"
"76";"6";"—";"275.0";"91 89 92";"3.0";"Участвуете в конкурсе";"1078068";"—"
"77";"1";"—";"275.0";"96 86 90";"3.0";"Участвуете в конкурсе";"1278953";"—"
"78";"6";"—";"275.0";"98 86 88";"3.0";"Участвуете в конкурсе";"1354859";"—"
"79";"1";"—";"275.0";"98 86 88";"3.0";"Участвуете в конкурсе";"1913042";"—"
"80";"5";"—";"275.0";"95 89 88";"3.0";"Участвуете в конкурсе";"1648879";"—"
"81";"3";"—";"275.0";"100 86 86";"3.0";"Участвуете в конкурсе";"1617371";"—"
"82";"3";"—";"275.0";"92 94 86";"3.0";"Участвуете в конкурсе";"1268022";"—"
"83";"3";"—";"275.0";"92 83 95";"5.0";"Участвуете в конкурсе";"2205485";"—"
"84";"6";"—";"275.0";"91 89 90";"5.0";"Участвуете в конкурсе";"1365907";"—"
"85";"3";"Электронное";"275.0";"88 94 88";"5.0";"Участвуете в конкурсе";"1726326";"—"
"86";"2";"—";"275.0";"90 94 86";"5.0";"Участвуете в конкурсе";"1208920";"—"
"87";"5";"—";"275.0";"100 86 84";"5.0";"Участвуете в конкурсе";"1622925";"—"
"88";"4";"—";"274.0";"99 89 86";"—";"Участвуете в конкурсе";"1285936";"—"
"89";"6";"—";"274.0";"85 91 95";"3.0";"Участвуете в конкурсе";"1557977";"—"
"90";"4";"—";"274.0";"88 91 92";"3.0";"Участвуете в конкурсе";"2054199";"—"
"91";"2";"Электронное";"274.0";"100 83 88";"3.0";"Участвуете в конкурсе";"1644021";"—"
