"Порядковый номер";"Приоритет конкурса";"Наличие договора";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"1";"—";"291.0";"100 89 100";"2.0";"Участвуете в конкурсе";"1940159";"—"
"2";"2";"Электронное";"288.0";"100 89 90";"9.0";"Участвуете в конкурсе";"1588639";"—"
"3";"5";"Электронное";"270.0";"98 81 86";"5.0";"Участвуете в конкурсе";"1414943";"—"
"4";"1";"—";"266.0";"84 89 88";"5.0";"Участвуете в конкурсе";"1834668";"—"
"5";"2";"—";"262.0";"83 94 82";"3.0";"Участвуете в конкурсе";"1750805";"—"
"6";"6";"Электронное";"257.0";"93 78 86";"—";"Участвуете в конкурсе";"1528298";"—"
"7";"4";"Электронное";"249.0";"82 89 78";"—";"Участвуете в конкурсе";"1085649";"—"
"8";"3";"—";"239.0";"93 72 74";"—";"Участвуете в конкурсе";"1973096";"—"
"9";"2";"—";"237.0";"76 69 92";"—";"Участвуете в конкурсе";"1587156";"—"
"10";"1";"—";"235.0";"67 86 82";"—";"Участвуете в конкурсе";"1533057";"—"
"11";"2";"—";"233.0";"74 78 78";"3.0";"Участвуете в конкурсе";"1605318";"—"
"12";"6";"Электронное";"226.0";"62 78 86";"—";"Участвуете в конкурсе";"1623993";"—"
"13";"4";"Электронное";"221.0";"61 83 74";"3.0";"Участвуете в конкурсе";"1728777";"—"
"14";"1";"—";"216.0";"71 78 64";"3.0";"Участвуете в конкурсе";"2265958";"—"
