"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"1";"Электронное";"296.0";"100 94 92";"10.0";"Участвуете в конкурсе";"1715999";"—"
"2";"1";"—";"286.0";"100 83 97";"6.0";"Участвуете в конкурсе";"985228";"—"
"3";"1";"Электронное";"268.0";"94 78 90";"6.0";"Участвуете в конкурсе";"1348673";"—"
"4";"1";"—";"291.0";"100 89 96";"6.0";"Участвуете в конкурсе";"1821299";"—"
"5";"1";"Электронное";"283.0";"100 89 94";"—";"Участвуете в конкурсе";"1868699";"—"
"6";"6";"—";"310.0";"100 100 100";"10.0";"Участвуете в конкурсе";"1850411";"—"
"7";"3";"—";"309.0";"100 100 100";"9.0";"Участвуете в конкурсе";"1621605";"—"
"8";"1";"—";"307.0";"100 97 100";"10.0";"Участвуете в конкурсе";"1558895";"—"
"9";"3";"—";"306.0";"100 97 100";"9.0";"Участвуете в конкурсе";"1200852";"—"
"10";"4";"—";"305.0";"100 97 98";"10.0";"Участвуете в конкурсе";"1796286";"—"
"11";"4";"—";"304.0";"100 94 100";"10.0";"Участвуете в конкурсе";"1271815";"—"
"12";"1";"—";"304.0";"100 94 100";"10.0";"Участвуете в конкурсе";"1213127";"—"
"13";"3";"—";"303.0";"100 100 100";"3.0";"Участвуете в конкурсе";"1101065";"—"
"14";"2";"—";"303.0";"100 100 100";"3.0";"Участвуете в конкурсе";"2266530";"—"
"15";"4";"—";"302.0";"100 97 100";"5.0";"Участвуете в конкурсе";"1621423";"—"
"16";"1";"—";"302.0";"100 97 97";"8.0";"Участвуете в конкурсе";"2229667";"—"
"17";"3";"—";"302.0";"100 97 97";"8.0";"Участвуете в конкурсе";"987070";"—"
"18";"1";"—";"302.0";"100 94 99";"9.0";"Участвуете в конкурсе";"1305268";"—"
"19";"5";"—";"302.0";"100 94 98";"10.0";"Участвуете в конкурсе";"1256470";"—"
"20";"1";"—";"302.0";"100 94 98";"10.0";"Участвуете в конкурсе";"1850613";"—"
"21";"1";"—";"302.0";"100 97 95";"10.0";"Участвуете в конкурсе";"1501201";"—"
"22";"1";"Электронное";"301.0";"98 100 100";"3.0";"Участвуете в конкурсе";"1707339";"—"
"23";"5";"Электронное";"301.0";"98 100 100";"3.0";"Участвуете в конкурсе";"1451248";"—"
"24";"2";"—";"301.0";"98 100 94";"9.0";"Участвуете в конкурсе";"1338326";"—"
"25";"1";"—";"301.0";"96 100 96";"9.0";"Участвуете в конкурсе";"1340675";"—"
