"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"5";"Электронное";"264.0";"86 91 82";"5.0";"Участвуете в конкурсе";"1542645";"—"
"2";"3";"—";"258.0";"88 83 82";"5.0";"Участвуете в конкурсе";"1210667";"—"
"3";"1";"Электронное";"256.0";"86 81 84";"5.0";"Участвуете в конкурсе";"2279827";"—"
"4";"3";"—";"290.0";"100 91 96";"3.0";"Участвуете в конкурсе";"1768000";"—"
"5";"1";"—";"289.0";"100 91 95";"3.0";"Участвуете в конкурсе";"2229023";"—"
"6";"4";"—";"276.0";"96 91 86";"3.0";"Участвуете в конкурсе";"1653204";"—"
"7";"3";"—";"218.0";"65 78 72";"3.0";"Участвуете в конкурсе";"1686463";"—"
"8";"1";"—";"179.0";"64 51 64";"—";"Участвуете в конкурсе";"2380037";"—"
"9";"2";"—";"255.0";"88 75 92";"—";"Участвуете в конкурсе";"2121378";"—"
"10";"5";"—";"221.0";"71 70 80";"—";"Участвуете в конкурсе";"2080433";"—"
"11";"1";"—";"183.0";"62 63 58";"—";"Участвуете в конкурсе";"2268680";"—"
"12";"1";"—";"274.0";"100 78 96";"—";"Участвуете в конкурсе";"1221572";"—"
"13";"1";"—";"198.0";"79 61 58";"—";"Участвуете в конкурсе";"2140847";"—"
"14";"3";"—";"294.0";"100 89 100";"5.0";"Участвуете в конкурсе";"1753320";"—"
"15";"3";"—";"290.0";"98 89 98";"5.0";"Участвуете в конкурсе";"1402226";"—"
"16";"1";"—";"288.0";"100 91 94";"3.0";"Участвуете в конкурсе";"1762859";"—"
"17";"1";"Электронное";"287.0";"96 95 96";"—";"Участвуете в конкурсе";"1367140";"—"
"18";"2";"—";"287.0";"98 94 90";"5.0";"Участвуете в конкурсе";"1196634";"—"
"19";"1";"—";"286.0";"94 94 98";"—";"Участвуете в конкурсе";"1414278";"—"
"20";"1";"—";"285.0";"96 89 97";"3.0";"Участвуете в конкурсе";"1107050";"—"
"21";"1";"—";"284.0";"98 89 92";"5.0";"Участвуете в конкурсе";"2092187";"—"
"22";"6";"—";"280.0";"94 91 95";"—";"Участвуете в конкурсе";"1907930";"—"
"23";"2";"Электронное";"280.0";"96 91 90";"3.0";"Участвуете в конкурсе";"2309786";"—"
"24";"5";"—";"279.0";"96 91 90";"2.0";"Участвуете в конкурсе";"984285";"—"
"25";"1";"—";"279.0";"100 94 82";"3.0";"Участвуете в конкурсе";"1620021";"—"
"26";"2";"—";"276.0";"96 83 92";"5.0";"Участвуете в конкурсе";"1576841";"—"
"27";"4";"—";"275.0";"98 86 88";"3.0";"Участвуете в конкурсе";"1477109";"—"
"28";"4";"—";"274.0";"96 94 84";"—";"Участвуете в конкурсе";"981779";"—"
"29";"1";"—";"273.0";"90 94 84";"5.0";"Участвуете в конкурсе";"1793104";"—"
"30";"1";"—";"272.0";"100 78 92";"2.0";"Участвуете в конкурсе";"1627809";"—"
"31";"5";"Электронное";"270.0";"92 89 86";"3.0";"Участвуете в конкурсе";"1839585";"—"
"32";"2";"—";"269.0";"100 73 96";"—";"Участвуете в конкурсе";"1826122";"—"
"33";"6";"—";"269.0";"92 78 96";"3.0";"Участвуете в конкурсе";"1963941";"—"
"34";"3";"Электронное";"269.0";"88 83 95";"3.0";"Участвуете в конкурсе";"1810227";"—"
"35";"3";"—";"269.0";"86 86 94";"3.0";"Участвуете в конкурсе";"1996233";"—"
