"Порядковый номер";"Приоритет конкурса";"Наличие договора";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"1";"—";"301.0";"100 100 91";"10.0";"Участвуете в конкурсе";"1431059";"—"
"2";"2";"—";"291.0";"100 89 100";"2.0";"Участвуете в конкурсе";"1940159";"—"
"3";"4";"—";"277.0";"86 94 94";"3.0";"Участвуете в конкурсе";"2007190";"—"
"4";"1";"—";"266.0";"93 91 72";"10.0";"Участвуете в конкурсе";"1486997";"—"
"5";"2";"—";"264.0";"84 91 84";"5.0";"Участвуете в конкурсе";"1216510";"—"
"6";"1";"—";"262.0";"95 72 95";"—";"Участвуете в конкурсе";"1154155";"—"
"7";"1";"—";"252.0";"84 91 74";"3.0";"Участвуете в конкурсе";"2102957";"—"
"8";"1";"—";"244.0";"95 72 74";"3.0";"Участвуете в конкурсе";"1383450";"—"
"9";"1";"—";"241.0";"88 61 92";"—";"Участвуете в конкурсе";"1265237";"—"
"10";"1";"—";"239.0";"93 72 74";"—";"Участвуете в конкурсе";"1973096";"—"
"11";"1";"—";"237.0";"82 81 74";"—";"Участвуете в конкурсе";"1711493";"—"
"12";"1";"—";"235.0";"84 75 76";"—";"Участвуете в конкурсе";"1157951";"—"
"13";"1";"Электронное";"212.0";"75 67 70";"—";"Участвуете в конкурсе";"1247886";"—"
