"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"1";"Электронное";"291.0";"100 91 90";"10.0";"Участвуете в конкурсе";"1501282";"—"
"2";"2";"Электронное";"290.0";"100 97 84";"9.0";"Участвуете в конкурсе";"1585163";"—"
"3";"1";"Электронное";"269.0";"100 90 70";"9.0";"Участвуете в конкурсе";"1178189";"—"
"4";"1";"Электронное";"256.0";"86 72 95";"3.0";"Участвуете в конкурсе";"950609";"—"
"5";"2";"—";"306.0";"100 100 100";"6.0";"Участвуете в конкурсе";"1245337";"—"
"6";"2";"—";"306.0";"100 100 97";"9.0";"Участвуете в конкурсе";"1560366";"—"
"7";"3";"—";"306.0";"100 96 100";"10.0";"Участвуете в конкурсе";"1028449";"—"
"8";"2";"—";"305.0";"100 100 100";"5.0";"Участвуете в конкурсе";"1910696";"—"
"9";"2";"—";"303.0";"100 100 100";"3.0";"Участвуете в конкурсе";"1000130";"—"
"10";"1";"Электронное";"303.0";"100 100 98";"5.0";"Участвуете в конкурсе";"1570635";"—"
"11";"2";"—";"303.0";"100 97 100";"6.0";"Участвуете в конкурсе";"1204432";"—"
"12";"2";"Электронное";"303.0";"100 100 95";"8.0";"Участвуете в конкурсе";"1005367";"—"
"13";"2";"—";"301.0";"100 94 98";"9.0";"Участвуете в конкурсе";"1343528";"—"
"14";"2";"—";"301.0";"100 100 91";"10.0";"Участвуете в конкурсе";"1431059";"—"
"15";"2";"—";"300.0";"99 100 98";"3.0";"Участвуете в конкурсе";"1540637";"—"
"16";"2";"—";"300.0";"100 97 98";"5.0";"Участвуете в конкурсе";"1497829";"—"
"17";"2";"—";"300.0";"100 91 100";"9.0";"Участвуете в конкурсе";"1392359";"—"
"18";"3";"—";"299.0";"100 100 96";"3.0";"Участвуете в конкурсе";"963570";"—"
"19";"2";"Электронное";"299.0";"100 97 96";"6.0";"Участвуете в конкурсе";"1485510";"—"
"20";"1";"—";"299.0";"99 94 100";"6.0";"Участвуете в конкурсе";"1144791";"—"
"21";"2";"—";"299.0";"100 91 100";"8.0";"Участвуете в конкурсе";"1724769";"—"
"22";"6";"—";"298.0";"99 96 100";"3.0";"Участвуете в конкурсе";"1432318";"—"
"23";"2";"—";"298.0";"100 100 89";"9.0";"Участвуете в конкурсе";"1084906";"—"
"24";"2";"—";"298.0";"100 89 100";"9.0";"Участвуете в конкурсе";"1542339";"—"
"25";"2";"—";"298.0";"100 91 98";"9.0";"Участвуете в конкурсе";"1343759";"—"
