"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"2";"—";"301.0";"100 100 91";"10.0";"Участвуете в конкурсе";"1431059";"—"
"2";"3";"—";"291.0";"100 89 100";"2.0";"Участвуете в конкурсе";"1940159";"—"
"3";"5";"—";"277.0";"86 94 94";"3.0";"Участвуете в конкурсе";"2007190";"—"
"4";"2";"—";"266.0";"93 91 72";"10.0";"Участвуете в конкурсе";"1486997";"—"
"5";"1";"—";"264.0";"84 91 84";"5.0";"Участвуете в конкурсе";"1216510";"—"
"6";"2";"—";"262.0";"95 72 95";"—";"Участвуете в конкурсе";"1154155";"—"
"7";"2";"—";"252.0";"84 91 74";"3.0";"Участвуете в конкурсе";"2102957";"—"
"8";"2";"—";"244.0";"95 72 74";"3.0";"Участвуете в конкурсе";"1383450";"—"
"9";"2";"—";"241.0";"88 61 92";"—";"Участвуете в конкурсе";"1265237";"—"
"10";"2";"—";"239.0";"93 72 74";"—";"Участвуете в конкурсе";"1973096";"—"
"11";"2";"—";"237.0";"82 81 74";"—";"Участвуете в конкурсе";"1711493";"—"
"12";"2";"—";"235.0";"84 75 76";"—";"Участвуете в конкурсе";"1157951";"—"
"13";"2";"—";"221.0";"70 70 76";"5.0";"Участвуете в конкурсе";"2301818";"—"
"14";"2";"Электронное";"212.0";"75 67 70";"—";"Участвуете в конкурсе";"1247886";"—"
