"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"4";"Электронное";"52.0";"0";"—";"Участвуете в конкурсе";"1024062";"—"
"2";"3";"—";"214.0";"74 79 61";"—";"Участвуете в конкурсе";"2140847";"—"
"3";"1";"—";"296.0";"99 97 97";"3.0";"Участвуете в конкурсе";"1171803";"—"
"4";"2";"—";"288.0";"100 83 99";"6.0";"Участвуете в конкурсе";"1323055";"—"
"5";"2";"Электронное";"286.0";"100 91 92";"3.0";"Участвуете в конкурсе";"1167951";"—"
"6";"2";"—";"283.0";"100 81 92";"10.0";"Участвуете в конкурсе";"1238278";"—"
"7";"2";"Электронное";"282.0";"100 89 90";"3.0";"Участвуете в конкурсе";"1349604";"—"
"8";"2";"—";"277.0";"99 83 90";"5.0";"Участвуете в конкурсе";"1386062";"—"
"9";"2";"—";"275.0";"91 97 84";"3.0";"Участвуете в конкурсе";"1382849";"—"
"10";"2";"—";"265.0";"97 86 82";"—";"Участвуете в конкурсе";"959552";"—"
"11";"2";"—";"265.0";"93 89 78";"5.0";"Участвуете в конкурсе";"1285589";"—"
"12";"2";"Электронное";"262.0";"95 81 86";"—";"Участвуете в конкурсе";"1716966";"—"
"13";"2";"—";"261.0";"97 81 80";"3.0";"Участвуете в конкурсе";"2133587";"—"
"14";"2";"—";"259.0";"99 72 88";"—";"Участвуете в конкурсе";"1346906";"—"
"15";"1";"—";"255.0";"95 78 82";"—";"Участвуете в конкурсе";"1048637";"—"
"16";"2";"—";"253.0";"93 86 74";"—";"Участвуете в конкурсе";"2242614";"—"
"17";"1";"—";"251.0";"95 70 86";"—";"Участвуете в конкурсе";"1471135";"—"
"18";"1";"—";"250.0";"91 81 78";"—";"Участвуете в конкурсе";"1283273";"—"
"19";"2";"—";"247.0";"88 81 78";"—";"Участвуете в конкурсе";"1422348";"—"
"20";"3";"—";"242.0";"77 81 84";"—";"Участвуете в конкурсе";"1255717";"—"
"21";"3";"—";"242.0";"71 74 94";"3.0";"Участвуете в конкурсе";"1575944";"—"
"22";"2";"—";"241.0";"90 67 82";"2.0";"Участвуете в конкурсе";"955905";"—"
"23";"2";"—";"240.0";"95 75 70";"—";"Участвуете в конкурсе";"1898501";"—"
"24";"1";"—";"232.0";"84 63 82";"3.0";"Участвуете в конкурсе";"1289746";"—"
"25";"1";"—";"225.0";"74 75 76";"—";"Участвуете в конкурсе";"1507711";"—"
