"Порядковый номер";"Приоритет конкурса";"Наличие договора";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"6";"Электронное";"301.0";"98 100 100";"3.0";"Участвуете в конкурсе";"1707339";"—"
"2";"3";"Электронное";"292.0";"95 94 100";"3.0";"Участвуете в конкурсе";"1383312";"—"
"3";"2";"—";"287.0";"93 86 98";"10.0";"Участвуете в конкурсе";"1577464";"—"
"4";"5";"Электронное";"286.0";"93 89 99";"5.0";"Участвуете в конкурсе";"2199628";"—"
"5";"4";"—";"284.0";"96 91 92";"5.0";"Участвуете в конкурсе";"1177429";"—"
"6";"5";"Электронное";"282.0";"90 91 96";"5.0";"Участвуете в конкурсе";"1515540";"—"
"7";"2";"Электронное";"279.0";"94 89 86";"10.0";"Участвуете в конкурсе";"1620910";"—"
"8";"4";"—";"276.0";"86 91 94";"5.0";"Участвуете в конкурсе";"1655063";"—"
"9";"4";"—";"273.0";"90 86 94";"3.0";"Участвуете в конкурсе";"1287390";"—"
"10";"2";"Электронное";"272.0";"94 97 81";"—";"Участвуете в конкурсе";"1198072";"—"
"11";"5";"—";"270.0";"96 89 80";"5.0";"Участвуете в конкурсе";"1039537";"—"
"12";"6";"—";"270.0";"92 78 95";"5.0";"Участвуете в конкурсе";"1408422";"—"
"13";"6";"Электронное";"267.0";"92 75 100";"—";"Участвуете в конкурсе";"1358900";"—"
"14";"3";"—";"267.0";"93 89 82";"3.0";"Участвуете в конкурсе";"1340722";"—"
"15";"4";"—";"264.0";"95 89 80";"—";"Участвуете в конкурсе";"1177122";"—"
"16";"3";"—";"263.0";"100 75 88";"—";"Участвуете в конкурсе";"1169602";"—"
"17";"5";"—";"261.0";"88 94 76";"3.0";"Участвуете в конкурсе";"1617610";"—"
"18";"7";"—";"260.0";"88 83 86";"3.0";"Участвуете в конкурсе";"1988929";"—"
"19";"4";"—";"259.0";"85 78 96";"—";"Участвуете в конкурсе";"1424003";"—"
"20";"5";"—";"259.0";"88 78 90";"3.0";"Участвуете в конкурсе";"1441421";"—"
"21";"4";"—";"259.0";"70 94 92";"3.0";"Участвуете в конкурсе";"1819337";"—"
"22";"5";"Электронное";"257.0";"85 78 94";"—";"Участвуете в конкурсе";"2099907";"—"
"23";"3";"—";"257.0";"96 70 88";"3.0";"Участвуете в конкурсе";"1424652";"—"
"24";"5";"—";"257.0";"85 89 80";"3.0";"Участвуете в конкурсе";"1622566";"—"
"25";"2";"Электронное";"256.0";"77 89 80";"10.0";"Участвуете в конкурсе";"2312078";"—"
"26";"5";"—";"255.0";"90 72 90";"3.0";"Участвуете в конкурсе";"1267837";"—"
"27";"5";"—";"253.0";"72 79 92";"10.0";"Участвуете в конкурсе";"977382";"—"
"28";"4";"Электронное";"252.0";"83 78 88";"3.0";"Участвуете в конкурсе";"1616589";"—"
"29";"2";"—";"251.0";"88 69 92";"2.0";"Участвуете в конкурсе";"1258505";"—"
"30";"2";"Электронное";"250.0";"88 69 90";"3.0";"Участвуете в конкурсе";"1284721";"—"
"31";"11";"Электронное";"249.0";"88 75 86";"—";"Участвуете в конкурсе";"1496424";"—"
"32";"3";"—";"247.0";"80 78 86";"3.0";"Участвуете в конкурсе";"2004761";"—"
"33";"3";"—";"247.0";"90 70 82";"5.0";"Участвуете в конкурсе";"1614743";"—"
"34";"4";"Электронное";"246.0";"83 83 78";"2.0";"Участвуете в конкурсе";"2052895";"—"
"35";"4";"Электронное";"246.0";"80 83 80";"3.0";"Участвуете в конкурсе";"1822084";"—"
"36";"4";"—";"246.0";"84 73 82";"7.0";"Участвуете в конкурсе";"1507020";"—"
"37";"5";"—";"244.0";"88 72 84";"—";"Участвуете в конкурсе";"2259888";"—"
"38";"4";"—";"242.0";"92 70 80";"—";"Участвуете в конкурсе";"2098927";"—"
"39";"3";"—";"242.0";"67 86 84";"5.0";"Участвуете в конкурсе";"1175071";"—"
"40";"3";"—";"233.0";"74 78 78";"3.0";"Участвуете в конкурсе";"1605318";"—"
"41";"4";"—";"232.0";"73 86 70";"3.0";"Участвуете в конкурсе";"1445241";"—"
"42";"4";"—";"224.0";"70 70 84";"—";"Участвуете в конкурсе";"1076573";"—"
"43";"5";"—";"221.0";"79 64 78";"—";"Участвуете в конкурсе";"1216311";"—"
"44";"5";"—";"216.0";"67 73 76";"—";"Участвуете в конкурсе";"983939";"—"
"45";"6";"—";"215.0";"75 66 74";"—";"Участвуете в конкурсе";"1070293";"—"
"46";"3";"—";"214.0";"73 63 78";"—";"Участвуете в конкурсе";"1074618";"—"
