"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"1";"Электронное";"193.0";"100";"10.0";"Участвуете в конкурсе";"1651205";"—"
"2";"1";"Электронное";"266.0";"80 78 98";"10.0";"Участвуете в конкурсе";"1598200";"—"
"3";"1";"Электронное";"296.0";"100 86 100";"10.0";"Участвуете в конкурсе";"1214137";"—"
"4";"1";"Электронное";"291.0";"93 89 100";"9.0";"Участвуете в конкурсе";"1497655";"—"
"5";"1";"Электронное";"192.0";"100";"9.0";"Участвуете в конкурсе";"1251212";"—"
"6";"1";"Электронное";"253.0";"78 67 100";"8.0";"Участвуете в конкурсе";"1242980";"—"
"7";"1";"Электронное";"289.0";"90 97 96";"6.0";"Участвуете в конкурсе";"1622505";"—"
"8";"1";"Электронное";"152.0";"80";"3.0";"Участвуете в конкурсе";"2097229";"—"
"9";"1";"Электронное";"243.0";"80 69 94";"—";"Участвуете в конкурсе";"2229229";"—"
"10";"1";"Электронное";"268.0";"90 69 99";"10.0";"Участвуете в конкурсе";"1877025";"—"
"11";"1";"Электронное";"299.0";"100 89 100";"10.0";"Участвуете в конкурсе";"1493442";"—"
"12";"1";"Электронное";"167.0";"100";"6.0";"Участвуете в конкурсе";"1195962";"—"
"13";"1";"Электронное";"70.0";"—";"—";"Участвуете в конкурсе";"2213625";"—"
"14";"1";"Электронное";"309.0";"100 100 99";"10.0";"Участвуете в конкурсе";"2046351";"—"
"15";"1";"Электронное";"257.0";"88 78 88";"3.0";"Участвуете в конкурсе";"1286350";"—"
"16";"1";"Электронное";"256.0";"85 72 96";"3.0";"Участвуете в конкурсе";"1728122";"—"
"17";"1";"Электронное";"241.0";"88 72 78";"3.0";"Участвуете в конкурсе";"2185028";"—"
"18";"3";"—";"310.0";"100 100 100";"10.0";"Участвуете в конкурсе";"1571010";"—"
"19";"1";"Электронное";"310.0";"100 100 100";"10.0";"Участвуете в конкурсе";"1692161";"—"
"20";"1";"Электронное";"310.0";"100 100 100";"10.0";"Участвуете в конкурсе";"1977314";"—"
"21";"3";"Электронное";"310.0";"100 100 100";"10.0";"Участвуете в конкурсе";"1556945";"—"
"22";"1";"—";"310.0";"100 100 100";"10.0";"Участвуете в конкурсе";"1518346";"—"
"23";"2";"—";"310.0";"100 100 100";"10.0";"Участвуете в конкурсе";"2001574";"—"
"24";"5";"—";"309.0";"100 100 100";"9.0";"Участвуете в конкурсе";"1479694";"—"
"25";"1";"Электронное";"309.0";"100 100 100";"9.0";"Участвуете в конкурсе";"1438698";"—"
"26";"1";"—";"309.0";"100 100 100";"9.0";"Участвуете в конкурсе";"1260271";"—"
"27";"2";"Электронное";"308.0";"100 100 99";"9.0";"Участвуете в конкурсе";"1795081";"—"
"28";"2";"Электронное";"307.0";"100 97 100";"10.0";"Участвуете в конкурсе";"1439437";"—"
"29";"2";"Электронное";"307.0";"100 97 100";"10.0";"Участвуете в конкурсе";"1331203";"—"
"30";"2";"—";"307.0";"100 97 100";"10.0";"Участвуете в конкурсе";"944310";"—"
"31";"1";"—";"307.0";"100 97 100";"10.0";"Участвуете в конкурсе";"952408";"—"
"32";"3";"—";"307.0";"98 100 99";"10.0";"Участвуете в конкурсе";"1409321";"—"
"33";"3";"Электронное";"306.0";"100 97 100";"9.0";"Участвуете в конкурсе";"1382955";"—"
"34";"1";"—";"306.0";"100 100 97";"9.0";"Участвуете в конкурсе";"1272610";"—"
"35";"2";"Электронное";"305.0";"100 100 100";"5.0";"Участвуете в конкурсе";"2199115";"—"
"36";"2";"—";"305.0";"100 100 100";"5.0";"Участвуете в конкурсе";"1760435";"—"
