"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"4";"Электронное";"297.0";"96 100 98";"3.0";"Участвуете в конкурсе";"1398037";"—"
"2";"6";"Электронное";"297.0";"93 100 99";"5.0";"Участвуете в конкурсе";"1546948";"—"
"3";"2";"Электронное";"295.0";"98 95 97";"5.0";"Участвуете в конкурсе";"1180789";"—"
"4";"5";"—";"292.0";"95 97 100";"—";"Участвуете в конкурсе";"965946";"—"
"5";"2";"Электронное";"292.0";"100 100 90";"2.0";"Участвуете в конкурсе";"1605559";"—"
"6";"8";"Электронное";"291.0";"96 94 96";"5.0";"Участвуете в конкурсе";"1258501";"—"
"7";"4";"—";"289.0";"100 97 92";"—";"Участвуете в конкурсе";"2054741";"—"
"8";"3";"—";"289.0";"92 100 94";"3.0";"Участвуете в конкурсе";"1878602";"—"
"9";"1";"Электронное";"288.0";"94 94 95";"5.0";"Участвуете в конкурсе";"1996895";"—"
"10";"4";"—";"288.0";"98 94 86";"10.0";"Участвуете в конкурсе";"1247574";"—"
"11";"6";"—";"286.0";"96 97 90";"3.0";"Участвуете в конкурсе";"1417737";"—"
"12";"7";"Электронное";"285.0";"88 97 100";"—";"Участвуете в конкурсе";"1105868";"—"
"13";"1";"Электронное";"285.0";"96 98 91";"—";"Участвуете в конкурсе";"1787930";"—"
"14";"4";"Электронное";"285.0";"98 97 90";"—";"Участвуете в конкурсе";"1484523";"—"
"15";"3";"Электронное";"284.0";"95 89 97";"3.0";"Участвуете в конкурсе";"996389";"—"
"16";"2";"—";"284.0";"90 97 94";"3.0";"Участвуете в конкурсе";"1643253";"—"
"17";"3";"—";"284.0";"95 94 90";"5.0";"Участвуете в конкурсе";"1937057";"—"
"18";"2";"Электронное";"283.0";"90 91 99";"3.0";"Участвуете в конкурсе";"1625417";"—"
"19";"3";"Электронное";"283.0";"95 91 94";"3.0";"Участвуете в конкурсе";"1484704";"—"
"20";"7";"Электронное";"283.0";"90 100 88";"5.0";"Участвуете в конкурсе";"1787661";"—"
"21";"2";"Электронное";"283.0";"94 91 90";"8.0";"Участвуете в конкурсе";"1351180";"—"
"22";"1";"—";"282.0";"94 91 94";"3.0";"Участвуете в конкурсе";"1220645";"—"
"23";"8";"Электронное";"282.0";"98 97 84";"3.0";"Участвуете в конкурсе";"1568262";"—"
"24";"5";"Электронное";"282.0";"98 89 90";"5.0";"Участвуете в конкурсе";"1193910";"—"
"25";"2";"Электронное";"281.0";"91 90 100";"—";"Участвуете в конкурсе";"1366281";"—"
"26";"3";"—";"280.0";"92 97 88";"3.0";"Участвуете в конкурсе";"1052531";"—"
"27";"3";"Электронное";"280.0";"88 94 90";"8.0";"Участвуете в конкурсе";"2085405";"—"
"28";"5";"Электронное";"280.0";"88 86 96";"10.0";"Участвуете в конкурсе";"1285047";"—"
"29";"3";"Электронное";"279.0";"94 94 88";"3.0";"Участвуете в конкурсе";"1509273";"—"
"30";"2";"Электронное";"279.0";"92 94 88";"5.0";"Участвуете в конкурсе";"1342918";"—"
"31";"4";"Электронное";"278.0";"93 86 97";"2.0";"Участвуете в конкурсе";"1181705";"—"
"32";"2";"Электронное";"278.0";"98 86 92";"2.0";"Участвуете в конкурсе";"1474799";"—"
"33";"1";"Электронное";"278.0";"92 89 94";"3.0";"Участвуете в конкурсе";"1647744";"—"
"34";"3";"—";"276.0";"92 89 95";"—";"Участвуете в конкурсе";"1723586";"—"
"35";"1";"Электронное";"276.0";"95 89 92";"—";"Участвуете в конкурсе";"1647810";"—"
"36";"3";"—";"275.0";"95 81 99";"—";"Участвуете в конкурсе";"1256879";"—"
"37";"8";"Электронное";"275.0";"91 94 90";"—";"Участвуете в конкурсе";"980836";"—"
"38";"2";"—";"275.0";"90 97 86";"2.0";"Участвуете в конкурсе";"1522774";"—"
"39";"5";"—";"275.0";"93 78 96";"8.0";"Участвуете в конкурсе";"1178497";"—"
"40";"3";"Электронное";"274.0";"88 86 100";"—";"Участвуете в конкурсе";"1852639";"—"
"41";"2";"—";"274.0";"88 100 86";"—";"Участвуете в конкурсе";"1956146";"—"
"42";"3";"Электронное";"274.0";"100 91 78";"5.0";"Участвуете в конкурсе";"2340873";"—"
"43";"1";"Электронное";"273.0";"100 83 80";"10.0";"Участвуете в конкурсе";"1029395";"—"
"44";"4";"—";"272.0";"92 97 80";"3.0";"Участвуете в конкурсе";"1316111";"—"
"45";"6";"Электронное";"271.0";"88 86 97";"—";"Участвуете в конкурсе";"1979523";"—"
"46";"8";"—";"271.0";"88 86 90";"7.0";"Участвуете в конкурсе";"1263764";"—"
"47";"1";"Электронное";"270.0";"98 78 94";"—";"Участвуете в конкурсе";"962846";"—"
"48";"4";"Электронное";"270.0";"95 86 86";"3.0";"Участвуете в конкурсе";"1181094";"—"
"49";"1";"—";"270.0";"90 91 86";"3.0";"Участвуете в конкурсе";"1954761";"—"
"50";"2";"Электронное";"270.0";"90 97 80";"3.0";"Участвуете в конкурсе";"1081230";"—"
"51";"4";"Электронное";"269.0";"98 91 80";"—";"Участвуете в конкурсе";"1182896";"—"
"52";"4";"Электронное";"269.0";"94 83 90";"2.0";"Участвуете в конкурсе";"1785679";"—"
"53";"1";"Электронное";"269.0";"88 100 78";"3.0";"Участвуете в конкурсе";"1350982";"—"
"54";"5";"Электронное";"269.0";"79 95 90";"5.0";"Участвуете в конкурсе";"1002309";"—"
"55";"3";"—";"268.0";"88 89 88";"3.0";"Участвуете в конкурсе";"1799046";"—"
"56";"5";"Электронное";"268.0";"90 94 81";"3.0";"Участвуете в конкурсе";"1797371";"—"
"57";"3";"Электронное";"267.0";"90 89 88";"—";"Участвуете в конкурсе";"1720926";"—"
"58";"4";"—";"267.0";"90 94 78";"5.0";"Участвуете в конкурсе";"1372933";"—"
"59";"3";"Электронное";"266.0";"90 91 82";"3.0";"Участвуете в конкурсе";"1440887";"—"
"60";"6";"—";"266.0";"92 97 74";"3.0";"Участвуете в конкурсе";"2037324";"—"
"61";"2";"Электронное";"266.0";"83 89 88";"6.0";"Участвуете в конкурсе";"1366729";"—"
"62";"2";"Электронное";"266.0";"86 89 82";"9.0";"Участвуете в конкурсе";"1322651";"—"
"63";"6";"—";"265.0";"85 91 86";"3.0";"Участвуете в конкурсе";"1350526";"—"
"64";"7";"Электронное";"264.0";"94 94 76";"—";"Участвуете в конкурсе";"2210445";"—"
"65";"5";"Электронное";"264.0";"86 91 84";"3.0";"Участвуете в конкурсе";"1507007";"—"
"66";"5";"Электронное";"263.0";"94 85 81";"3.0";"Участвуете в конкурсе";"1829705";"—"
"67";"1";"—";"262.0";"83 89 90";"—";"Участвуете в конкурсе";"2092708";"—"
"68";"3";"—";"262.0";"92 91 76";"3.0";"Участвуете в конкурсе";"1794561";"—"
"69";"3";"—";"261.0";"95 81 85";"—";"Участвуете в конкурсе";"1207795";"—"
"70";"3";"Электронное";"260.0";"83 91 86";"—";"Участвуете в конкурсе";"2310080";"—"
"71";"4";"Электронное";"260.0";"84 94 82";"—";"Участвуете в конкурсе";"1004512";"—"
"72";"12";"Электронное";"260.0";"86 86 86";"2.0";"Участвуете в конкурсе";"1391209";"—"
"73";"2";"Электронное";"260.0";"84 83 90";"3.0";"Участвуете в конкурсе";"1913227";"—"
"74";"6";"—";"260.0";"80 89 88";"3.0";"Участвуете в конкурсе";"1258604";"—"
"75";"3";"Электронное";"260.0";"80 91 86";"3.0";"Участвуете в конкурсе";"2056118";"—"
"76";"3";"Электронное";"259.0";"81 86 92";"—";"Участвуете в конкурсе";"2315734";"—"
"77";"6";"Электронное";"259.0";"93 75 88";"3.0";"Участвуете в конкурсе";"1203448";"—"
"78";"4";"—";"259.0";"79 91 86";"3.0";"Участвуете в конкурсе";"1760800";"—"
"79";"7";"Электронное";"258.0";"90 89 76";"3.0";"Участвуете в конкурсе";"1434948";"—"
"80";"8";"—";"256.0";"87 78 86";"5.0";"Участвуете в конкурсе";"1104075";"—"
"81";"2";"—";"255.0";"88 83 84";"—";"Участвуете в конкурсе";"2001180";"—"
"82";"3";"—";"255.0";"94 85 76";"—";"Участвуете в конкурсе";"1888671";"—"
"83";"4";"Электронное";"254.0";"75 89 90";"—";"Участвуете в конкурсе";"1105689";"—"
"84";"3";"—";"254.0";"79 75 98";"2.0";"Участвуете в конкурсе";"1418422";"—"
"85";"1";"—";"254.0";"88 86 78";"2.0";"Участвуете в конкурсе";"2151229";"—"
"86";"5";"Электронное";"254.0";"83 91 78";"2.0";"Участвуете в конкурсе";"1634569";"—"
"87";"1";"—";"252.0";"88 86 78";"—";"Участвуете в конкурсе";"2163679";"—"
"88";"7";"—";"252.0";"80 83 86";"3.0";"Участвуете в конкурсе";"2009472";"—"
"89";"1";"Электронное";"251.0";"90 89 72";"—";"Участвуете в конкурсе";"1597595";"—"
"90";"5";"Электронное";"251.0";"88 89 72";"2.0";"Участвуете в конкурсе";"1250244";"—"
"91";"3";"—";"251.0";"92 86 70";"3.0";"Участвуете в конкурсе";"1510286";"—"
"92";"1";"—";"250.0";"85 81 84";"—";"Участвуете в конкурсе";"1985500";"—"
