"Порядковый номер";"Приоритет конкурса";"Наличие договора";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"8";"Электронное";"257.0";"84 83 82";"8.0";"Участвуете в конкурсе";"1594447";"—"
"2";"4";"—";"7.0";"—";"7.0";"Участвуете в конкурсе";"1492403";"—"
"3";"2";"—";"258.0";"85 75 92";"6.0";"Участвуете в конкурсе";"1413069";"—"
"4";"2";"—";"249.0";"72 83 88";"6.0";"Участвуете в конкурсе";"1195493";"—"
"5";"5";"Электронное";"272.0";"88 97 82";"5.0";"Участвуете в конкурсе";"2160780";"—"
"6";"4";"Электронное";"292.0";"96 94 97";"5.0";"Участвуете в конкурсе";"1545900";"—"
"7";"5";"—";"284.0";"88 94 97";"5.0";"Участвуете в конкурсе";"1390345";"—"
"8";"5";"—";"271.0";"86 94 86";"5.0";"Участвуете в конкурсе";"1896340";"—"
"9";"3";"Электронное";"272.0";"88 89 90";"5.0";"Участвуете в конкурсе";"1433847";"—"
"10";"2";"—";"250.0";"78 89 78";"5.0";"Участвуете в конкурсе";"1336675";"—"
"11";"17";"—";"233.0";"59 81 88";"5.0";"Участвуете в конкурсе";"1996573";"—"
"12";"1";"—";"261.0";"88 78 90";"5.0";"Участвуете в конкурсе";"1206933";"—"
"13";"3";"Электронное";"252.0";"90 73 84";"5.0";"Участвуете в конкурсе";"1548572";"—"
"14";"2";"Электронное";"242.0";"72 91 74";"5.0";"Участвуете в конкурсе";"2193744";"—"
"15";"4";"Электронное";"224.0";"75 72 72";"5.0";"Участвуете в конкурсе";"2266431";"—"
"16";"2";"Электронное";"252.0";"88 73 86";"5.0";"Участвуете в конкурсе";"1624680";"—"
"17";"5";"—";"279.0";"85 97 92";"5.0";"Участвуете в конкурсе";"1572915";"—"
"18";"6";"—";"296.0";"98 100 95";"3.0";"Участвуете в конкурсе";"1432042";"—"
"19";"1";"Электронное";"293.0";"100 91 99";"3.0";"Участвуете в конкурсе";"2216984";"—"
"20";"3";"—";"256.0";"88 91 74";"3.0";"Участвуете в конкурсе";"1257623";"—"
"21";"4";"Электронное";"274.0";"85 89 97";"3.0";"Участвуете в конкурсе";"1468700";"—"
"22";"4";"Электронное";"272.0";"88 89 92";"3.0";"Участвуете в конкурсе";"1413547";"—"
"23";"3";"—";"278.0";"98 89 88";"3.0";"Участвуете в конкурсе";"1436400";"—"
"24";"1";"Электронное";"245.0";"81 89 72";"3.0";"Участвуете в конкурсе";"2162224";"—"
"25";"5";"—";"262.0";"81 83 95";"3.0";"Участвуете в конкурсе";"1978961";"—"
"26";"3";"Электронное";"252.0";"86 83 80";"3.0";"Участвуете в конкурсе";"1651033";"—"
"27";"15";"Электронное";"240.0";"78 83 76";"3.0";"Участвуете в конкурсе";"1641921";"—"
"28";"3";"Электронное";"232.0";"70 83 76";"3.0";"Участвуете в конкурсе";"1346948";"—"
"29";"8";"Электронное";"260.0";"86 81 90";"3.0";"Участвуете в конкурсе";"1622315";"—"
"30";"1";"Электронное";"254.0";"80 81 90";"3.0";"Участвуете в конкурсе";"1702133";"—"
"31";"2";"Электронное";"245.0";"85 79 78";"3.0";"Участвуете в конкурсе";"1345688";"—"
"32";"5";"—";"150.0";"40 76 31";"3.0";"Участвуете в конкурсе";"1859015";"—"
"33";"5";"Электронное";"238.0";"72 75 88";"3.0";"Участвуете в конкурсе";"1189152";"—"
"34";"3";"Электронное";"247.0";"85 75 84";"3.0";"Участвуете в конкурсе";"1995812";"—"
"35";"9";"Электронное";"230.0";"68 75 84";"3.0";"Участвуете в конкурсе";"1435691";"—"
"36";"2";"Электронное";"204.0";"62 75 64";"3.0";"Участвуете в конкурсе";"1757183";"—"
"37";"3";"Электронное";"234.0";"64 73 94";"3.0";"Участвуете в конкурсе";"1826490";"—"
"38";"3";"Электронное";"85.0";"0 60 22";"3.0";"Участвуете в конкурсе";"978839";"—"
"39";"2";"Электронное";"3.0";"—";"3.0";"Участвуете в конкурсе";"1759033";"—"
"40";"3";"—";"3.0";"0";"3.0";"Участвуете в конкурсе";"1377781";"—"
"41";"1";"—";"3.0";"—";"3.0";"Участвуете в конкурсе";"1501978";"—"
"42";"3";"—";"3.0";"0";"3.0";"Участвуете в конкурсе";"1599581";"—"
"43";"5";"—";"3.0";"0";"3.0";"Участвуете в конкурсе";"1712153";"—"
