"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"1";"—";"295.0";"98 100 94";"3.0";"Участвуете в конкурсе";"997782";"—"
"2";"11";"Электронное";"288.0";"95 91 100";"2.0";"Участвуете в конкурсе";"1205382";"—"
"3";"2";"—";"277.0";"83 100 94";"—";"Участвуете в конкурсе";"1557687";"—"
"4";"1";"—";"273.0";"100 81 84";"8.0";"Участвуете в конкурсе";"1670041";"—"
"5";"1";"—";"270.0";"85 89 96";"—";"Участвуете в конкурсе";"1725846";"—"
"6";"1";"—";"268.0";"92 91 80";"5.0";"Участвуете в конкурсе";"1484223";"—"
"7";"8";"Электронное";"261.0";"85 86 85";"5.0";"Участвуете в конкурсе";"1205159";"—"
"8";"1";"Электронное";"260.0";"86 83 88";"3.0";"Участвуете в конкурсе";"1356607";"—"
"9";"1";"—";"253.0";"81 86 84";"2.0";"Участвуете в конкурсе";"1775469";"—"
"10";"1";"Электронное";"252.0";"80 88 82";"2.0";"Участвуете в конкурсе";"1107835";"—"
"11";"1";"—";"247.0";"70 75 100";"2.0";"Участвуете в конкурсе";"1429886";"—"
"12";"2";"—";"243.0";"77 86 78";"2.0";"Участвуете в конкурсе";"1349316";"—"
"13";"1";"—";"239.0";"91 76 72";"—";"Участвуете в конкурсе";"1609371";"—"
"14";"1";"Электронное";"238.0";"75 78 80";"5.0";"Участвуете в конкурсе";"1995910";"—"
"15";"8";"—";"232.0";"80 66 86";"—";"Участвуете в конкурсе";"2365659";"—"
"16";"1";"Электронное";"226.0";"75 78 70";"3.0";"Участвуете в конкурсе";"1035808";"—"
"17";"1";"—";"226.0";"67 73 78";"8.0";"Участвуете в конкурсе";"1907645";"—"
"18";"1";"Электронное";"225.0";"72 78 70";"5.0";"Участвуете в конкурсе";"1650635";"—"
"19";"1";"—";"222.0";"67 83 70";"2.0";"Участвуете в конкурсе";"2269343";"—"
"20";"3";"—";"217.0";"75 72 70";"—";"Участвуете в конкурсе";"986551";"—"
