"Порядковый номер";"Приоритет конкурса";"Наличие договора";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"7";"—";"286.0";"94 83 99";"10.0";"Участвуете в конкурсе";"1565256";"—"
"2";"7";"Электронное";"257.0";"84 83 82";"8.0";"Участвуете в конкурсе";"1594447";"—"
"3";"11";"—";"182.0";"86";"5.0";"Участвуете в конкурсе";"1931957";"—"
"4";"8";"—";"250.0";"78 89 78";"5.0";"Участвуете в конкурсе";"1336675";"—"
"5";"7";"—";"279.0";"85 97 92";"5.0";"Участвуете в конкурсе";"1572915";"—"
"6";"5";"—";"256.0";"88 91 74";"3.0";"Участвуете в конкурсе";"1257623";"—"
"7";"2";"Электронное";"245.0";"81 89 72";"3.0";"Участвуете в конкурсе";"2162224";"—"
"8";"6";"—";"262.0";"81 83 95";"3.0";"Участвуете в конкурсе";"1978961";"—"
"9";"14";"Электронное";"240.0";"78 83 76";"3.0";"Участвуете в конкурсе";"1641921";"—"
"10";"7";"Электронное";"230.0";"68 75 84";"3.0";"Участвуете в конкурсе";"1435691";"—"
"11";"6";"Электронное";"234.0";"64 73 94";"3.0";"Участвуете в конкурсе";"1826490";"—"
"12";"3";"Электронное";"3.0";"—";"3.0";"Участвуете в конкурсе";"1759033";"—"
"13";"1";"—";"3.0";"0";"3.0";"Участвуете в конкурсе";"1377781";"—"
"14";"4";"—";"3.0";"—";"3.0";"Участвуете в конкурсе";"1501978";"—"
"15";"7";"—";"3.0";"0";"3.0";"Участвуете в конкурсе";"975235";"—"
"16";"1";"—";"3.0";"0";"3.0";"Участвуете в конкурсе";"1712153";"—"
"17";"4";"—";"252.0";"88 87 74";"3.0";"Участвуете в конкурсе";"1400612";"—"
"18";"1";"—";"196.0";"53 66 74";"3.0";"Участвуете в конкурсе";"1435777";"—"
"19";"5";"—";"177.0";"56 49 70";"2.0";"Участвуете в конкурсе";"1606683";"—"
"20";"11";"—";"182.0";"71 57 52";"2.0";"Участвуете в конкурсе";"1640968";"—"
"21";"15";"—";"151.0";"49 48 52";"2.0";"Участвуете в конкурсе";"1686422";"—"
"22";"4";"—";"218.0";"64 78 74";"2.0";"Участвуете в конкурсе";"1567113";"—"
"23";"13";"—";"224.0";"71 73 78";"2.0";"Участвуете в конкурсе";"1603207";"—"
"24";"12";"—";"246.0";"80 86 78";"2.0";"Участвуете в конкурсе";"1790272";"—"
"25";"9";"Электронное";"238.0";"73 69 94";"2.0";"Участвуете в конкурсе";"1024023";"—"
"26";"14";"—";"225.0";"75 78 70";"2.0";"Участвуете в конкурсе";"1955620";"—"
"27";"11";"Электронное";"168.0";"62 64 40";"2.0";"Участвуете в конкурсе";"1069406";"—"
"28";"3";"Электронное";"207.0";"70 63 72";"2.0";"Участвуете в конкурсе";"2048632";"—"
"29";"8";"—";"124.0";"58";"2.0";"Участвуете в конкурсе";"1624673";"—"
"30";"5";"—";"192.0";"66 60 64";"2.0";"Участвуете в конкурсе";"2178901";"—"
"31";"5";"—";"228.0";"75 75 76";"2.0";"Участвуете в конкурсе";"1792947";"—"
"32";"12";"—";"207.0";"62 73 72";"—";"Участвуете в конкурсе";"1351423";"—"
"33";"15";"—";"223.0";"79 72 72";"—";"Участвуете в конкурсе";"1213941";"—"
"34";"12";"Электронное";"154.0";"66 48 40";"—";"Участвуете в конкурсе";"1388627";"—"
"35";"2";"Электронное";"176.0";"88 88 0";"—";"Участвуете в конкурсе";"1379432";"—"
"36";"3";"Электронное";"133.0";"63 70 0";"—";"Участвуете в конкурсе";"1092026";"—"
"37";"8";"Электронное";"241.0";"78 83 80";"—";"Участвуете в конкурсе";"1180128";"—"
"38";"8";"Электронное";"227.0";"78 75 74";"—";"Участвуете в конкурсе";"1618174";"—"
"39";"10";"—";"228.0";"70 86 72";"—";"Участвуете в конкурсе";"1955910";"—"
"40";"8";"—";"251.0";"77 94 80";"—";"Участвуете в конкурсе";"1217907";"—"
"41";"11";"—";"204.0";"55 73 76";"—";"Участвуете в конкурсе";"1171365";"—"
"42";"13";"—";"195.0";"68 81 46";"—";"Участвуете в конкурсе";"2268631";"—"
"43";"3";"Электронное";"120.0";"60";"—";"Участвуете в конкурсе";"2136003";"—"
"44";"10";"—";"235.0";"75 86 74";"—";"Участвуете в конкурсе";"1077696";"—"
"45";"7";"—";"241.0";"94 75 72";"—";"Участвуете в конкурсе";"1243199";"—"
"46";"6";"Электронное";"228.0";"80 80 68";"—";"Участвуете в конкурсе";"1784609";"—"
"47";"2";"—";"57.0";"—";"—";"Участвуете в конкурсе";"1043536";"—"
