"Порядковый номер";"Приоритет конкурса";"Наличие договора";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"4";"—";"298.0";"98 100 97";"3.0";"Участвуете в конкурсе";"1241514";"—"
"2";"5";"Электронное";"298.0";"98 98 99";"3.0";"Участвуете в конкурсе";"1505150";"—"
"3";"1";"—";"293.0";"96 97 97";"3.0";"Участвуете в конкурсе";"1624893";"—"
"4";"3";"Электронное";"290.0";"90 100 97";"3.0";"Участвуете в конкурсе";"1081230";"—"
"5";"2";"—";"290.0";"96 95 94";"5.0";"Участвуете в конкурсе";"1587286";"—"
"6";"6";"Электронное";"289.0";"94 98 97";"—";"Участвуете в конкурсе";"1398792";"—"
"7";"1";"Электронное";"289.0";"92 99 95";"3.0";"Участвуете в конкурсе";"1585963";"—"
"8";"1";"—";"287.0";"98 97 89";"3.0";"Участвуете в конкурсе";"1597402";"—"
"9";"6";"Электронное";"285.0";"84 98 100";"3.0";"Участвуете в конкурсе";"1292600";"—"
"10";"3";"Электронное";"285.0";"96 86 100";"3.0";"Участвуете в конкурсе";"1398037";"—"
"11";"1";"—";"285.0";"96 90 94";"5.0";"Участвуете в конкурсе";"2044571";"—"
"12";"1";"—";"284.0";"90 100 91";"3.0";"Участвуете в конкурсе";"1425355";"—"
"13";"5";"Электронное";"284.0";"98 93 83";"10.0";"Участвуете в конкурсе";"1655889";"—"
"14";"6";"Электронное";"282.0";"92 96 89";"5.0";"Участвуете в конкурсе";"2044271";"—"
"15";"3";"—";"281.0";"96 91 94";"—";"Участвуете в конкурсе";"1060232";"—"
"16";"9";"Электронное";"279.0";"94 86 94";"5.0";"Участвуете в конкурсе";"1996895";"—"
"17";"1";"—";"277.0";"92 91 94";"—";"Участвуете в конкурсе";"1101027";"—"
"18";"1";"—";"277.0";"90 91 94";"2.0";"Участвуете в конкурсе";"1464802";"—"
"19";"1";"—";"275.0";"90 91 86";"8.0";"Участвуете в конкурсе";"1163812";"—"
"20";"1";"—";"273.0";"86 87 97";"3.0";"Участвуете в конкурсе";"1202203";"—"
"21";"2";"—";"271.0";"88 89 94";"—";"Участвуете в конкурсе";"2130417";"—"
"22";"2";"—";"269.0";"85 93 89";"2.0";"Участвуете в конкурсе";"1105226";"—"
"23";"3";"Электронное";"269.0";"79 93 94";"3.0";"Участвуете в конкурсе";"1290663";"—"
"24";"1";"—";"266.0";"90 85 91";"—";"Участвуете в конкурсе";"1248660";"—"
"25";"1";"—";"266.0";"88 100 75";"3.0";"Участвуете в конкурсе";"1840581";"—"
"26";"1";"—";"265.0";"86 87 89";"3.0";"Участвуете в конкурсе";"2224638";"—"
"27";"9";"—";"264.0";"84 88 89";"3.0";"Участвуете в конкурсе";"1799046";"—"
"28";"5";"—";"262.0";"88 80 91";"3.0";"Участвуете в конкурсе";"1837468";"—"
"29";"4";"—";"261.0";"84 81 91";"5.0";"Участвуете в конкурсе";"1290554";"—"
"30";"5";"Электронное";"260.0";"92 93 75";"—";"Участвуете в конкурсе";"1706154";"—"
"31";"1";"—";"259.0";"96 66 97";"—";"Участвуете в конкурсе";"984645";"—"
"32";"5";"Электронное";"259.0";"90 75 91";"3.0";"Участвуете в конкурсе";"1365206";"—"
"33";"1";"—";"258.0";"86 97 75";"—";"Участвуете в конкурсе";"1645258";"—"
"34";"4";"—";"257.0";"86 86 83";"2.0";"Участвуете в конкурсе";"2054797";"—"
"35";"6";"—";"257.0";"90 73 91";"3.0";"Участвуете в конкурсе";"1419361";"—"
"36";"1";"—";"256.0";"92 87 75";"2.0";"Участвуете в конкурсе";"1624832";"—"
"37";"4";"—";"254.0";"79 97 78";"—";"Участвуете в конкурсе";"1660206";"—"
"38";"8";"—";"254.0";"79 79 91";"5.0";"Участвуете в конкурсе";"1728960";"—"
"39";"1";"—";"252.0";"78 85 86";"3.0";"Участвуете в конкурсе";"2181275";"—"
"40";"9";"—";"252.0";"84 91 72";"5.0";"Участвуете в конкурсе";"1490058";"—"
"41";"2";"Электронное";"251.0";"94 79 78";"—";"Участвуете в конкурсе";"970804";"—"
"42";"4";"Электронное";"251.0";"77 86 86";"2.0";"Участвуете в конкурсе";"1391209";"—"
"43";"1";"—";"249.0";"83 91 75";"—";"Участвуете в конкурсе";"1149632";"—"
"44";"4";"—";"249.0";"79 87 78";"5.0";"Участвуете в конкурсе";"1104075";"—"
"45";"1";"—";"248.0";"81 87 75";"5.0";"Участвуете в конкурсе";"1629815";"—"
"46";"2";"Электронное";"247.0";"88 87 70";"2.0";"Участвуете в конкурсе";"1628525";"—"
"47";"2";"—";"244.0";"72 78 94";"—";"Участвуете в конкурсе";"1283753";"—"
"48";"1";"—";"244.0";"75 89 75";"5.0";"Участвуете в конкурсе";"1924032";"—"
