"Порядковый номер";"Приоритет конкурса";"Наличие договора";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"9";"—";"286.0";"98 95 93";"—";"Участвуете в конкурсе";"1911577";"—"
"2";"8";"—";"280.0";"92 92 94";"2.0";"Участвуете в конкурсе";"1362627";"—"
"3";"2";"—";"275.0";"98 85 89";"3.0";"Участвуете в конкурсе";"1482048";"—"
"4";"3";"—";"271.0";"88 83 97";"3.0";"Участвуете в конкурсе";"1332679";"—"
"5";"8";"—";"265.0";"83 93 89";"—";"Участвуете в конкурсе";"2315267";"—"
"6";"9";"—";"262.0";"73 98 86";"5.0";"Участвуете в конкурсе";"967367";"—"
"7";"1";"Электронное";"253.0";"79 77 94";"3.0";"Участвуете в конкурсе";"1180758";"—"
"8";"1";"—";"234.0";"71 82 81";"—";"Участвуете в конкурсе";"1195429";"—"
"9";"1";"—";"234.0";"80 71 83";"—";"Участвуете в конкурсе";"1196038";"—"
"10";"2";"Электронное";"232.0";"77 79 73";"3.0";"Участвуете в конкурсе";"1145125";"—"
"11";"2";"—";"226.0";"67 84 73";"2.0";"Участвуете в конкурсе";"2218309";"—"
"12";"1";"—";"222.0";"74 64 81";"3.0";"Участвуете в конкурсе";"1703109";"—"
"13";"3";"—";"204.0";"70 62 67";"5.0";"Участвуете в конкурсе";"1078268";"—"
"14";"2";"—";"202.0";"74 62 66";"—";"Участвуете в конкурсе";"1442680";"—"
"15";"2";"—";"199.0";"64 63 72";"—";"Участвуете в конкурсе";"1693009";"—"
