"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
1;1;"Электронное";296;"Без вступительных испытаний";10;"Участвуете в конкурсе";2403679;"24.07.2026 в 13:16"
2;1;"Электронное";273;"Без вступительных испытаний";10;"Участвуете в конкурсе";1986791;"11.07.2026 в 21:08"
3;1;"—";226;"Без вступительных испытаний";10;"Конкурсная группа исключена";1579966;"09.07.2026 в 23:26"
4;5;"—";307;"100 100 97";10;"Участвуете в конкурсе";1727373;"19.07.2026 в 18:58"
5;2;"—";307;"100 100 97";10;"Участвуете в конкурсе";2071444;"14.07.2026 в 12:08"
6;2;"Электронное";304;"100 100 94";10;"Участвуете в конкурсе";1182467;"28.06.2026 в 01:48"
7;3;"—";304;"100 100 94";10;"Конкурсная группа исключена";1345404;"21.07.2026 в 15:19"
8;2;"—";303;"100 99 94";10;"Участвуете в конкурсе";1353341;"30.06.2026 в 19:50"
9;4;"—";302;"100 98 94";10;"Участвуете в конкурсе";1165419;"27.06.2026 в 11:48"
10;4;"—";302;"98 100 94";10;"Участвуете в конкурсе";1334788;"30.06.2026 в 15:21"
11;5;"—";301;"98 96 97";10;"Конкурсная группа исключена";1580956;"09.07.2026 в 15:39"
12;4;"—";301;"100 100 91";10;"Участвуете в конкурсе";1723490;"06.07.2026 в 20:28"
13;2;"—";299;"100 92 97";10;"Участвуете в конкурсе";1046128;"15.07.2026 в 10:01"
14;4;"—";299;"95 97 97";10;"Участвуете в конкурсе";1563294;"11.07.2026 в 09:51"
15;5;"—";299;"100 92 97";10;"Участвуете в конкурсе";1729269;"19.07.2026 в 16:10"
16;3;"—";298;"98 96 94";10;"Участвуете в конкурсе";1971822;"21.07.2026 в 22:03"
17;2;"—";298;"94 94 100";10;"Участвуете в конкурсе";2126582;"18.07.2026 в 23:04"
18;2;"—";297;"93 100 94";10;"Участвуете в конкурсе";1180368;"13.07.2026 в 23:37"
19;2;"—";297;"96 97 94";10;"Конкурсная группа исключена";1203484;"14.07.2026 в 20:37"
20;3;"—";297;"98 100 89";10;"Участвуете в конкурсе";1637473;"05.07.2026 в 14:07"
21;4;"—";297;"98 100 89";10;"Участвуете в конкурсе";1653182;"05.07.2026 в 22:16"
22;2;"—";297;"93 100 94";10;"Участвуете в конкурсе";2229267;"17.07.2026 в 23:16"
23;3;"—";297;"98 100 89";10;"Участвуете в конкурсе";2239457;"25.07.2026 в 15:06"
24;4;"—";296;"100 100 86";10;"Конкурсная группа исключена";942233;"13.07.2026 в 14:26"
25;4;"—";295;"93 98 94";10;"Участвуете в конкурсе";1798282;"25.07.2026 в 16:01"
26;3;"—";295;"88 100 97";10;"Участвуете в конкурсе";2248403;"24.07.2026 в 22:16"
27;4;"Электронное";294;"96 100 94";4;"Конкурсная группа исключена";1915669;"10.07.2026 в 00:21"
28;6;"—";294;"100 95 89";10;"Участвуете в конкурсе";1197121;"08.07.2026 в 18:14"
29;4;"—";294;"95 95 94";10;"Участвуете в конкурсе";1212446;"28.06.2026 в 22:11"
30;4;"—";294;"95 98 91";10;"Участвуете в конкурсе";1604005;"19.07.2026 в 18:25"
31;2;"—";294;"98 92 94";10;"Участвуете в конкурсе";1959788;"10.07.2026 в 20:02"
32;1;"—";294;"100 95 89";10;"Участвуете в конкурсе";2237529;"18.07.2026 в 11:23"
33;4;"—";294;"90 94 100";10;"Участвуете в конкурсе";2270910;"23.07.2026 в 12:26"
34;3;"—";294;"93 100 91";10;"Участвуете в конкурсе";2363361;"22.07.2026 в 16:46"
35;8;"Электронное";293;"94 100 89";10;"Участвуете в конкурсе";1123141;"25.06.2026 в 14:40"
36;5;"—";293;"100 94 89";10;"Участвуете в конкурсе";1395772;"16.07.2026 в 14:32"
37;6;"—";293;"100 100 83";10;"Участвуете в конкурсе";1745724;"08.07.2026 в 13:29"
38;5;"—";293;"88 95 100";10;"Участвуете в конкурсе";1887975;"20.07.2026 в 19:57"
39;5;"—";293;"98 88 97";10;"Участвуете в конкурсе";1925481;"10.07.2026 в 11:16"
40;7;"—";292;"96 100 96";0;"Участвуете в конкурсе";1883301;"09.07.2026 в 13:03"
41;5;"Электронное";292;"92 100 100";0;"Участвуете в конкурсе";1955666;"16.07.2026 в 20:55"
42;6;"—";292;"92 96 94";10;"Участвуете в конкурсе";1323249;"10.07.2026 в 18:28"
43;4;"—";292;"90 95 97";10;"Участвуете в конкурсе";1646291;"20.07.2026 в 18:38"
44;2;"—";292;"98 95 89";10;"Участвуете в конкурсе";1956402;"10.07.2026 в 17:59"
45;5;"—";292;"100 96 86";10;"Участвуете в конкурсе";1980832;"11.07.2026 в 15:52"
46;5;"—";291;"100 92 89";10;"Участвуете в конкурсе";1117036;"25.06.2026 в 12:05"
47;5;"—";291;"90 94 97";10;"Участвуете в конкурсе";1326043;"30.06.2026 в 13:52"
48;5;"—";291;"100 95 86";10;"Конкурсная группа исключена";1353350;"30.06.2026 в 19:05"
49;4;"—";291;"92 100 89";10;"Участвуете в конкурсе";1695438;"07.07.2026 в 16:07"
50;3;"—";291;"95 92 94";10;"Участвуете в конкурсе";1786433;"07.07.2026 в 18:25"
51;2;"Электронное";291;"95 95 91";10;"Участвуете в конкурсе";2273242;"20.07.2026 в 21:24"
52;4;"—";291;"94 96 91";10;"Участвуете в конкурсе";2423829;"25.07.2026 в 14:37"
53;5;"—";290;"100 94 86";10;"Участвуете в конкурсе";1497568;"05.07.2026 в 13:06"
54;3;"—";289;"95 100 94";0;"Участвуете в конкурсе";1625989;"04.07.2026 в 22:29"
55;2;"—";289;"88 99 100";2;"Участвуете в конкурсе";1679277;"12.07.2026 в 12:49"
56;2;"—";289;"93 100 86";10;"Участвуете в конкурсе";1288256;"29.06.2026 в 22:27"
57;5;"—";289;"98 84 97";10;"Участвуете в конкурсе";1634544;"16.07.2026 в 18:35"
58;5;"—";289;"98 100 81";10;"Участвуете в конкурсе";2076209;"24.07.2026 в 22:06"
59;4;"—";288;"98 97 83";10;"Конкурсная группа исключена";948620;"10.07.2026 в 00:24"
60;2;"—";288;"85 96 97";10;"Участвуете в конкурсе";1444882;"02.07.2026 в 00:07"
61;5;"—";288;"88 90 100";10;"Участвуете в конкурсе";1640316;"05.07.2026 в 15:25"
62;2;"—";288;"92 95 91";10;"Участвуете в конкурсе";1780704;"07.07.2026 в 16:45"
63;5;"—";288;"100 95 83";10;"Участвуете в конкурсе";1978736;"15.07.2026 в 19:47"
64;5;"—";288;"93 99 86";10;"Участвуете в конкурсе";2263607;"19.07.2026 в 16:24"
65;4;"—";287;"98 100 89";0;"Участвуете в конкурсе";2255558;"19.07.2026 в 01:51"
66;5;"—";287;"88 95 94";10;"Участвуете в конкурсе";1439342;"23.07.2026 в 21:41"
67;4;"—";287;"92 96 89";10;"Участвуете в конкурсе";1466605;"24.07.2026 в 22:08"
68;1;"Электронное";287;"98 96 83";10;"Участвуете в конкурсе";1945610;"10.07.2026 в 14:46"
69;5;"—";287;"90 96 91";10;"Участвуете в конкурсе";2264458;"19.07.2026 в 16:12"
70;5;"—";287;"95 86 96";10;"Участвуете в конкурсе";2307283;"20.07.2026 в 18:32"
71;4;"—";286;"92 94 100";0;"Конкурсная группа исключена";1706728;"20.07.2026 в 15:35"
72;1;"—";286;"98 92 94";2;"Участвуете в конкурсе";1768173;"15.07.2026 в 14:46"
73;5;"—";286;"95 100 81";10;"Конкурсная группа исключена";1198929;"29.06.2026 в 21:58"
74;4;"—";286;"100 95 81";10;"Участвуете в конкурсе";1272482;"01.07.2026 в 18:58"
75;4;"—";286;"95 90 91";10;"Участвуете в конкурсе";1642211;"05.07.2026 в 18:10"
76;4;"—";286;"88 94 94";10;"Участвуете в конкурсе";1853778;"15.07.2026 в 10:52"
77;5;"—";286;"90 92 94";10;"Участвуете в конкурсе";2415700;"24.07.2026 в 23:24"
78;3;"—";285;"100 97 78";10;"Участвуете в конкурсе";1610304;"04.07.2026 в 14:25"
79;4;"—";285;"100 92 83";10;"Конкурсная группа исключена";1639150;"13.07.2026 в 20:02"
80;1;"—";285;"92 94 89";10;"Участвуете в конкурсе";2224172;"17.07.2026 в 19:31"
81;6;"—";284;"90 95 89";10;"Участвуете в конкурсе";991393;"23.07.2026 в 16:57"
82;3;"—";284;"94 94 86";10;"Участвуете в конкурсе";1503903;"08.07.2026 в 12:29"
83;5;"—";284;"88 92 94";10;"Участвуете в конкурсе";1549156;"08.07.2026 в 13:39"
84;2;"—";284;"90 95 89";10;"Конкурсная группа исключена";1709048;"06.07.2026 в 19:23"
85;4;"—";284;"93 95 86";10;"Участвуете в конкурсе";2185326;"25.07.2026 в 04:46"
86;2;"—";284;"88 92 94";10;"Участвуете в конкурсе";2216019;"17.07.2026 в 16:05"
87;1;"—";283;"95 88 100";0;"Участвуете в конкурсе";2312736;"22.07.2026 в 06:56"
88;3;"—";283;"95 92 86";10;"Участвуете в конкурсе";1245699;"29.06.2026 в 21:25"
89;3;"—";283;"93 86 94";10;"Конкурсная группа исключена";1339325;"30.06.2026 в 15:48"
90;3;"—";283;"98 86 89";10;"Участвуете в конкурсе";1366170;"30.06.2026 в 23:58"
91;2;"—";283;"95 84 94";10;"Участвуете в конкурсе";1398817;"01.07.2026 в 13:08"
92;3;"—";283;"96 88 89";10;"Конкурсная группа исключена";1504560;"04.07.2026 в 17:43"
93;2;"—";283;"90 100 83";10;"Участвуете в конкурсе";1755244;"07.07.2026 в 16:59"
94;5;"—";283;"90 92 91";10;"Участвуете в конкурсе";1963654;"10.07.2026 в 23:35"
95;3;"—";283;"85 94 94";10;"Участвуете в конкурсе";2377280;"23.07.2026 в 11:40"
96;3;"Электронное";282;"94 100 88";0;"Конкурсная группа исключена";1028969;"23.06.2026 в 08:05"
97;4;"—";282;"100 92 83";7;"Участвуете в конкурсе";1648236;"05.07.2026 в 19:29"
98;5;"—";282;"100 100 72";10;"Участвуете в конкурсе";954862;"08.07.2026 в 18:48"
99;2;"—";282;"83 100 89";10;"Участвуете в конкурсе";1181522;"02.07.2026 в 17:50"
100;3;"—";282;"90 88 94";10;"Участвуете в конкурсе";1391343;"18.07.2026 в 13:19"
101;4;"—";282;"100 86 86";10;"Участвуете в конкурсе";1446996;"04.07.2026 в 02:10"
102;4;"—";282;"90 100 82";10;"Участвуете в конкурсе";1508782;"02.07.2026 в 19:04"
103;3;"—";282;"96 82 94";10;"Участвуете в конкурсе";1623836;"12.07.2026 в 17:45"
104;2;"—";282;"98 96 78";10;"Конкурсная группа исключена";1767349;"08.07.2026 в 08:37"
105;5;"—";282;"95 88 89";10;"Участвуете в конкурсе";1915325;"12.07.2026 в 13:20"
106;5;"Электронное";282;"96 98 78";10;"Участвуете в конкурсе";2154272;"16.07.2026 в 11:53"
107;5;"—";281;"88 99 94";0;"Участвуете в конкурсе";1596795;"04.07.2026 в 10:47"
108;5;"—";281;"93 95 91";2;"Конкурсная группа исключена";1212339;"28.06.2026 в 22:08"
109;3;"—";281;"88 92 91";10;"Участвуете в конкурсе";1198763;"18.07.2026 в 11:37"
110;5;"—";281;"90 90 91";10;"Участвуете в конкурсе";1224547;"02.07.2026 в 13:39"
111;2;"—";281;"100 96 75";10;"Участвуете в конкурсе";1364581;"30.06.2026 в 23:01"
112;3;"—";281;"95 90 86";10;"Участвуете в конкурсе";1559649;"23.07.2026 в 16:50"
113;5;"—";281;"90 90 91";10;"Участвуете в конкурсе";1650933;"17.07.2026 в 22:22"
114;2;"—";281;"88 92 91";10;"Участвуете в конкурсе";2025494;"13.07.2026 в 12:27"
115;2;"—";281;"98 92 81";10;"Участвуете в конкурсе";2224744;"17.07.2026 в 19:50"
116;4;"—";280;"94 95 91";0;"Участвуете в конкурсе";1650879;"05.07.2026 в 20:49"
117;3;"—";280;"90 94 94";2;"Участвуете в конкурсе";1306197;"30.06.2026 в 13:14"
118;5;"Электронное";280;"86 100 84";10;"Участвуете в конкурсе";968829;"20.06.2026 в 14:00"
119;2;"—";280;"100 76 94";10;"Участвуете в конкурсе";975571;"20.06.2026 в 16:19"
120;2;"—";280;"95 88 87";10;"Участвуете в конкурсе";1002942;"21.07.2026 в 22:58"
121;5;"—";280;"92 95 83";10;"Участвуете в конкурсе";1327660;"24.07.2026 в 09:13"
122;2;"—";280;"90 86 94";10;"Участвуете в конкурсе";1467234;"02.07.2026 в 11:57"
123;2;"—";280;"98 86 86";10;"Участвуете в конкурсе";1626166;"04.07.2026 в 22:37"
124;5;"—";280;"100 100 70";10;"Участвуете в конкурсе";1707102;"14.07.2026 в 12:08"
125;2;"—";280;"88 82 100";10;"Участвуете в конкурсе";1724876;"10.07.2026 в 19:13"
126;6;"—";280;"96 88 86";10;"Участвуете в конкурсе";1758000;"07.07.2026 в 13:50"
127;5;"—";280;"83 90 97";10;"Участвуете в конкурсе";2136332;"15.07.2026 в 18:51"
128;4;"—";280;"88 88 94";10;"Участвуете в конкурсе";2162078;"19.07.2026 в 14:45"
129;3;"Электронное";279;"98 100 81";0;"Участвуете в конкурсе";1560141;"03.07.2026 в 17:49"
130;4;"—";279;"100 90 89";0;"Участвуете в конкурсе";1619392;"25.07.2026 в 14:17"
131;5;"—";279;"98 90 89";2;"Участвуете в конкурсе";1975681;"18.07.2026 в 22:25"
132;6;"Электронное";279;"92 80 97";10;"Участвуете в конкурсе";982468;"20.06.2026 в 20:48"
133;2;"—";279;"93 90 86";10;"Участвуете в конкурсе";1196912;"28.06.2026 в 15:13"
134;4;"—";279;"98 88 83";10;"Участвуете в конкурсе";1279350;"29.06.2026 в 21:59"
135;3;"—";279;"93 90 86";10;"Участвуете в конкурсе";1388227;"01.07.2026 в 11:33"
136;2;"—";279;"77 95 97";10;"Участвуете в конкурсе";1572682;"03.07.2026 в 18:43"
137;3;"—";279;"98 88 83";10;"Участвуете в конкурсе";1578522;"03.07.2026 в 19:44"
138;3;"—";279;"98 88 83";10;"Участвуете в конкурсе";1651287;"24.07.2026 в 18:17"
