"Порядковый номер";"Приоритет конкурса";"Наличие договора";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"1";"—";"308000";"100 98 100";"10000";"Участвует в конкурсе";"1728171";"—"
"2";"4";"—";"307000";"99 98 100";"10000";"Участвует в конкурсе";"1312784";"—"
"3";"9";"—";"304000";"99 98 97";"10000";"Участвует в конкурсе";"1914761";"—"
"4";"1";"—";"301000";"97 100 94";"10000";"Участвует в конкурсе";"1359030";"—"
"5";"1";"—";"300000";"98 98 94";"10000";"Участвует в конкурсе";"1202951";"—"
"6";"2";"—";"300000";"98 98 94";"10000";"Участвует в конкурсе";"1708207";"—"
"7";"1";"—";"300000";"98 95 97";"10000";"Участвует в конкурсе";"1331541";"—"
"8";"2";"—";"299000";"100 100 89";"10000";"Участвует в конкурсе";"1514902";"—"
"9";"1";"—";"299000";"100 95 94";"10000";"Участвует в конкурсе";"1554023";"—"
"11";"3";"—";"298000";"96 95 97";"10000";"Участвует в конкурсе";"1626983";"—"
"12";"16";"—";"297000";"100 98 89";"10000";"Участвует в конкурсе";"1167293";"—"
"13";"6";"—";"297000";"100 93 94";"10000";"Участвует в конкурсе";"1175568";"—"
"15";"5";"—";"297000";"92 95 100";"10000";"Участвует в конкурсе";"1501339";"—"
"16";"3";"—";"296000";"100 100 86";"10000";"Участвует в конкурсе";"1279117";"—"
"17";"6";"—";"296000";"97 98 91";"10000";"Участвует в конкурсе";"2368438";"—"
"18";"2";"—";"296000";"97 95 94";"10000";"Участвует в конкурсе";"1196082";"—"
"19";"3";"—";"296000";"96 90 100";"10000";"Участвует в конкурсе";"1334560";"—"
"20";"6";"—";"296000";"86 100 100";"10000";"Участвует в конкурсе";"1702101";"—"
"21";"3";"—";"295000";"99 95 91";"10000";"Участвует в конкурсе";"1479205";"—"
"22";"5";"—";"295000";"99 95 91";"10000";"Участвует в конкурсе";"1783449";"—"
"23";"6";"—";"294000";"100 98 86";"10000";"Участвует в конкурсе";"1625066";"—"
"24";"2";"—";"294000";"100 95 89";"10000";"Участвует в конкурсе";"1364819";"—"
"25";"4";"—";"294000";"100 93 91";"10000";"Участвует в конкурсе";"1121847";"—"
"26";"1";"—";"294000";"99 88 97";"10000";"Участвует в конкурсе";"1482831";"—"
"27";"8";"—";"294000";"99 85 100";"10000";"Участвует в конкурсе";"1798162";"—"
"28";"1";"—";"294000";"95 95 94";"10000";"Участвует в конкурсе";"1212446";"—"
"29";"1";"—";"294000";"95 95 94";"10000";"Участвует в конкурсе";"1176975";"—"
"30";"4";"—";"293000";"100 93 94";"6000";"Участвует в конкурсе";"2218242";"—"
"31";"1";"—";"293000";"94 100 89";"10000";"Участвует в конкурсе";"2134514";"—"
"32";"4";"—";"292000";"97 98 97";"—";"Участвует в конкурсе";"2006503";"—"
"33";"2";"—";"292000";"95 93 94";"10000";"Участвует в конкурсе";"1777594";"—"
"34";"6";"—";"292000";"92 93 97";"10000";"Участвует в конкурсе";"1475756";"—"
"35";"10";"—";"291000";"97 93 91";"10000";"Участвует в конкурсе";"1493568";"—"
"36";"1";"—";"291000";"92 100 89";"10000";"Участвует в конкурсе";"1431881";"—"
"37";"4";"—";"291000";"92 95 94";"10000";"Участвует в конкурсе";"1798586";"—"
"38";"11";"—";"291000";"92 95 94";"10000";"Участвует в конкурсе";"1963797";"—"
"39";"10";"—";"290000";"96 95 89";"10000";"Участвует в конкурсе";"1729121";"—"
"40";"1";"—";"290000";"96 93 91";"10000";"Участвует в конкурсе";"1798245";"—"
"41";"12";"—";"290000";"95 88 97";"10000";"Участвует в конкурсе";"1287292";"—"
"42";"8";"—";"290000";"95 88 97";"10000";"Участвует в конкурсе";"2005775";"—"
"43";"2";"—";"289000";"99 93 97";"—";"Участвует в конкурсе";"1441150";"—"
"44";"2";"—";"289000";"96 93 97";"3000";"Участвует в конкурсе";"1177069";"—"
"45";"2";"—";"289000";"94 95 97";"3000";"Участвует в конкурсе";"1481603";"—"
"46";"10";"—";"289000";"100 98 81";"10000";"Участвует в конкурсе";"1350561";"—"
"47";"1";"—";"289000";"100 93 86";"10000";"Участвует в конкурсе";"1288256";"—"
"48";"6";"—";"289000";"100 90 89";"10000";"Участвует в конкурсе";"2344911";"—"
"49";"4";"—";"289000";"100 88 91";"10000";"Участвует в конкурсе";"1516325";"—"
"50";"7";"—";"289000";"97 93 89";"10000";"Участвует в конкурсе";"1130496";"—"
"51";"3";"—";"289000";"95 98 86";"10000";"Участвует в конкурсе";"1843556";"—"
"52";"1";"—";"289000";"90 98 91";"10000";"Участвует в конкурсе";"1819874";"—"
"53";"1";"—";"288000";"96 95 97";"—";"Участвует в конкурсе";"1200110";"—"
"54";"6";"—";"288000";"99 88 91";"10000";"Участвует в конкурсе";"1227028";"—"
"55";"1";"—";"288000";"97 90 91";"10000";"Участвует в конкурсе";"1442758";"—"
"56";"5";"—";"288000";"96 93 89";"10000";"Участвует в конкурсе";"1262362";"—"
"57";"5";"—";"288000";"94 95 89";"10000";"Участвует в конкурсе";"1241968";"—"
"58";"13";"—";"287000";"98 98 86";"5000";"Участвует в конкурсе";"1204240";"—"
"60";"1";"—";"287000";"99 95 83";"10000";"Участвует в конкурсе";"1638426";"—"
"61";"2";"—";"287000";"98 98 81";"10000";"Участвует в конкурсе";"1208714";"—"
"62";"1";"—";"287000";"98 88 91";"10000";"Участвует в конкурсе";"1772003";"—"
"63";"8";"—";"287000";"96 95 86";"10000";"Участвует в конкурсе";"1652121";"—"
"64";"4";"—";"287000";"96 90 91";"10000";"Участвует в конкурсе";"2264458";"—"
"65";"11";"—";"287000";"95 85 97";"10000";"Участвует в конкурсе";"2314652";"—"
"66";"3";"—";"287000";"90 93 94";"10000";"Участвует в конкурсе";"1682667";"—"
"67";"23";"—";"287000";"90 90 97";"10000";"Участвует в конкурсе";"1493775";"—"
"68";"7";"—";"286000";"100 95 81";"10000";"Участвует в конкурсе";"1640345";"—"
"70";"1";"—";"286000";"95 90 91";"10000";"Участвует в конкурсе";"1559828";"—"
"71";"5";"—";"286000";"86 93 97";"10000";"Участвует в конкурсе";"1500028";"—"
"72";"1";"—";"286000";"84 98 94";"10000";"Участвует в конкурсе";"1093652";"—"
"73";"3";"—";"285000";"98 98 89";"—";"Участвует в конкурсе";"1427864";"—"
"74";"5";"—";"285000";"99 93 83";"10000";"Участвует в конкурсе";"2215497";"—"
"75";"5";"—";"285000";"98 83 94";"10000";"Участвует в конкурсе";"1407974";"—"
"76";"3";"—";"285000";"96 90 89";"10000";"Участвует в конкурсе";"1397016";"—"
"77";"1";"—";"285000";"96 88 91";"10000";"Участвует в конкурсе";"1909498";"—"
