"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"10";"Электронное";"1000";"x x x";"10000";"Участвует в конкурсе";"1514051";"—"
"2";"2";"—";"1000";"x x x";"10000";"Участвует в конкурсе";"1286034";"—"
"3";"15";"Электронное";"1000";"x x x";"10000";"Участвует в конкурсе";"1964745";"—"
"4";"6";"Электронное";"1000";"x x x";"10000";"Участвует в конкурсе";"1651267";"—"
"5";"2";"—";"1000";"x x x";"10000";"Участвует в конкурсе";"1548572";"—"
"6";"24";"—";"1000";"x x x";"10000";"Участвует в конкурсе";"1355457";"—"
"7";"10";"Электронное";"1000";"x x x";"10000";"Участвует в конкурсе";"1559916";"—"
"8";"5";"Электронное";"1000";"x x x";"10000";"Участвует в конкурсе";"1549631";"—"
"9";"13";"Электронное";"1000";"x x x";"10000";"Участвует в конкурсе";"1891692";"—"
"10";"5";"—";"1000";"x x x";"10000";"Участвует в конкурсе";"1982619";"—"
"11";"2";"—";"1000";"x x x";"10000";"Участвует в конкурсе";"1249733";"—"
"13";"7";"—";"1000";"x x x";"10000";"Участвует в конкурсе";"1478109";"—"
"14";"5";"—";"1000";"x x x";"3000";"Участвует в конкурсе";"1987920";"—"
"15";"5";"Электронное";"1000";"x x x";"3000";"Участвует в конкурсе";"1105535";"—"
"16";"2";"—";"1000";"x x x";"3000";"Участвует в конкурсе";"1096810";"—"
"17";"22";"—";"1000";"x x x";"3000";"Участвует в конкурсе";"2231197";"—"
"18";"9";"—";"1000";"x x x";"—";"Участвует в конкурсе";"1641302";"—"
"19";"7";"Электронное";"1000";"x x x";"—";"Участвует в конкурсе";"2030125";"—"
"20";"1";"Электронное";"1000";"x x x";"—";"Участвует в конкурсе";"2308459";"—"
"21";"18";"—";"1000";"x x x";"—";"Участвует в конкурсе";"1645058";"—"
"22";"4";"—";"1000";"x x x";"—";"Участвует в конкурсе";"1787314";"—"
"23";"22";"Электронное";"1000";"x x x";"—";"Участвует в конкурсе";"2133320";"—"
"24";"2";"—";"1000";"x x x";"—";"Участвует в конкурсе";"1642778";"—"
"25";"7";"—";"1000";"x x x";"—";"Участвует в конкурсе";"1243653";"—"
"26";"10";"—";"1000";"x x x";"—";"Участвует в конкурсе";"2385498";"—"
"27";"2";"—";"1000";"x x x";"—";"Участвует в конкурсе";"1476167";"—"
"28";"2";"Электронное";"1000";"x x x";"—";"Участвует в конкурсе";"2345208";"—"
"29";"14";"Электронное";"1000";"x x x";"—";"Участвует в конкурсе";"1763734";"—"
"31";"1";"—";"1000";"x x x";"—";"Участвует в конкурсе";"2191765";"—"
"32";"1";"—";"1000";"x x x";"—";"Участвует в конкурсе";"1836480";"—"
"33";"4";"—";"1000";"x x x";"—";"Участвует в конкурсе";"2422536";"—"
"34";"2";"—";"1000";"x x x";"—";"Участвует в конкурсе";"1349666";"—"
"69";"16";"—";"304000";"100 100 94";"10000";"Участвует в конкурсе";"1796316";"—"
"70";"14";"—";"300000";"90 100 100";"10000";"Участвует в конкурсе";"1618714";"—"
"71";"3";"—";"299000";"95 100 94";"10000";"Участвует в конкурсе";"1407670";"—"
"72";"4";"—";"297000";"98 100 89";"10000";"Участвует в конкурсе";"1991433";"—"
"73";"3";"—";"294000";"100 95 89";"10000";"Участвует в конкурсе";"1908016";"—"
"74";"7";"—";"293000";"100 100 83";"10000";"Участвует в конкурсе";"1412783";"—"
"76";"6";"—";"292000";"100 88 94";"10000";"Участвует в конкурсе";"1726814";"—"
"77";"3";"—";"291000";"97 95 89";"10000";"Участвует в конкурсе";"1107050";"—"
"78";"13";"—";"291000";"94 93 94";"10000";"Участвует в конкурсе";"1916223";"—"
"79";"2";"—";"290000";"98 88 94";"10000";"Участвует в конкурсе";"1627584";"—"
"80";"2";"—";"289000";"95 98 86";"10000";"Участвует в конкурсе";"1291171";"—"
"81";"5";"—";"289000";"84 95 100";"10000";"Участвует в конкурсе";"1582041";"—"
"82";"4";"—";"287000";"92 88 97";"10000";"Участвует в конкурсе";"1473705";"—"
"83";"6";"—";"287000";"90 93 94";"10000";"Участвует в конкурсе";"1645061";"—"
"84";"1";"—";"287000";"90 90 97";"10000";"Участвует в конкурсе";"1615432";"—"
"85";"7";"—";"286000";"97 85 94";"10000";"Участвует в конкурсе";"1728529";"—"
"87";"6";"—";"284000";"92 93 89";"10000";"Участвует в конкурсе";"1283285";"—"
"88";"9";"—";"284000";"90 93 91";"10000";"Участвует в конкурсе";"1779294";"—"
"89";"14";"—";"283000";"94 90 89";"10000";"Участвует в конкурсе";"1389085";"—"
"90";"5";"—";"282000";"95 95 89";"3000";"Участвует в конкурсе";"1649323";"—"
"91";"4";"—";"282000";"96 95 81";"10000";"Участвует в конкурсе";"1784131";"—"
"92";"1";"—";"281000";"94 88 89";"10000";"Участвует в конкурсе";"1577273";"—"
