"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"9";"Электронное";"1000";"x x x";"10000";"Участвует в конкурсе";"1514051";"—"
"2";"5";"Электронное";"1000";"x x x";"10000";"Участвует в конкурсе";"1964745";"—"
"3";"5";"Электронное";"1000";"x x x";"10000";"Участвует в конкурсе";"1651267";"—"
"4";"1";"—";"1000";"x x x";"10000";"Участвует в конкурсе";"1548572";"—"
"5";"9";"—";"1000";"x x x";"10000";"Участвует в конкурсе";"1355457";"—"
"6";"9";"Электронное";"1000";"x x x";"10000";"Участвует в конкурсе";"1559916";"—"
"7";"3";"Электронное";"1000";"x x x";"10000";"Участвует в конкурсе";"1549631";"—"
"8";"1";"—";"1000";"x x x";"10000";"Участвует в конкурсе";"1433847";"—"
"9";"9";"—";"1000";"x x x";"10000";"Участвует в конкурсе";"2085177";"—"
"10";"10";"Электронное";"1000";"x x x";"10000";"Участвует в конкурсе";"1891692";"—"
"11";"2";"—";"1000";"x x x";"10000";"Участвует в конкурсе";"1229036";"—"
"12";"4";"—";"1000";"x x x";"10000";"Участвует в конкурсе";"1249733";"—"
"13";"3";"—";"1000";"x x x";"10000";"Участвует в конкурсе";"1365600";"—"
"15";"3";"Электронное";"1000";"x x x";"10000";"Участвует в конкурсе";"1826994";"—"
"16";"4";"—";"1000";"x x x";"10000";"Участвует в конкурсе";"1189152";"—"
"17";"2";"—";"1000";"x x x";"10000";"Участвует в конкурсе";"1022234";"—"
"18";"4";"—";"1000";"x x x";"10000";"Участвует в конкурсе";"1478109";"—"
"19";"1";"Электронное";"1000";"x x x";"5000";"Участвует в конкурсе";"2219629";"—"
"20";"5";"—";"1000";"x x x";"3000";"Участвует в конкурсе";"1095759";"—"
"21";"1";"—";"1000";"x x x";"3000";"Участвует в конкурсе";"1050909";"—"
"22";"1";"—";"1000";"x x x";"3000";"Участвует в конкурсе";"1096810";"—"
"23";"1";"—";"1000";"x x x";"3000";"Участвует в конкурсе";"1146168";"—"
"24";"7";"—";"1000";"x x x";"3000";"Участвует в конкурсе";"2231197";"—"
"25";"4";"—";"1000";"x x x";"2000";"Участвует в конкурсе";"1653349";"—"
"26";"1";"—";"1000";"x x x";"—";"Участвует в конкурсе";"1720387";"—"
"27";"2";"—";"1000";"x x x";"—";"Участвует в конкурсе";"1641302";"—"
"28";"5";"—";"1000";"x x x";"—";"Участвует в конкурсе";"2220443";"—"
"29";"4";"Электронное";"1000";"x x x";"—";"Участвует в конкурсе";"2030125";"—"
"30";"6";"—";"1000";"x x x";"—";"Участвует в конкурсе";"1166095";"—"
"31";"6";"Электронное";"1000";"x x x";"—";"Участвует в конкурсе";"1305652";"—"
"32";"10";"—";"1000";"x x x";"—";"Участвует в конкурсе";"1645058";"—"
"33";"1";"Электронное";"1000";"x x x";"—";"Участвует в конкурсе";"1998620";"—"
"34";"3";"—";"1000";"x x x";"—";"Участвует в конкурсе";"1651152";"—"
"35";"3";"—";"1000";"x x x";"—";"Участвует в конкурсе";"1787314";"—"
"36";"5";"Электронное";"1000";"x x x";"—";"Участвует в конкурсе";"1579993";"—"
"37";"3";"Электронное";"1000";"x x x";"—";"Участвует в конкурсе";"1638602";"—"
"38";"5";"—";"1000";"x x x";"—";"Участвует в конкурсе";"1370619";"—"
"39";"5";"Электронное";"1000";"x x x";"—";"Участвует в конкурсе";"2133320";"—"
"40";"1";"—";"1000";"x x x";"—";"Участвует в конкурсе";"1642778";"—"
"41";"10";"—";"1000";"x x x";"—";"Участвует в конкурсе";"1243653";"—"
"42";"7";"Электронное";"1000";"x x x";"—";"Участвует в конкурсе";"2302989";"—"
"43";"4";"—";"1000";"x x x";"—";"Участвует в конкурсе";"2273003";"—"
"44";"1";"—";"1000";"x x x";"—";"Участвует в конкурсе";"1480127";"—"
"45";"4";"—";"1000";"x x x";"—";"Участвует в конкурсе";"2385498";"—"
"46";"1";"—";"1000";"x x x";"—";"Участвует в конкурсе";"1476167";"—"
"47";"7";"Электронное";"1000";"x x x";"—";"Участвует в конкурсе";"1763734";"—"
"49";"3";"Электронное";"1000";"x x x";"—";"Участвует в конкурсе";"996933";"—"
"51";"3";"—";"1000";"x x x";"—";"Участвует в конкурсе";"2127785";"—"
"52";"1";"—";"1000";"x x x";"—";"Участвует в конкурсе";"2221187";"—"
"53";"4";"—";"1000";"x x x";"—";"Участвует в конкурсе";"1836480";"—"
"54";"3";"—";"1000";"x x x";"—";"Участвует в конкурсе";"2422536";"—"
