"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"8";"Электронное";"1000";"x x x";"10000";"Участвует в конкурсе";"1651267";"—"
"2";"1";"—";"1000";"x x x";"10000";"Участвует в конкурсе";"1702133";"—"
"3";"1";"—";"1000";"x x x";"10000";"Участвует в конкурсе";"1346823";"—"
"5";"2";"—";"1000";"x x x";"10000";"Участвует в конкурсе";"1478109";"—"
"6";"4";"—";"1000";"x x x";"10000";"Участвует в конкурсе";"1022234";"—"
"7";"6";"Электронное";"1000";"x x x";"5000";"Участвует в конкурсе";"2219629";"—"
"8";"3";"—";"1000";"x x x";"3000";"Участвует в конкурсе";"1050909";"—"
"9";"12";"—";"1000";"x x x";"3000";"Участвует в конкурсе";"1987920";"—"
"10";"3";"—";"1000";"x x x";"3000";"Участвует в конкурсе";"1096810";"—"
"11";"8";"—";"1000";"x x x";"—";"Участвует в конкурсе";"1641302";"—"
"12";"2";"Электронное";"1000";"x x x";"—";"Участвует в конкурсе";"2308459";"—"
"13";"3";"Электронное";"1000";"x x x";"—";"Участвует в конкурсе";"1305652";"—"
"14";"2";"Электронное";"1000";"x x x";"—";"Участвует в конкурсе";"1998620";"—"
"15";"4";"—";"1000";"x x x";"—";"Участвует в конкурсе";"1243653";"—"
"16";"2";"—";"1000";"x x x";"—";"Участвует в конкурсе";"2079705";"—"
"17";"6";"—";"1000";"x x x";"—";"Участвует в конкурсе";"1581376";"—"
"18";"1";"Электронное";"1000";"x x x";"—";"Участвует в конкурсе";"2238448";"—"
"19";"3";"—";"1000";"x x x";"—";"Участвует в конкурсе";"2191765";"—"
"20";"2";"—";"1000";"x x x";"—";"Участвует в конкурсе";"2422536";"—"
"21";"9";"—";"1000";"x x x";"—";"Участвует в конкурсе";"1349666";"—"
"43";"5";"—";"294000";"100 95 89";"10000";"Участвует в конкурсе";"1908016";"—"
"45";"5";"—";"291000";"97 95 89";"10000";"Участвует в конкурсе";"1107050";"—"
"47";"3";"—";"287000";"90 90 97";"10000";"Участвует в конкурсе";"1615432";"—"
