"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"1";"—";"279000";"95 88 86";"10000";"Участвует в конкурсе";"1730299";"—"
"2";"3";"—";"279000";"90 98 81";"10000";"Участвует в конкурсе";"1721789";"—"
"3";"3";"—";"267000";"86 90 81";"10000";"Участвует в конкурсе";"1637109";"—"
"4";"4";"—";"265000";"88 88 89";"—";"Участвует в конкурсе";"1291325";"—"
"5";"5";"—";"255000";"96 90 66";"3000";"Участвует в конкурсе";"1847843";"—"
"6";"1";"Электронное";"254000";"78 85 81";"10000";"Участвует в конкурсе";"2165742";"—"
"7";"4";"—";"250000";"84 85 81";"—";"Участвует в конкурсе";"1985500";"—"
"8";"7";"Электронное";"248000";"80 85 83";"—";"Участвует в конкурсе";"2003261";"—"
"9";"1";"—";"246000";"78 75 83";"10000";"Участвует в конкурсе";"1152097";"—"
"10";"2";"—";"236000";"90 80 66";"—";"Участвует в конкурсе";"1775188";"—"
"11";"6";"—";"235000";"86 66 83";"—";"Участвует в конкурсе";"1489240";"—"
"12";"2";"—";"235000";"80 72 73";"10000";"Участвует в конкурсе";"1070526";"—"
"13";"6";"Электронное";"230000";"80 80 70";"—";"Участвует в конкурсе";"2224068";"—"
"14";"1";"—";"227000";"64 67 86";"10000";"Участвует в конкурсе";"2001099";"—"
"15";"1";"—";"223000";"72 75 66";"10000";"Участвует в конкурсе";"1547736";"—"
"16";"3";"Электронное";"220000";"74 64 72";"10000";"Участвует в конкурсе";"1209054";"—"
"17";"4";"—";"219000";"70 83 66";"—";"Участвует в конкурсе";"2291483";"—"
"18";"3";"Электронное";"218000";"70 67 81";"—";"Участвует в конкурсе";"1212985";"—"
"19";"1";"Электронное";"216000";"76 59 81";"—";"Участвует в конкурсе";"999910";"—"
"20";"7";"—";"209000";"70 56 73";"10000";"Участвует в конкурсе";"1004695";"—"
"21";"1";"—";"202000";"78 72 52";"—";"Участвует в конкурсе";"2096857";"—"
"22";"1";"—";"200000";"72 70 58";"—";"Участвует в конкурсе";"1768840";"—"
"23";"1";"—";"199000";"70 62 67";"—";"Участвует в конкурсе";"1627633";"—"
"24";"1";"—";"199000";"52 70 67";"10000";"Участвует в конкурсе";"1331057";"—"
"25";"3";"—";"198000";"70 62 66";"—";"Участвует в конкурсе";"1909010";"—"
"26";"1";"—";"194000";"64 67 63";"—";"Участвует в конкурсе";"1346418";"—"
"28";"1";"Электронное";"158000";"46 46 66";"—";"Участвует в конкурсе";"2334484";"—"
"29";"2";"Электронное";"155000";"58 51 46";"—";"Участвует в конкурсе";"1853894";"—"
"30";"5";"—";"148000";"40 59 49";"—";"Участвует в конкурсе";"2175564";"—"
"31";"6";"—";"134000";"40 46 48";"—";"Участвует в конкурсе";"1796411";"—"
"32";"4";"—";"133000";"40 51 42";"—";"Участвует в конкурсе";"1976811";"—"
