"Порядковый номер";"Приоритет конкурса";"Наличие договора";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"3";"—";"45000";"-";"45000";"Ожидание результатов ВИ";"1771231";"—"
"2";"4";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"2099837";"—"
"3";"5";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"2236528";"—"
"4";"6";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"1489711";"—"
"5";"3";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"1831187";"—"
"6";"16";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"2314256";"—"
"7";"3";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"2426326";"—"
"8";"1";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"1912058";"—"
"9";"1";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"2053380";"—"
"10";"5";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"2101723";"—"
"11";"1";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"2032144";"—"
"12";"2";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"2114233";"—"
"13";"1";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"2140616";"—"
"14";"1";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"2124335";"—"
"15";"3";"—";"30000";"-";"30000";"Ожидание результатов ВИ";"1479813";"—"
"16";"5";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2099631";"—"
"17";"26";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2119826";"—"
"18";"5";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2218118";"—"
"19";"9";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2451320";"—"
"20";"16";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2162819";"—"
"21";"1";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2044638";"—"
"22";"4";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2363771";"—"
"23";"4";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2054574";"—"
"24";"1";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"1245891";"—"
"25";"6";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"1169362";"—"
"26";"4";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"1024649";"—"
"27";"3";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2204515";"—"
"28";"2";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"960443";"—"
"29";"7";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"1973207";"—"
"30";"1";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2000173";"—"
"31";"3";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"1994305";"—"
"32";"2";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"1982245";"—"
"33";"26";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2056013";"—"
"34";"2";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2083421";"—"
"35";"15";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2095188";"—"
"36";"1";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2185442";"—"
"37";"6";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2180970";"—"
"38";"5";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2178170";"—"
"39";"1";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2215795";"—"
"40";"1";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2083427";"—"
"41";"5";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2261857";"—"
"42";"5";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2249701";"—"
"43";"4";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2401782";"—"
"44";"1";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2267791";"—"
"45";"15";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"1927498";"—"
"46";"8";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"978776";"—"
"47";"5";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2137350";"—"
"48";"3";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2167449";"—"
"49";"1";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"1037023";"—"
"50";"1";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2254219";"—"
"51";"1";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2230111";"—"
"52";"1";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2227434";"—"
"53";"1";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"1576540";"—"
"54";"2";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2313193";"—"
"55";"7";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2336539";"—"
"56";"4";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2343070";"—"
"57";"4";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2326258";"—"
"58";"4";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2077176";"—"
"59";"4";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"1158814";"—"
"60";"4";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2404142";"—"
"61";"13";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2424001";"—"
"62";"22";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2431995";"—"
"63";"5";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2427728";"—"
"64";"2";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2269985";"—"
"65";"13";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2324833";"—"
"66";"6";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"1947599";"—"
"67";"1";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2135583";"—"
"68";"2";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2334053";"—"
"69";"5";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"1909445";"—"
"70";"1";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2250494";"—"
"71";"4";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2393712";"—"
"72";"11";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2437204";"—"
"73";"2";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"1044497";"—"
"74";"2";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2443892";"—"
"75";"1";"—";"15000";"x";"15000";"На рассмотрении";"2424055";"—"
"76";"1";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2454760";"—"
"77";"6";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2132162";"—"
"78";"1";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"1102759";"—"
"79";"3";"—";"5000";"-";"5000";"Ожидание результатов ВИ";"2136058";"—"
"80";"5";"—";"—";"-";"—";"Ожидание результатов ВИ";"2438072";"—"
"81";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"1987334";"—"
"82";"11";"—";"—";"-";"—";"Ожидание результатов ВИ";"2376619";"—"
"83";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"1595465";"—"
"84";"5";"—";"—";"-";"—";"Ожидание результатов ВИ";"2125929";"—"
"85";"3";"—";"—";"-";"—";"Ожидание результатов ВИ";"1651624";"—"
"86";"7";"—";"—";"-";"—";"Ожидание результатов ВИ";"1292429";"—"
"87";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"1294485";"—"
"88";"3";"—";"—";"-";"—";"Ожидание результатов ВИ";"2425176";"—"
"89";"5";"—";"—";"-";"—";"Ожидание результатов ВИ";"2419507";"—"
"90";"1";"Электронное";"—";"-";"—";"Ожидание результатов ВИ";"1769141";"—"
"91";"8";"—";"—";"-";"—";"Ожидание результатов ВИ";"2412103";"—"
"92";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"2325297";"—"
"93";"3";"—";"—";"-";"—";"Ожидание результатов ВИ";"2409840";"—"
"94";"2";"—";"—";"-";"—";"Ожидание результатов ВИ";"2163572";"—"
"95";"4";"—";"—";"-";"—";"Ожидание результатов ВИ";"2301013";"—"
"96";"4";"—";"—";"-";"—";"Ожидание результатов ВИ";"1716600";"—"
"97";"7";"—";"—";"-";"—";"Ожидание результатов ВИ";"2133147";"—"
"98";"3";"—";"—";"-";"—";"Ожидание результатов ВИ";"2131008";"—"
"99";"34";"—";"—";"-";"—";"Ожидание результатов ВИ";"2421065";"—"
"101";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"831185";"—"
"102";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"964755";"—"
"104";"2";"—";"—";"-";"—";"Ожидание результатов ВИ";"938725";"—"
"105";"2";"—";"—";"-";"—";"Ожидание результатов ВИ";"1000349";"—"
"106";"2";"—";"—";"-";"—";"Ожидание результатов ВИ";"1035299";"—"
"107";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"1058443";"—"
"108";"3";"—";"—";"-";"—";"Ожидание результатов ВИ";"1086996";"—"
"109";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"1150741";"—"
"110";"20";"—";"—";"-";"—";"Ожидание результатов ВИ";"1177995";"—"
"111";"2";"—";"—";"-";"—";"Ожидание результатов ВИ";"1180100";"—"
"112";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"1326361";"—"
"113";"4";"—";"—";"-";"—";"Ожидание результатов ВИ";"1336113";"—"
"114";"2";"—";"—";"-";"—";"Ожидание результатов ВИ";"1431863";"—"
"115";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"1065904";"—"
"116";"8";"—";"—";"-";"—";"Ожидание результатов ВИ";"1436312";"—"
"117";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"1532139";"—"
"118";"3";"—";"—";"-";"—";"Ожидание результатов ВИ";"1547523";"—"
"119";"2";"—";"—";"-";"—";"Ожидание результатов ВИ";"1641777";"—"
"121";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"1649803";"—"
"122";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"1695743";"—"
"123";"9";"—";"—";"-";"—";"Ожидание результатов ВИ";"1794758";"—"
"124";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"1832644";"—"
"125";"5";"—";"—";"-";"—";"Ожидание результатов ВИ";"1787442";"—"
"126";"3";"—";"—";"-";"—";"Ожидание результатов ВИ";"945758";"—"
"127";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"1790769";"—"
"128";"5";"—";"—";"-";"—";"Ожидание результатов ВИ";"1713760";"—"
"129";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"1883689";"—"
"130";"13";"—";"—";"-";"—";"Ожидание результатов ВИ";"1896092";"—"
"131";"3";"—";"—";"-";"—";"Ожидание результатов ВИ";"1905925";"—"
"132";"3";"—";"—";"-";"—";"Ожидание результатов ВИ";"1848498";"—"
"133";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"1959239";"—"
"134";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"1979644";"—"
"135";"4";"—";"—";"-";"—";"Ожидание результатов ВИ";"1990151";"—"
"136";"2";"—";"—";"-";"—";"Ожидание результатов ВИ";"1993449";"—"
"137";"14";"—";"—";"-";"—";"Ожидание результатов ВИ";"2002801";"—"
"138";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"2011153";"—"
"139";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"2025996";"—"
"140";"3";"—";"—";"-";"—";"Ожидание результатов ВИ";"2028545";"—"
"141";"25";"—";"—";"-";"—";"Ожидание результатов ВИ";"2018293";"—"
"142";"2";"—";"—";"-";"—";"Ожидание результатов ВИ";"2034565";"—"
"143";"4";"—";"—";"-";"—";"Ожидание результатов ВИ";"1183432";"—"
"144";"3";"—";"—";"-";"—";"Ожидание результатов ВИ";"2053623";"—"
"145";"2";"—";"—";"-";"—";"Ожидание результатов ВИ";"965621";"—"
"146";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"1647711";"—"
"147";"3";"—";"—";"-";"—";"Ожидание результатов ВИ";"1977599";"—"
"148";"2";"—";"—";"-";"—";"Ожидание результатов ВИ";"2085336";"—"
"149";"11";"—";"—";"-";"—";"Ожидание результатов ВИ";"2085407";"—"
"150";"5";"—";"—";"-";"—";"Ожидание результатов ВИ";"2086870";"—"
"151";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"2089097";"—"
"152";"2";"—";"—";"-";"—";"Ожидание результатов ВИ";"1441606";"—"
"153";"2";"—";"—";"-";"—";"Ожидание результатов ВИ";"1566286";"—"
"154";"3";"—";"—";"-";"—";"Ожидание результатов ВИ";"1973059";"—"
"155";"17";"—";"—";"-";"—";"Ожидание результатов ВИ";"966485";"—"
"156";"3";"—";"—";"-";"—";"Ожидание результатов ВИ";"1976494";"—"
"157";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"2102241";"—"
"158";"5";"—";"—";"-";"—";"Ожидание результатов ВИ";"2094652";"—"
"159";"8";"—";"—";"-";"—";"Ожидание результатов ВИ";"2099009";"—"
"160";"2";"—";"—";"-";"—";"Ожидание результатов ВИ";"2098458";"—"
"161";"2";"—";"—";"-";"—";"Ожидание результатов ВИ";"2103089";"—"
"162";"4";"—";"—";"-";"—";"Ожидание результатов ВИ";"2114170";"—"
"163";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"2119454";"—"
"164";"4";"—";"—";"-";"—";"Ожидание результатов ВИ";"2083597";"—"
"165";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"2133616";"—"
"166";"3";"—";"—";"-";"—";"Ожидание результатов ВИ";"2132805";"—"
"167";"3";"—";"—";"-";"—";"Ожидание результатов ВИ";"2131091";"—"
"168";"3";"—";"—";"-";"—";"Ожидание результатов ВИ";"1749022";"—"
"169";"4";"—";"—";"-";"—";"Ожидание результатов ВИ";"1998923";"—"
"170";"6";"—";"—";"-";"—";"Ожидание результатов ВИ";"2101783";"—"
"171";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"1599442";"—"
"172";"8";"—";"—";"-";"—";"Ожидание результатов ВИ";"1684261";"—"
"173";"2";"—";"—";"-";"—";"Ожидание результатов ВИ";"2141889";"—"
"174";"2";"—";"—";"-";"—";"Ожидание результатов ВИ";"1853639";"—"
"175";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"1794729";"—"
"176";"4";"—";"—";"-";"—";"Ожидание результатов ВИ";"1849516";"—"
"177";"3";"—";"—";"-";"—";"Ожидание результатов ВИ";"997895";"—"
"178";"2";"—";"—";"-";"—";"Ожидание результатов ВИ";"1832421";"—"
"179";"4";"—";"—";"-";"—";"Ожидание результатов ВИ";"2140829";"—"
"180";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"2138247";"—"
"181";"14";"—";"—";"-";"—";"Ожидание результатов ВИ";"1796518";"—"
"182";"6";"—";"—";"-";"—";"Ожидание результатов ВИ";"2144076";"—"
"183";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"1581045";"—"
"184";"3";"—";"—";"-";"—";"Ожидание результатов ВИ";"1107265";"—"
"185";"3";"—";"—";"-";"—";"Ожидание результатов ВИ";"2156226";"—"
"186";"3";"—";"—";"-";"—";"Ожидание результатов ВИ";"2156759";"—"
"187";"2";"—";"—";"-";"—";"Ожидание результатов ВИ";"2149860";"—"
"188";"11";"—";"—";"-";"—";"Ожидание результатов ВИ";"2146238";"—"
"189";"3";"—";"—";"-";"—";"Ожидание результатов ВИ";"2179874";"—"
"190";"6";"—";"—";"-";"—";"Ожидание результатов ВИ";"2181261";"—"
"191";"18";"—";"—";"-";"—";"Ожидание результатов ВИ";"2174556";"—"
"192";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"1934402";"—"
"194";"17";"—";"—";"-";"—";"Ожидание результатов ВИ";"2178136";"—"
"195";"3";"—";"—";"-";"—";"Ожидание результатов ВИ";"1129673";"—"
"196";"3";"—";"—";"-";"—";"Ожидание результатов ВИ";"1921558";"—"
"197";"15";"—";"—";"-";"—";"Ожидание результатов ВИ";"2181583";"—"
"198";"2";"—";"—";"-";"—";"Ожидание результатов ВИ";"2180087";"—"
"199";"3";"—";"—";"-";"—";"Ожидание результатов ВИ";"2200540";"—"
"200";"16";"—";"—";"-";"—";"Ожидание результатов ВИ";"2204421";"—"
"201";"25";"—";"—";"-";"—";"Ожидание результатов ВИ";"2206732";"—"
"202";"6";"—";"—";"-";"—";"Ожидание результатов ВИ";"2215452";"—"
"203";"5";"—";"—";"-";"—";"Ожидание результатов ВИ";"2220540";"—"
"204";"3";"—";"—";"-";"—";"Ожидание результатов ВИ";"2216357";"—"
"205";"5";"—";"—";"-";"—";"Ожидание результатов ВИ";"2220658";"—"
"206";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"2227365";"—"
"207";"5";"—";"—";"-";"—";"Ожидание результатов ВИ";"2221064";"—"
"208";"2";"—";"—";"-";"—";"Ожидание результатов ВИ";"2234157";"—"
"209";"5";"—";"—";"-";"—";"Ожидание результатов ВИ";"2236657";"—"
"210";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"2239031";"—"
"211";"4";"—";"—";"-";"—";"Ожидание результатов ВИ";"2244108";"—"
"212";"3";"—";"—";"-";"—";"Ожидание результатов ВИ";"2242341";"—"
"213";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"2250591";"—"
"214";"6";"—";"—";"-";"—";"Ожидание результатов ВИ";"2248111";"—"
"215";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"2255883";"—"
"216";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"2246406";"—"
"217";"9";"—";"—";"-";"—";"Ожидание результатов ВИ";"2263066";"—"
"218";"8";"—";"—";"-";"—";"Ожидание результатов ВИ";"2262230";"—"
"219";"4";"—";"—";"-";"—";"Ожидание результатов ВИ";"2262462";"—"
"220";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"2270914";"—"
"221";"5";"—";"—";"-";"—";"Ожидание результатов ВИ";"2270953";"—"
"222";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"2269028";"—"
"223";"3";"—";"—";"-";"—";"Ожидание результатов ВИ";"2271376";"—"
"224";"3";"—";"—";"-";"—";"Ожидание результатов ВИ";"2271193";"—"
"225";"5";"—";"—";"-";"—";"Ожидание результатов ВИ";"2266261";"—"
"226";"2";"—";"—";"-";"—";"Ожидание результатов ВИ";"2001047";"—"
"227";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"2112244";"—"
"228";"8";"—";"—";"-";"—";"Ожидание результатов ВИ";"2296188";"—"
"229";"9";"—";"—";"-";"—";"Ожидание результатов ВИ";"2304567";"—"
"230";"8";"—";"—";"-";"—";"Ожидание результатов ВИ";"2295983";"—"
"231";"3";"—";"—";"-";"—";"Ожидание результатов ВИ";"2160001";"—"
"232";"6";"—";"—";"-";"—";"Ожидание результатов ВИ";"2175487";"—"
"233";"2";"—";"—";"-";"—";"Ожидание результатов ВИ";"2312069";"—"
"234";"2";"—";"—";"-";"—";"Ожидание результатов ВИ";"2130065";"—"
"235";"3";"—";"—";"-";"—";"Ожидание результатов ВИ";"2306493";"—"
"236";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"2313088";"—"
"237";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"2309335";"—"
"238";"11";"—";"—";"-";"—";"Ожидание результатов ВИ";"2312559";"—"
"239";"13";"—";"—";"-";"—";"Ожидание результатов ВИ";"2312995";"—"
"240";"3";"—";"—";"-";"—";"Ожидание результатов ВИ";"2313707";"—"
"241";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"2022044";"—"
"242";"3";"—";"—";"-";"—";"Ожидание результатов ВИ";"2315538";"—"
"243";"2";"—";"—";"-";"—";"Ожидание результатов ВИ";"2307536";"—"
"244";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"2242226";"—"
"245";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"2327824";"—"
"246";"13";"—";"—";"-";"—";"Ожидание результатов ВИ";"2333985";"—"
"247";"4";"—";"—";"-";"—";"Ожидание результатов ВИ";"2334032";"—"
