"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"6";"—";"50000";"-";"50000";"Ожидание результатов ВИ";"2310163";"—"
"2";"7";"—";"45000";"-";"45000";"Ожидание результатов ВИ";"1856364";"—"
"3";"1";"—";"44000";"-";"44000";"Ожидание результатов ВИ";"967712";"—"
"4";"6";"—";"43000";"-";"43000";"Ожидание результатов ВИ";"2142548";"—"
"5";"7";"Электронное";"40000";"-";"40000";"Ожидание результатов ВИ";"2099837";"—"
"6";"4";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"1891393";"—"
"7";"2";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"997370";"—"
"8";"10";"Электронное";"40000";"-";"40000";"Ожидание результатов ВИ";"2311893";"—"
"9";"20";"Электронное";"40000";"-";"40000";"Ожидание результатов ВИ";"2314256";"—"
"10";"9";"Электронное";"40000";"-";"40000";"Ожидание результатов ВИ";"2443709";"—"
"11";"2";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"2426326";"—"
"12";"6";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"1972138";"—"
"13";"3";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"1990488";"—"
"14";"3";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"2053380";"—"
"15";"5";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"2101504";"—"
"16";"15";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"2101723";"—"
"17";"9";"Электронное";"40000";"-";"40000";"Ожидание результатов ВИ";"2089348";"—"
"18";"9";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"2077514";"—"
"19";"5";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"2124335";"—"
"20";"1";"Электронное";"40000";"-";"40000";"Ожидание результатов ВИ";"2206594";"—"
"21";"1";"Электронное";"40000";"-";"40000";"Ожидание результатов ВИ";"2210468";"—"
"22";"7";"—";"35000";"-";"35000";"Ожидание результатов ВИ";"2046504";"—"
"23";"5";"—";"33000";"-";"33000";"Ожидание результатов ВИ";"2237811";"—"
"24";"6";"Электронное";"30000";"-";"30000";"Ожидание результатов ВИ";"1479813";"—"
"25";"12";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"1844346";"—"
"26";"2";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2099631";"—"
"27";"4";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2218118";"—"
"28";"9";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"1955658";"—"
"29";"4";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2206607";"—"
"30";"4";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2166880";"—"
"31";"2";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2000633";"—"
"32";"4";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2206716";"—"
"33";"4";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"1901414";"—"
"34";"3";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"1792692";"—"
"35";"3";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2044638";"—"
"36";"13";"Электронное";"25000";"-";"25000";"Ожидание результатов ВИ";"2098742";"—"
"37";"16";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2363771";"—"
"38";"3";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2352975";"—"
"39";"3";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"1245891";"—"
"40";"3";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"1169362";"—"
"41";"2";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2352659";"—"
"42";"1";"Электронное";"25000";"-";"25000";"Ожидание результатов ВИ";"1758634";"—"
"43";"7";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"1792726";"—"
"44";"8";"Электронное";"25000";"-";"25000";"Ожидание результатов ВИ";"1973207";"—"
"45";"1";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"1900817";"—"
"46";"2";"Электронное";"25000";"-";"25000";"Ожидание результатов ВИ";"2000173";"—"
"47";"6";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"1982245";"—"
"48";"28";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2056013";"—"
"49";"15";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2024261";"—"
"50";"7";"—";"25000";"x";"25000";"На рассмотрении";"2443694";"—"
"51";"3";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2356094";"—"
"52";"3";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2083421";"—"
"53";"7";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"958925";"—"
